Case,Activity,Timestamp,Resource,label,iscollateral,BaseActivity,ProcessedActivity,CollateralGroup,is_collateral_event,y_true
520,Make decision_signed1,2023-10-30 10:46:16.650,Manager-000003,collateral events(Make decision),0,Make decision_signed1,make decision,1773,0,1
520,EVENT 13 END,2023-10-30 10:49:36.858,,,0,EVENT 13 END,event 13 end,-1,0,0
520,Make decision_signed1,2023-10-30 10:49:37.558,,collateral events(Make decision),0,Make decision_signed1,make decision,1774,0,1
521,Check for completeness,2023-10-30 12:07:36.720,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
521,New online application received,2023-10-30 12:07:36.720,,,0,New online application received,new online application received,-1,0,0
521,Perform checks,2023-10-30 12:20:52.743,Clerk-000001,,0,Perform checks,perform checks,-1,0,0
521,Make decision,2023-10-30 12:21:06.028,Manager-000006,,0,Make decision,make decision,-1,0,0
521,Notify accept,2023-10-30 12:26:12.038,Manager-000002,,0,Notify accept,notify accept,-1,0,0
521,Deliver card,2023-10-30 12:27:22.247,Manager-000005,,0,Deliver card,deliver card,-1,0,0
521,EVENT 13 END,2023-10-30 12:33:43.352,,,0,EVENT 13 END,event 13 end,-1,0,0
522,Check for completeness,2023-10-30 13:21:13.455,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
522,New online application received,2023-10-30 13:21:13.455,,,0,New online application received,new online application received,-1,0,0
522,Request info,2023-10-30 13:27:01.259,Manager-000001,,0,Request info,request info,-1,0,0
522,info received,2023-10-30 13:28:21.884,,,0,info received,info received,-1,0,0
522,Check for completeness,2023-10-30 13:28:31.884,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
522,Perform checks,2023-10-30 14:08:28.994,Clerk-000003,,0,Perform checks,perform checks,-1,0,0
522,Make decision,2023-10-30 14:08:50.193,Manager-000004,,0,Make decision,make decision,-1,0,0
522,Notify accept,2023-10-30 14:24:21.774,Manager-000005,,0,Notify accept,notify accept,-1,0,0
522,Deliver card,2023-10-30 14:28:30.102,Manager-000001,,0,Deliver card,deliver card,-1,0,0
522,EVENT 13 END,2023-10-30 14:40:29.775,,,0,EVENT 13 END,event 13 end,-1,0,0
523,Check for completeness,2023-10-30 13:57:35.629,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
523,New online application received,2023-10-30 13:57:35.629,,,0,New online application received,new online application received,-1,0,0
523,Request info,2023-10-30 14:32:30.202,Manager-000003,,0,Request info,request info,-1,0,0
523,info received,2023-10-30 14:35:19.767,,,0,info received,info received,-1,0,0
523,Check for completeness,2023-10-30 14:35:29.767,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
523,Request info,2023-10-30 14:41:07.318,Manager-000006,,0,Request info,request info,-1,0,0
523,info received,2023-10-30 14:55:58.843,,,0,info received,info received,-1,0,0
523,Check for completeness,2023-10-30 14:56:08.843,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
523,Request info,2023-10-30 15:13:27.608,Manager-000004,,0,Request info,request info,-1,0,0
523,info received,2023-10-30 15:16:56.572,,,0,info received,info received,-1,0,0
523,Check for completeness,2023-10-30 15:17:06.572,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
523,Request info,2023-10-30 15:17:47.266,Manager-000005,,0,Request info,request info,-1,0,0
523,info received,2023-10-30 15:43:06.278,,,0,info received,info received,-1,0,0
523,Check for completeness,2023-10-30 15:43:16.278,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
523,Perform checks,2023-10-30 15:52:28.133,Clerk-000005,,0,Perform checks,perform checks,-1,0,0
523,Make decision,2023-10-30 16:06:33.188,Manager-000001,,0,Make decision,make decision,-1,0,0
523,Notify accept,2023-10-30 16:24:35.845,Manager-000005,,0,Notify accept,notify accept,-1,0,0
523,Deliver card,2023-10-30 16:32:17.517,Manager-000002,,0,Deliver card,deliver card,-1,0,0
523,EVENT 13 END,2023-10-30 16:36:00.079,,,0,EVENT 13 END,event 13 end,-1,0,0
524,Check for completeness,2023-10-30 14:03:17.452,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
524,New online application received,2023-10-30 14:03:17.452,,,0,New online application received,new online application received,-1,0,0
524,Make decision_signed1,2023-10-30 14:03:17.752,,collateral events(Make decision),0,Make decision_signed1,make decision,1775,0,1
524,Perform checks,2023-10-30 14:08:41.736,Clerk-000001,,0,Perform checks,perform checks,-1,0,0
524,Make decision_signed1,2023-10-30 14:08:41.936,Clerk-000001,collateral events(Make decision),0,Make decision_signed1,make decision,1776,0,1
524,Make decision,2023-10-30 14:10:45.733,Manager-000003,,0,Make decision,make decision,1777,0,0
524,Notify accept,2023-10-30 14:15:32.728,Manager-000006,,0,Notify accept,notify accept,-1,0,0
524,Make decision_signed1,2023-10-30 14:15:33.428,Manager-000006,collateral events(Make decision),0,Make decision_signed1,make decision,1778,0,1
524,Deliver card,2023-10-30 14:19:36.972,Manager-000002,,0,Deliver card,deliver card,-1,0,0
524,Make decision_signed1,2023-10-30 14:19:37.272,Manager-000002,collateral events(Make decision),0,Make decision_signed1,make decision,1779,0,1
524,EVENT 13 END,2023-10-30 14:36:27.350,,,0,EVENT 13 END,event 13 end,-1,0,0
524,Make decision_signed1,2023-10-30 14:36:28.150,,collateral events(Make decision),0,Make decision_signed1,make decision,1780,0,1
525,Check for completeness,2023-10-30 15:30:36.080,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
525,New online application received,2023-10-30 15:30:36.080,,,0,New online application received,new online application received,-1,0,0
525,Request info,2023-10-30 15:43:44.819,Manager-000003,,0,Request info,request info,-1,0,0
525,info received,2023-10-30 15:47:02.640,,,0,info received,info received,-1,0,0
525,Check for completeness,2023-10-30 15:47:12.640,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
525,Request info,2023-10-30 15:55:34.239,Manager-000002,,0,Request info,request info,-1,0,0
525,info received,2023-10-30 16:07:10.159,,,0,info received,info received,-1,0,0
525,Check for completeness,2023-10-30 16:07:20.159,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
525,Request info,2023-10-30 16:16:59.336,Manager-000004,,0,Request info,request info,-1,0,0
525,info received,2023-10-30 16:27:19.866,,,0,info received,info received,-1,0,0
525,Check for completeness,2023-10-30 16:27:29.866,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
525,Request info,2023-10-30 16:30:17.481,Manager-000003,,0,Request info,request info,-1,0,0
525,info received,2023-10-30 16:34:34.754,,,0,info received,info received,-1,0,0
525,Check for completeness,2023-10-30 16:34:44.754,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
525,Request info,2023-10-30 16:37:11.498,Manager-000001,,0,Request info,request info,-1,0,0
525,info received,2023-10-30 16:43:27.734,,,0,info received,info received,-1,0,0
525,Check for completeness,2023-10-30 16:43:37.734,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
525,Request info,2023-10-30 16:51:42.653,Manager-000005,,0,Request info,request info,-1,0,0
525,info received,2023-10-30 16:52:59.378,,,0,info received,info received,-1,0,0
525,Check for completeness,2023-10-30 16:53:09.378,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
525,Request info,2023-10-30 16:59:25.904,Manager-000002,,0,Request info,request info,-1,0,0
525,info received,2023-10-30 17:02:58.585,,,0,info received,info received,-1,0,0
525,Check for completeness,2023-10-30 17:03:08.585,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
525,Perform checks,2023-10-30 17:12:16.706,Clerk-000006,,0,Perform checks,perform checks,-1,0,0
525,Make decision,2023-10-30 17:50:25.207,Manager-000005,,0,Make decision,make decision,-1,0,0
525,Notify accept,2023-10-30 17:52:43.263,Manager-000003,,0,Notify accept,notify accept,-1,0,0
525,Deliver card,2023-10-30 18:19:15.510,Manager-000004,,0,Deliver card,deliver card,-1,0,0
525,EVENT 13 END,2023-10-30 18:24:10.329,,,0,EVENT 13 END,event 13 end,-1,0,0
526,Check for completeness,2023-10-30 16:10:14.953,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
526,New online application received,2023-10-30 16:10:14.953,,,0,New online application received,new online application received,-1,0,0
526,Perform checks,2023-10-30 16:13:50.577,Clerk-000003,,0,Perform checks,perform checks,-1,0,0
526,Make decision,2023-10-30 16:16:06.797,Manager-000006,,0,Make decision,make decision,-1,0,0
526,notify reject,2023-10-30 16:41:02.881,Manager-000004,,0,notify reject,notify reject,-1,0,0
526,review request received,2023-10-30 16:42:57.932,,,0,review request received,review request received,-1,0,0
526,Check for completeness,2023-10-30 16:43:07.932,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
526,Request info,2023-10-30 16:57:28.202,Manager-000003,,0,Request info,request info,-1,0,0
526,info received,2023-10-30 17:02:53.001,,,0,info received,info received,-1,0,0
526,Check for completeness,2023-10-30 17:03:03.001,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
526,Perform checks,2023-10-30 17:24:45.989,Clerk-000004,,0,Perform checks,perform checks,-1,0,0
526,Make decision,2023-10-30 17:34:49.392,Manager-000006,,0,Make decision,make decision,-1,0,0
526,Notify accept,2023-10-30 17:37:11.262,Manager-000004,,0,Notify accept,notify accept,-1,0,0
526,Deliver card,2023-10-30 17:42:40.844,Manager-000001,,0,Deliver card,deliver card,-1,0,0
526,EVENT 13 END,2023-10-30 18:03:51.109,,,0,EVENT 13 END,event 13 end,-1,0,0
527,Check for completeness,2023-10-30 18:01:45.124,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
527,New online application received,2023-10-30 18:01:45.124,,,0,New online application received,new online application received,-1,0,0
527,Make decision_signed1,2023-10-30 18:01:45.324,Clerk-000005,collateral events(Make decision),0,Make decision_signed1,make decision,1781,0,1
527,Perform checks,2023-10-30 18:21:45.046,Clerk-000002,,0,Perform checks,perform checks,-1,0,0
527,Make decision_signed1,2023-10-30 18:21:45.646,Clerk-000002,collateral events(Make decision),0,Make decision_signed1,make decision,1782,0,1
527,Make decision,2023-10-30 18:35:28.587,Manager-000001,,0,Make decision,make decision,1783,0,0
527,notify reject,2023-10-30 18:35:45.863,Manager-000002,,0,notify reject,notify reject,-1,0,0
527,Make decision_signed1,2023-10-30 18:35:46.863,Manager-000002,collateral events(Make decision),0,Make decision_signed1,make decision,1784,0,1
527,review request received,2023-10-30 18:43:58.513,,,0,review request received,review request received,-1,0,0
527,Make decision_signed1,2023-10-30 18:43:59.013,,collateral events(Make decision),0,Make decision_signed1,make decision,1785,0,1
527,Check for completeness,2023-10-30 18:44:08.513,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
527,Make decision_signed1,2023-10-30 18:44:08.813,Clerk-000006,collateral events(Make decision),0,Make decision_signed1,make decision,1786,0,1
527,Perform checks,2023-10-30 19:03:35.972,Clerk-000003,,0,Perform checks,perform checks,-1,0,0
527,Make decision_signed1,2023-10-30 19:03:36.872,Clerk-000003,collateral events(Make decision),0,Make decision_signed1,make decision,1787,0,1
527,Make decision,2023-10-30 19:04:24.649,Manager-000006,,0,Make decision,make decision,1788,0,0
527,notify reject,2023-10-30 19:36:50.469,Manager-000001,,0,notify reject,notify reject,-1,0,0
527,Make decision_signed1,2023-10-30 19:36:51.169,Manager-000001,collateral events(Make decision),0,Make decision_signed1,make decision,1789,0,1
527,review request received,2023-10-30 19:51:17.976,,,0,review request received,review request received,-1,0,0
527,Make decision_signed1,2023-10-30 19:51:18.476,,collateral events(Make decision),0,Make decision_signed1,make decision,1790,0,1
527,Check for completeness,2023-10-30 19:51:27.976,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
527,Make decision_signed1,2023-10-30 19:51:28.176,Clerk-000004,collateral events(Make decision),0,Make decision_signed1,make decision,1791,0,1
527,Request info,2023-10-30 19:55:31.407,Manager-000002,,0,Request info,request info,-1,0,0
527,Make decision_signed1,2023-10-30 19:55:31.407,Manager-000002,collateral events(Make decision),0,Make decision_signed1,make decision,1792,0,1
527,info received,2023-10-30 20:04:57.589,,,0,info received,info received,-1,0,0
527,Make decision_signed1,2023-10-30 20:04:58.489,,collateral events(Make decision),0,Make decision_signed1,make decision,1793,0,1
527,Check for completeness,2023-10-30 20:05:07.589,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
527,Make decision_signed1,2023-10-30 20:05:07.789,Clerk-000001,collateral events(Make decision),0,Make decision_signed1,make decision,1794,0,1
527,Perform checks,2023-10-30 20:22:00.048,Clerk-000002,,0,Perform checks,perform checks,-1,0,0
527,Make decision_signed1,2023-10-30 20:22:00.748,Clerk-000002,collateral events(Make decision),0,Make decision_signed1,make decision,1795,0,1
527,Make decision,2023-10-30 20:27:16.628,Manager-000002,,0,Make decision,make decision,1796,0,0
527,Notify accept,2023-10-30 20:27:29.896,Manager-000004,,0,Notify accept,notify accept,-1,0,0
527,Make decision_signed1,2023-10-30 20:27:30.296,Manager-000004,collateral events(Make decision),0,Make decision_signed1,make decision,1797,0,1
527,Deliver card,2023-10-30 20:40:46.636,Manager-000005,,0,Deliver card,deliver card,-1,0,0
527,Make decision_signed1,2023-10-30 20:40:47.136,Manager-000005,collateral events(Make decision),0,Make decision_signed1,make decision,1798,0,1
527,EVENT 13 END,2023-10-30 20:41:57.233,,,0,EVENT 13 END,event 13 end,-1,0,0
527,Make decision_signed1,2023-10-30 20:41:57.333,,collateral events(Make decision),0,Make decision_signed1,make decision,1799,0,1
528,Check for completeness,2023-10-30 18:12:00.056,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
528,New online application received,2023-10-30 18:12:00.056,,,0,New online application received,new online application received,-1,0,0
528,Perform checks,2023-10-30 18:14:45.575,Clerk-000001,,0,Perform checks,perform checks,-1,0,0
528,Make decision,2023-10-30 18:15:22.010,Manager-000002,,0,Make decision,make decision,-1,0,0
528,Notify accept,2023-10-30 18:16:44.604,Manager-000006,,0,Notify accept,notify accept,-1,0,0
528,Deliver card,2023-10-30 18:19:57.804,Manager-000005,,0,Deliver card,deliver card,-1,0,0
528,EVENT 13 END,2023-10-30 18:26:14.638,,,0,EVENT 13 END,event 13 end,-1,0,0
529,Check for completeness,2023-10-30 18:40:37.292,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
529,New online application received,2023-10-30 18:40:37.292,,,0,New online application received,new online application received,-1,0,0
529,Request info,2023-10-30 18:59:30.711,Manager-000003,,0,Request info,request info,-1,0,0
529,info received,2023-10-30 19:18:30.769,,,0,info received,info received,-1,0,0
529,Check for completeness,2023-10-30 19:18:40.769,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
529,Request info,2023-10-30 19:18:47.219,Manager-000004,,0,Request info,request info,-1,0,0
529,info received,2023-10-30 19:25:22.648,,,0,info received,info received,-1,0,0
529,Check for completeness,2023-10-30 19:25:32.648,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
529,Request info,2023-10-30 19:31:20.038,Manager-000005,,0,Request info,request info,-1,0,0
529,info received,2023-10-30 19:58:26.935,,,0,info received,info received,-1,0,0
529,Check for completeness,2023-10-30 19:58:36.935,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
529,Request info,2023-10-30 19:59:49.201,Manager-000003,,0,Request info,request info,-1,0,0
529,info received,2023-10-30 20:10:27.675,,,0,info received,info received,-1,0,0
529,Check for completeness,2023-10-30 20:10:37.675,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
529,Request info,2023-10-30 20:11:42.711,Manager-000001,,0,Request info,request info,-1,0,0
529,info received,2023-10-30 20:22:10.180,,,0,info received,info received,-1,0,0
529,Check for completeness,2023-10-30 20:22:20.180,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
529,Perform checks,2023-10-30 20:23:11.104,Clerk-000003,,0,Perform checks,perform checks,-1,0,0
529,Make decision,2023-10-30 20:29:20.571,Manager-000003,,0,Make decision,make decision,-1,0,0
529,Notify accept,2023-10-30 20:33:52.384,Manager-000001,,0,Notify accept,notify accept,-1,0,0
529,Deliver card,2023-10-30 20:36:49.926,Manager-000002,,0,Deliver card,deliver card,-1,0,0
529,EVENT 13 END,2023-10-30 20:45:08.080,,,0,EVENT 13 END,event 13 end,-1,0,0
530,Check for completeness,2023-10-30 19:48:02.397,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
530,New online application received,2023-10-30 19:48:02.397,,,0,New online application received,new online application received,-1,0,0
530,Perform checks,2023-10-30 19:59:33.973,Clerk-000003,,0,Perform checks,perform checks,-1,0,0
530,Make decision,2023-10-30 20:03:07.117,Manager-000004,,0,Make decision,make decision,-1,0,0
530,notify reject,2023-10-30 20:06:14.977,Manager-000006,,0,notify reject,notify reject,-1,0,0
530,review request received,2023-10-30 20:17:54.700,,,0,review request received,review request received,-1,0,0
530,Check for completeness,2023-10-30 20:18:04.700,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
530,Perform checks,2023-10-30 20:23:22.438,Clerk-000005,,0,Perform checks,perform checks,-1,0,0
530,Make decision,2023-10-30 20:27:12.837,Manager-000005,,0,Make decision,make decision,-1,0,0
530,notify reject,2023-10-30 20:30:13.951,Manager-000006,,0,notify reject,notify reject,-1,0,0
530,review request received,2023-10-30 20:45:14.962,,,0,review request received,review request received,-1,0,0
530,Check for completeness,2023-10-30 20:45:24.962,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
530,Request info,2023-10-30 21:13:17.180,Manager-000003,,0,Request info,request info,-1,0,0
530,info received,2023-10-30 21:17:02.555,,,0,info received,info received,-1,0,0
530,Check for completeness,2023-10-30 21:17:12.555,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
530,Request info,2023-10-30 21:23:50.233,Manager-000001,,0,Request info,request info,-1,0,0
530,info received,2023-10-30 21:37:19.850,,,0,info received,info received,-1,0,0
530,Check for completeness,2023-10-30 21:37:29.850,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
530,Request info,2023-10-30 21:44:47.005,Manager-000004,,0,Request info,request info,-1,0,0
530,info received,2023-10-30 21:57:36.822,,,0,info received,info received,-1,0,0
530,Check for completeness,2023-10-30 21:57:46.822,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
530,Request info,2023-10-30 22:12:38.652,Manager-000005,,0,Request info,request info,-1,0,0
530,info received,2023-10-30 22:16:34.150,,,0,info received,info received,-1,0,0
530,Check for completeness,2023-10-30 22:16:44.150,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
530,Request info,2023-10-30 22:18:33.429,Manager-000002,,0,Request info,request info,-1,0,0
530,info received,2023-10-30 22:33:07.022,,,0,info received,info received,-1,0,0
530,Check for completeness,2023-10-30 22:33:17.022,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
530,Request info,2023-10-30 22:41:18.899,Manager-000006,,0,Request info,request info,-1,0,0
530,info received,2023-10-30 22:42:44.921,,,0,info received,info received,-1,0,0
530,Check for completeness,2023-10-30 22:42:54.921,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
530,Request info,2023-10-30 22:47:09.347,Manager-000003,,0,Request info,request info,-1,0,0
530,info received,2023-10-30 22:49:30.380,,,0,info received,info received,-1,0,0
530,Check for completeness,2023-10-30 22:49:40.380,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
530,Perform checks,2023-10-30 22:56:22.209,Clerk-000004,,0,Perform checks,perform checks,-1,0,0
530,Make decision,2023-10-30 23:18:16.584,Manager-000001,,0,Make decision,make decision,-1,0,0
530,Notify accept,2023-10-30 23:38:35.744,Manager-000004,,0,Notify accept,notify accept,-1,0,0
530,Deliver card,2023-10-30 23:51:11.256,Manager-000002,,0,Deliver card,deliver card,-1,0,0
530,EVENT 13 END,2023-10-31 00:24:55.782,,,0,EVENT 13 END,event 13 end,-1,0,0
531,Check for completeness,2023-10-30 22:59:37.377,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
531,New online application received,2023-10-30 22:59:37.377,,,0,New online application received,new online application received,-1,0,0
531,Request info,2023-10-30 23:22:44.638,Manager-000002,,0,Request info,request info,-1,0,0
531,info received,2023-10-30 23:29:22.802,,,0,info received,info received,-1,0,0
531,Check for completeness,2023-10-30 23:29:32.802,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
531,Request info,2023-10-30 23:39:07.248,Manager-000005,,0,Request info,request info,-1,0,0
531,info received,2023-10-30 23:47:29.532,,,0,info received,info received,-1,0,0
531,Check for completeness,2023-10-30 23:47:39.532,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
531,Perform checks,2023-10-30 23:50:18.507,Clerk-000003,,0,Perform checks,perform checks,-1,0,0
531,Make decision,2023-10-31 00:36:31.856,Manager-000006,,0,Make decision,make decision,-1,0,0
531,Notify accept,2023-10-31 00:38:42.593,Manager-000001,,0,Notify accept,notify accept,-1,0,0
531,Deliver card,2023-10-31 00:40:33.356,Manager-000005,,0,Deliver card,deliver card,-1,0,0
531,EVENT 13 END,2023-10-31 00:51:01.607,,,0,EVENT 13 END,event 13 end,-1,0,0
532,Check for completeness,2023-10-30 23:03:48.615,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
532,New online application received,2023-10-30 23:03:48.615,,,0,New online application received,new online application received,-1,0,0
532,Perform checks,2023-10-30 23:04:08.071,Clerk-000003,,0,Perform checks,perform checks,-1,0,0
532,Make decision,2023-10-30 23:18:22.907,Manager-000004,,0,Make decision,make decision,-1,0,0
532,notify reject,2023-10-30 23:19:14.350,Manager-000005,,0,notify reject,notify reject,-1,0,0
532,review request received,2023-10-30 23:20:39.896,,,0,review request received,review request received,-1,0,0
532,Check for completeness,2023-10-30 23:20:49.896,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
532,Perform checks,2023-10-30 23:23:06.896,Clerk-000006,,0,Perform checks,perform checks,-1,0,0
532,Make decision,2023-10-30 23:32:18.486,Manager-000006,,0,Make decision,make decision,-1,0,0
532,notify reject,2023-10-30 23:32:52.892,Manager-000003,,0,notify reject,notify reject,-1,0,0
532,time out,2023-10-30 23:49:22.708,,,0,time out,time out,-1,0,0
532,EVENT 13 END,2023-10-30 23:49:32.708,,,0,EVENT 13 END,event 13 end,-1,0,0
533,Check for completeness,2023-10-31 00:37:18.042,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
533,New online application received,2023-10-31 00:37:18.042,,,0,New online application received,new online application received,-1,0,0
533,Perform checks,2023-10-31 00:40:31.523,Clerk-000001,,0,Perform checks,perform checks,-1,0,0
533,Make decision,2023-10-31 00:40:35.915,Manager-000003,,0,Make decision,make decision,-1,0,0
533,Notify accept,2023-10-31 00:42:04.033,Manager-000004,,0,Notify accept,notify accept,-1,0,0
533,Deliver card,2023-10-31 00:47:19.071,Manager-000002,,0,Deliver card,deliver card,-1,0,0
533,EVENT 13 END,2023-10-31 01:02:17.952,,,0,EVENT 13 END,event 13 end,-1,0,0
534,Check for completeness,2023-10-31 01:34:52.088,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
534,New online application received,2023-10-31 01:34:52.088,,,0,New online application received,new online application received,-1,0,0
534,Make decision_signed1,2023-10-31 01:34:52.088,,collateral events(Make decision),0,Make decision_signed1,make decision,1800,0,1
534,Request info,2023-10-31 01:45:52.563,Manager-000006,,0,Request info,request info,-1,0,0
534,Make decision_signed1,2023-10-31 01:45:52.563,Manager-000006,collateral events(Make decision),0,Make decision_signed1,make decision,1801,0,1
534,info received,2023-10-31 01:47:24.623,,,0,info received,info received,-1,0,0
534,Make decision_signed1,2023-10-31 01:47:25.323,,collateral events(Make decision),0,Make decision_signed1,make decision,1802,0,1
534,Check for completeness,2023-10-31 01:47:34.623,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
534,Make decision_signed1,2023-10-31 01:47:35.423,Clerk-000002,collateral events(Make decision),0,Make decision_signed1,make decision,1803,0,1
534,Perform checks,2023-10-31 01:53:37.595,Clerk-000004,,0,Perform checks,perform checks,-1,0,0
534,Make decision_signed1,2023-10-31 01:53:37.995,Clerk-000004,collateral events(Make decision),0,Make decision_signed1,make decision,1804,0,1
534,Make decision,2023-10-31 02:05:48.897,Manager-000001,,0,Make decision,make decision,1805,0,0
534,Notify accept,2023-10-31 02:16:10.563,Manager-000003,,0,Notify accept,notify accept,-1,0,0
534,Make decision_signed1,2023-10-31 02:16:10.763,Manager-000003,collateral events(Make decision),0,Make decision_signed1,make decision,1806,0,1
534,Deliver card,2023-10-31 02:16:54.710,Manager-000004,,0,Deliver card,deliver card,-1,0,0
534,Make decision_signed1,2023-10-31 02:16:55.010,Manager-000004,collateral events(Make decision),0,Make decision_signed1,make decision,1807,0,1
534,EVENT 13 END,2023-10-31 02:29:27.642,,,0,EVENT 13 END,event 13 end,-1,0,0
534,Make decision_signed1,2023-10-31 02:29:27.642,,collateral events(Make decision),0,Make decision_signed1,make decision,1808,0,1
535,Check for completeness,2023-10-31 02:17:26.130,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
535,New online application received,2023-10-31 02:17:26.130,,,0,New online application received,new online application received,-1,0,0
535,Perform checks,2023-10-31 02:20:16.341,Clerk-000005,,0,Perform checks,perform checks,-1,0,0
535,Make decision,2023-10-31 02:22:15.670,Manager-000005,,0,Make decision,make decision,-1,0,0
535,Notify accept,2023-10-31 02:32:13.766,Manager-000002,,0,Notify accept,notify accept,-1,0,0
535,Deliver card,2023-10-31 02:33:39.954,Manager-000006,,0,Deliver card,deliver card,-1,0,0
535,EVENT 13 END,2023-10-31 02:35:01.326,,,0,EVENT 13 END,event 13 end,-1,0,0
536,Check for completeness,2023-10-31 03:16:10.912,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
536,New online application received,2023-10-31 03:16:10.912,,,0,New online application received,new online application received,-1,0,0
536,Request info,2023-10-31 03:22:04.943,Manager-000001,,0,Request info,request info,-1,0,0
536,info received,2023-10-31 03:32:04.878,,,0,info received,info received,-1,0,0
536,Check for completeness,2023-10-31 03:32:14.878,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
536,Perform checks,2023-10-31 03:32:47.903,Clerk-000002,,0,Perform checks,perform checks,-1,0,0
536,Make decision,2023-10-31 03:38:46.379,Manager-000003,,0,Make decision,make decision,-1,0,0
536,notify reject,2023-10-31 04:09:40.890,Manager-000004,,0,notify reject,notify reject,-1,0,0
536,review request received,2023-10-31 04:19:25.403,,,0,review request received,review request received,-1,0,0
536,Check for completeness,2023-10-31 04:19:35.403,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
536,Request info,2023-10-31 04:24:23.016,Manager-000005,,0,Request info,request info,-1,0,0
536,info received,2023-10-31 04:26:05.056,,,0,info received,info received,-1,0,0
536,Check for completeness,2023-10-31 04:26:15.056,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
536,Perform checks,2023-10-31 04:34:58.904,Clerk-000005,,0,Perform checks,perform checks,-1,0,0
536,Make decision,2023-10-31 04:41:57.311,Manager-000002,,0,Make decision,make decision,-1,0,0
536,Notify accept,2023-10-31 04:42:58.660,Manager-000006,,0,Notify accept,notify accept,-1,0,0
536,Deliver card,2023-10-31 05:43:58.550,Manager-000003,,0,Deliver card,deliver card,-1,0,0
536,EVENT 13 END,2023-10-31 05:50:15.981,,,0,EVENT 13 END,event 13 end,-1,0,0
537,Check for completeness,2023-10-31 05:04:47.757,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
537,New online application received,2023-10-31 05:04:47.757,,,0,New online application received,new online application received,-1,0,0
537,Request info,2023-10-31 05:30:29.773,Manager-000001,,0,Request info,request info,-1,0,0
537,info received,2023-10-31 05:32:29.540,,,0,info received,info received,-1,0,0
537,Check for completeness,2023-10-31 05:32:39.540,Clerk-000006,,0,Check for completeness,check for completeness,-1,0,0
537,Request info,2023-10-31 05:48:50.715,Manager-000004,,0,Request info,request info,-1,0,0
537,info received,2023-10-31 06:05:13.715,,,0,info received,info received,-1,0,0
