Case,Timestamp,Resource,Activity,Activity_fixed,ishomonymous
2249,2024-08-12 20:15:00,,start,start,0
2249,2024-08-12 20:15:06,Waiter-000004,Review order,Review order,0
2249,2024-08-12 20:15:11,Cook helper-000001,Prepare starter,Prepare starter,0
2249,2024-08-12 20:18:10,Barman-000001,prepare drinks,prepare drinks,0
2249,2024-08-12 20:19:34,Barman-000002,Bring drinks,Bring drinks,0
2249,2024-08-12 20:31:16,Waiter-000004,Review drinks,Review drinks,0
2249,2024-08-12 20:31:28,Barman-000002,prepare drinks,prepare drinks,0
2249,2024-08-12 20:32:02,Barman-000001,Bring drinks,Bring drinks,0
2249,2024-08-12 20:34:51,Waiter-000003,Review drinks,Review drinks,0
2249,2024-08-12 20:35:03,Barman-000001,prepare drinks,prepare drinks,0
2249,2024-08-12 20:39:07,Barman-000001,Bring drinks,Bring drinks,0
2249,2024-08-12 20:39:33,Waiter-000002,Review drinks,Review drinks,0
2249,2024-08-15 23:19:32,Cook-000002,Prepare main course,Prepare main course,0
2249,2024-08-21 18:30:26,Cook-000002,Signal food complete,Signal food complete,0
2249,2024-08-21 18:42:55,Cook helper-000001,Bring food,Bring food,0
2249,2024-08-21 18:43:53,Waiter-000002,Deliver to customer,Deliver to customer,0
2249,2024-08-21 18:44:06,,EVENT 8 END,EVENT 8 END,0
2250,2024-08-12 20:30:00,Waiter-000003,Take order,Take order,0
2250,2024-08-12 20:30:00,,start,start,0
2250,2024-08-12 20:32:00,Waiter-000002,Review order,Review order,0
2250,2024-08-12 20:32:30,Barman-000002,prepare drinks,prepare drinks,0
2250,2024-08-12 20:33:09,Barman-000003,Bring drinks,Bring drinks,0
2250,2024-08-12 20:33:30,Waiter-000004,Review drinks,Review drinks,0
2250,2024-08-12 20:33:30,Barman-000002,prepare drinks,prepare drinks,0
2250,2024-08-12 20:35:02,Barman-000003,Bring drinks,Bring drinks,0
2250,2024-08-12 20:49:27,Waiter-000003,Review drinks,Review drinks,0
2250,2024-08-15 23:44:57,Cook-000003,Prepare main course,Prepare main course,0
2250,2024-08-21 19:45:36,Cook-000002,Signal food complete,Signal food complete,0
2250,2024-08-21 19:56:59,Cook helper-000001,Bring food,Bring food,0
2250,2024-08-21 19:59:41,Waiter-000001,Deliver to customer,Deliver to customer,0
2250,2024-08-21 20:02:55,,EVENT 8 END,EVENT 8 END,0
2251,2024-08-12 20:45:00,Waiter-000004,Take order,Take order,0
2251,2024-08-12 20:45:00,,start,start,0
2251,2024-08-12 20:45:24,Waiter-000001,Review order,Review order,0
2251,2024-08-12 20:45:47,Barman-000001,prepare drinks,prepare drinks,0
2251,2024-08-12 20:48:51,Barman-000001,Bring drinks,Bring drinks,0
2251,2024-08-12 20:49:35,Waiter-000005,Review drinks,Review drinks,0
2251,2024-08-12 20:53:08,Barman-000003,prepare drinks,prepare drinks,0
2251,2024-08-12 21:02:45,Barman-000003,Bring drinks,Bring drinks,0
2251,2024-08-12 21:06:11,Waiter-000002,Review drinks,Review drinks,0
2251,2024-08-15 23:53:30,Cook-000002,Prepare main course,Prepare main course,0
2251,2024-08-21 18:43:22,Cook-000003,Signal food complete,Signal food complete,0
2251,2024-08-21 18:50:20,Cook helper-000001,Bring food,Bring food,0
2251,2024-08-21 19:01:17,Waiter-000005,Deliver to customer,Deliver to customer,0
2251,2024-08-21 19:06:57,,EVENT 8 END,EVENT 8 END,0
2252,2024-08-12 21:00:00,Waiter-000002,Take order,Take order,0
2252,2024-08-12 21:00:00,,start,start,0
2252,2024-08-12 21:01:21,Waiter-000003,Review order,Review order,0
2252,2024-08-12 21:02:05,Cook helper-000003,Prepare starter,Prepare starter,0
2252,2024-08-12 21:02:05,Barman-000002,prepare drinks,prepare drinks,0
2252,2024-08-12 21:04:55,Barman-000002,Bring drinks,Bring drinks,0
2252,2024-08-12 21:05:49,Waiter-000004,Review drinks,Review drinks,0
2252,2024-08-15 23:57:25,Cook-000001,Signal food complete,Signal food complete,0
2252,2024-08-16 00:18:30,Cook helper-000003,Bring food,Bring food,0
2252,2024-08-16 00:19:52,Waiter-000002,Deliver to customer,Deliver to customer,0
2252,2024-08-16 00:22:44,,EVENT 8 END,EVENT 8 END,0
2253,2024-08-12 21:15:00,Waiter-000001,Take order,Take order,0
2253,2024-08-12 21:15:00,,start,start,0
2253,2024-08-12 21:18:51,Waiter-000003,Review order,Review order,0
2253,2024-08-12 21:19:09,Barman-000002,prepare drinks,prepare drinks,0
2253,2024-08-12 21:22:22,Barman-000003,Bring drinks,Bring drinks,0
2253,2024-08-12 21:26:56,Waiter-000004,Review drinks,Review drinks,0
2253,2024-08-16 00:18:30,Cook-000001,Prepare main course,Prepare main course,0
2253,2024-08-21 19:39:47,Cook-000002,Signal food complete,Signal food complete,0
2253,2024-08-21 19:45:36,Cook helper-000002,Bring food,Bring food,0
2253,2024-08-21 19:51:01,Waiter-000003,Deliver to customer,Deliver to customer,0
2253,2024-08-21 19:52:59,,EVENT 8 END,EVENT 8 END,0
2254,2024-08-12 21:30:00,Waiter-000002,Take order,Take order,0
2254,2024-08-12 21:30:00,,start,start,0
2254,2024-08-12 21:30:50,Waiter-000001,Review order,Review order,0
2254,2024-08-12 21:35:20,Cook helper-000002,Prepare starter,Prepare starter,0
2254,2024-08-12 21:35:20,Barman-000001,prepare drinks,prepare drinks,0
2254,2024-08-12 21:37:58,Barman-000002,Bring drinks,Bring drinks,0
2254,2024-08-12 21:41:33,Waiter-000003,Review drinks,Review drinks,0
2254,2024-08-16 00:35:15,Cook-000003,Prepare main course,Prepare main course,0
2254,2024-08-21 20:00:59,Cook-000001,Signal food complete,Signal food complete,0
2254,2024-08-21 20:20:20,Cook helper-000002,Bring food,Bring food,0
2254,2024-08-21 20:28:48,Waiter-000003,Deliver to customer,Deliver to customer,0
2254,2024-08-21 20:29:24,,EVENT 8 END,EVENT 8 END,0
2255,2024-08-12 21:45:00,Waiter-000005,Take order,Take order,0
2255,2024-08-12 21:45:00,,start,start,0
2255,2024-08-12 21:50:43,Waiter-000004,Review order,Review order,0
2255,2024-08-12 21:51:03,Barman-000003,prepare drinks,prepare drinks,0
2255,2024-08-12 21:51:14,Barman-000001,Bring drinks,Bring drinks,0
2255,2024-08-12 22:00:17,Waiter-000001,Review drinks,Review drinks,0
2255,2024-08-16 00:47:20,Cook-000001,Prepare main course,Prepare main course,0
2255,2024-08-21 20:10:14,Cook-000002,Signal food complete,Signal food complete,0
2255,2024-08-21 21:05:28,Cook helper-000001,Bring food,Bring food,0
2255,2024-08-21 21:07:13,Waiter-000002,Deliver to customer,Deliver to customer,0
2255,2024-08-21 21:08:20,,EVENT 8 END,EVENT 8 END,0
2256,2024-08-12 22:00:00,Waiter-000002,Take order,Take order,0
2256,2024-08-12 22:00:00,,start,start,0
2256,2024-08-12 22:03:16,Waiter-000003,Review order,Review order,0
2256,2024-08-12 22:03:17,Barman-000002,prepare drinks,prepare drinks,0
2256,2024-08-12 22:13:54,Barman-000003,Bring drinks,Bring drinks,0
2256,2024-08-12 22:23:28,Waiter-000002,Review drinks,Review drinks,0
2256,2024-08-12 22:27:16,Barman-000003,prepare drinks,prepare drinks,0
2256,2024-08-12 22:28:28,Barman-000001,Bring drinks,Bring drinks,0
2256,2024-08-12 22:33:10,Waiter-000001,Review drinks,Review drinks,0
2256,2024-08-16 01:15:12,Cook-000001,Prepare main course,Prepare main course,0
2256,2024-08-21 20:43:36,Cook-000001,Signal food complete,Signal food complete,0
2256,2024-08-21 21:41:25,Cook helper-000001,Bring food,Bring food,0
2256,2024-08-21 21:56:22,Waiter-000001,Deliver to customer,Deliver to customer,0
2256,2024-08-21 21:59:19,,EVENT 8 END,EVENT 8 END,0
2257,2024-08-12 22:15:00,Waiter-000005,Take order,Take order,0
2257,2024-08-12 22:15:00,,start,start,0
2257,2024-08-12 22:15:32,Waiter-000004,Review order,Review order,0
2257,2024-08-12 22:17:17,Barman-000001,prepare drinks,prepare drinks,0
2257,2024-08-12 22:23:37,Barman-000002,Bring drinks,Bring drinks,0
2257,2024-08-12 22:23:39,Waiter-000003,Review drinks,Review drinks,0
2257,2024-08-16 01:20:37,Cook-000001,Prepare main course,Prepare main course,0
2257,2024-08-21 21:05:28,Cook-000002,Signal food complete,Signal food complete,0
2257,2024-08-21 21:10:08,Cook helper-000002,Bring food,Bring food,0
2257,2024-08-21 21:12:16,Waiter-000005,Deliver to customer,Deliver to customer,0
2257,2024-08-21 21:14:32,,EVENT 8 END,EVENT 8 END,0
2258,2024-08-12 22:30:00,Waiter-000005,Take order,Take order,0
2258,2024-08-12 22:30:00,,start,start,0
2258,2024-08-12 22:30:44,Waiter-000004,Review order,Review order,0
2258,2024-08-12 22:31:04,Barman-000002,prepare drinks,prepare drinks,0
2258,2024-08-12 22:35:44,Barman-000003,Bring drinks,Bring drinks,0
2258,2024-08-12 22:44:14,Waiter-000005,Review drinks,Review drinks,0
2258,2024-08-12 22:46:29,Barman-000001,prepare drinks,prepare drinks,0
2258,2024-08-12 23:00:18,Barman-000002,Bring drinks,Bring drinks,0
2258,2024-08-12 23:02:07,Waiter-000002,Review drinks,Review drinks,0
2258,2024-08-16 01:28:27,Cook-000001,Prepare main course,Prepare main course,0
2258,2024-08-21 21:41:25,Cook-000001,Signal food complete,Signal food complete,0
2258,2024-08-21 22:08:46,Cook helper-000002,Bring food,Bring food,0
2258,2024-08-21 22:09:49,Waiter-000004,Deliver to customer,Deliver to customer,0
2258,2024-08-21 22:13:28,,EVENT 8 END,EVENT 8 END,0
2259,2024-08-12 22:45:00,Waiter-000004,Take order,Take order,0
2259,2024-08-12 22:45:00,,start,start,0
2259,2024-08-12 22:48:23,Waiter-000003,Review order,Review order,0
2259,2024-08-12 22:49:29,Cook helper-000003,Prepare starter,Prepare starter,0
2259,2024-08-12 22:49:29,Barman-000002,prepare drinks,prepare drinks,0
2259,2024-08-12 22:50:00,Barman-000003,Bring drinks,Bring drinks,0
2259,2024-08-12 22:50:23,Waiter-000002,Review drinks,Review drinks,0
2259,2024-08-12 22:50:32,Barman-000002,prepare drinks,prepare drinks,0
2259,2024-08-12 22:54:11,Barman-000003,Bring drinks,Bring drinks,0
2259,2024-08-12 23:05:00,Waiter-000001,Review drinks,Review drinks,0
2259,2024-08-12 23:05:07,Barman-000002,prepare drinks,prepare drinks,0
2259,2024-08-12 23:12:41,Barman-000001,Bring drinks,Bring drinks,0
2259,2024-08-12 23:17:01,Waiter-000002,Review drinks,Review drinks,0
2259,2024-08-16 01:54:45,Cook-000001,Prepare main course,Prepare main course,0
2259,2024-08-21 21:46:15,Cook-000002,Signal food complete,Signal food complete,0
2259,2024-08-21 22:24:47,Cook helper-000003,Bring food,Bring food,0
2259,2024-08-21 22:26:14,Waiter-000001,Deliver to customer,Deliver to customer,0
2259,2024-08-21 22:27:53,,EVENT 8 END,EVENT 8 END,0
2260,2024-08-12 23:00:00,Waiter-000004,Take order,Take order,0
2260,2024-08-12 23:00:00,,start,start,0
2260,2024-08-12 23:00:01,Waiter-000003,Review order,Review order,0
2260,2024-08-12 23:00:20,Barman-000001,prepare drinks,prepare drinks,0
2260,2024-08-12 23:07:04,Barman-000003,Bring drinks,Bring drinks,0
2260,2024-08-12 23:07:18,Waiter-000004,Review drinks,Review drinks,0
2260,2024-08-16 18:11:36,Cook-000001,Prepare main course,Prepare main course,0
2260,2024-08-21 21:48:09,Cook-000003,Signal food complete,Signal food complete,0
2260,2024-08-21 22:11:23,Cook helper-000001,Bring food,Bring food,0
2260,2024-08-21 22:22:46,Waiter-000005,Deliver to customer,Deliver to customer,0
2260,2024-08-21 22:25:16,,EVENT 8 END,EVENT 8 END,0
2261,2024-08-12 23:15:00,Waiter-000003,Take order,Take order,0
2261,2024-08-12 23:15:00,,start,start,0
2261,2024-08-12 23:18:52,Waiter-000001,Review order,Review order,0
2261,2024-08-12 23:20:58,Barman-000003,prepare drinks,prepare drinks,0
2261,2024-08-12 23:33:51,Barman-000001,Bring drinks,Bring drinks,0
2261,2024-08-12 23:41:07,Waiter-000001,Review drinks,Review drinks,0
2261,2024-08-16 19:44:03,Cook-000002,Prepare main course,Prepare main course,0
2261,2024-08-21 23:26:47,Cook-000001,Signal food complete,Signal food complete,0
2261,2024-08-21 23:49:41,Cook helper-000002,Bring food,Bring food,0
2261,2024-08-21 23:51:23,Waiter-000003,Deliver to customer,Deliver to customer,0
2261,2024-08-21 23:51:54,,EVENT 8 END,EVENT 8 END,0
2262,2024-08-12 23:30:00,Waiter-000005,Take order,Take order,0
2262,2024-08-12 23:30:00,,start,start,0
2262,2024-08-12 23:31:26,Waiter-000004,Review order,Review order,0
2262,2024-08-12 23:32:42,Barman-000002,prepare drinks,prepare drinks,0
2262,2024-08-12 23:34:59,Barman-000003,Bring drinks,Bring drinks,0
2262,2024-08-12 23:42:13,Waiter-000005,Review drinks,Review drinks,0
2262,2024-08-12 23:42:22,Barman-000002,prepare drinks,prepare drinks,0
2262,2024-08-12 23:49:37,Barman-000003,Bring drinks,Bring drinks,0
2262,2024-08-12 23:50:19,Waiter-000001,Review drinks,Review drinks,0
2262,2024-08-16 20:35:07,Cook-000001,Prepare main course,Prepare main course,0
2262,2024-08-21 23:49:41,Cook-000001,Signal food complete,Signal food complete,0
2262,2024-08-22 00:37:34,Cook helper-000001,Bring food,Bring food,0
2262,2024-08-22 00:37:56,Waiter-000004,Deliver to customer,Deliver to customer,0
2262,2024-08-22 00:38:25,,EVENT 8 END,EVENT 8 END,0
2263,2024-08-12 23:45:00,Waiter-000004,Take order,Take order,0
2263,2024-08-12 23:45:00,,start,start,0
2263,2024-08-12 23:46:04,Waiter-000002,Review order,Review order,0
2263,2024-08-12 23:47:41,Barman-000001,prepare drinks,prepare drinks,0
2263,2024-08-12 23:51:14,Barman-000002,Bring drinks,Bring drinks,0
2263,2024-08-12 23:55:13,Waiter-000005,Review drinks,Review drinks,0
2263,2024-08-12 23:55:59,Barman-000003,prepare drinks,prepare drinks,0
2263,2024-08-13 00:03:15,Barman-000001,Bring drinks,Bring drinks,0
2263,2024-08-13 00:10:27,Waiter-000001,Review drinks,Review drinks,0
2263,2024-08-13 00:11:20,Barman-000003,prepare drinks,prepare drinks,0
2263,2024-08-13 00:19:26,Barman-000003,Bring drinks,Bring drinks,0
2263,2024-08-13 00:25:07,Waiter-000004,Review drinks,Review drinks,0
2263,2024-08-16 20:50:15,Cook-000002,Prepare main course,Prepare main course,0
2263,2024-08-22 00:04:23,Cook-000002,Signal food complete,Signal food complete,0
2263,2024-08-22 00:14:11,Cook helper-000002,Bring food,Bring food,0
2263,2024-08-22 00:14:22,Waiter-000005,Deliver to customer,Deliver to customer,0
2263,2024-08-22 00:14:35,,EVENT 8 END,EVENT 8 END,0
2264,2024-08-13 00:00:00,Waiter-000003,Take order,Take order,0
2264,2024-08-13 00:00:00,,start,start,0
2264,2024-08-13 00:03:34,Waiter-000004,Review order,Review order,0
2264,2024-08-13 00:04:27,Barman-000002,prepare drinks,prepare drinks,0
2264,2024-08-13 00:07:20,Barman-000003,Bring drinks,Bring drinks,0
2264,2024-08-13 00:08:14,Waiter-000002,Review drinks,Review drinks,0
2264,2024-08-13 00:08:32,Barman-000002,prepare drinks,prepare drinks,0
2264,2024-08-13 00:25:33,Barman-000003,Bring drinks,Bring drinks,0
2264,2024-08-13 00:26:04,Waiter-000002,Review drinks,Review drinks,0
2264,2024-08-16 20:50:52,Cook-000002,Prepare main course,Prepare main course,0
2264,2024-08-22 00:19:02,Cook-000003,Signal food complete,Signal food complete,0
2264,2024-08-22 00:55:32,Cook helper-000003,Bring food,Bring food,0
2264,2024-08-22 01:01:28,Waiter-000005,Deliver to customer,Deliver to customer,0
2264,2024-08-22 01:02:11,,EVENT 8 END,EVENT 8 END,0
2265,2024-08-13 00:15:00,Waiter-000005,Take order,Take order,0
2265,2024-08-13 00:15:00,,start,start,0
2265,2024-08-13 00:15:44,Waiter-000003,Review order,Review order,0
2265,2024-08-13 00:16:28,Barman-000001,prepare drinks,prepare drinks,0
2265,2024-08-13 00:31:34,Barman-000003,Bring drinks,Bring drinks,0
2265,2024-08-13 00:36:06,Waiter-000004,Review drinks,Review drinks,0
2265,2024-08-16 21:05:59,Cook-000003,Prepare main course,Prepare main course,0
2265,2024-08-22 00:34:13,Cook-000002,Signal food complete,Signal food complete,0
2265,2024-08-22 01:09:58,Cook helper-000002,Bring food,Bring food,0
2265,2024-08-22 01:14:20,Waiter-000001,Deliver to customer,Deliver to customer,0
2265,2024-08-22 01:14:54,,EVENT 8 END,EVENT 8 END,0
2266,2024-08-13 00:30:00,Waiter-000001,Take order,Take order,0
2266,2024-08-13 00:30:00,,start,start,0
2266,2024-08-13 00:30:37,Waiter-000005,Review order,Review order,0
2266,2024-08-13 00:30:44,Barman-000002,prepare drinks,prepare drinks,0
2266,2024-08-13 00:35:29,Barman-000001,Bring drinks,Bring drinks,0
2266,2024-08-13 00:39:05,Waiter-000002,Review drinks,Review drinks,0
2266,2024-08-16 21:18:38,Cook-000002,Prepare main course,Prepare main course,0
2266,2024-08-22 00:23:16,Cook-000002,Signal food complete,Signal food complete,0
2266,2024-08-22 00:34:13,Cook helper-000002,Bring food,Bring food,0
2266,2024-08-22 00:45:51,Waiter-000005,Deliver to customer,Deliver to customer,0
2266,2024-08-22 00:45:55,,EVENT 8 END,EVENT 8 END,0
2267,2024-08-13 00:45:00,Waiter-000001,Take order,Take order,0
2267,2024-08-13 00:45:00,,start,start,0
2267,2024-08-13 00:46:05,Waiter-000005,Review order,Review order,0
2267,2024-08-13 00:46:10,Barman-000002,prepare drinks,prepare drinks,0
2267,2024-08-13 00:46:13,Barman-000003,Bring drinks,Bring drinks,0
2267,2024-08-13 00:50:21,Waiter-000003,Review drinks,Review drinks,0
2267,2024-08-16 21:29:02,Cook-000003,Prepare main course,Prepare main course,0
2267,2024-08-22 01:22:16,Cook-000001,Signal food complete,Signal food complete,0
2267,2024-08-22 18:35:31,Cook helper-000002,Bring food,Bring food,0
2267,2024-08-22 18:36:19,Waiter-000003,Deliver to customer,Deliver to customer,0
2267,2024-08-22 18:36:59,,EVENT 8 END,EVENT 8 END,0
2268,2024-08-13 01:00:00,Waiter-000004,Take order,Take order,0
2268,2024-08-13 01:00:00,,start,start,0
2268,2024-08-13 01:00:02,Waiter-000002,Review order,Review order,0
2268,2024-08-13 01:00:08,Barman-000001,prepare drinks,prepare drinks,0
2268,2024-08-13 01:04:00,Barman-000002,Bring drinks,Bring drinks,0
2268,2024-08-13 01:08:46,Waiter-000005,Review drinks,Review drinks,0
2268,2024-08-13 01:10:17,Barman-000003,prepare drinks,prepare drinks,0
2268,2024-08-13 01:15:38,Barman-000001,Bring drinks,Bring drinks,0
2268,2024-08-13 01:19:22,Waiter-000004,Review drinks,Review drinks,0
2268,2024-08-16 21:32:29,Cook-000001,Prepare main course,Prepare main course,0
2268,2024-08-22 00:55:32,Cook-000003,Signal food complete,Signal food complete,0
2268,2024-08-22 01:23:36,Cook helper-000002,Bring food,Bring food,0
2268,2024-08-22 01:28:52,Waiter-000004,Deliver to customer,Deliver to customer,0
2268,2024-08-22 01:32:45,,EVENT 8 END,EVENT 8 END,0
2269,2024-08-13 01:15:00,Waiter-000003,Take order,Take order,0
2269,2024-08-13 01:15:00,,start,start,0
2269,2024-08-13 01:21:46,Waiter-000002,Review order,Review order,0
2269,2024-08-13 01:22:30,Barman-000002,prepare drinks,prepare drinks,0
2269,2024-08-13 01:23:10,Barman-000003,Bring drinks,Bring drinks,0
2269,2024-08-13 01:27:50,Waiter-000001,Review drinks,Review drinks,0
2269,2024-08-13 01:27:59,Barman-000001,prepare drinks,prepare drinks,0
2269,2024-08-13 01:42:23,Barman-000002,Bring drinks,Bring drinks,0
2269,2024-08-13 01:49:19,Waiter-000005,Review drinks,Review drinks,0
2269,2024-08-16 21:48:48,Cook-000002,Prepare main course,Prepare main course,0
2269,2024-08-22 01:09:58,Cook-000002,Signal food complete,Signal food complete,0
2269,2024-08-22 01:14:20,Cook helper-000002,Bring food,Bring food,0
2269,2024-08-22 01:18:05,Waiter-000003,Deliver to customer,Deliver to customer,0
2269,2024-08-22 01:19:23,,EVENT 8 END,EVENT 8 END,0
2270,2024-08-13 01:30:00,Waiter-000005,Take order,Take order,0
2270,2024-08-13 01:30:00,,start,start,0
2270,2024-08-13 01:31:20,Waiter-000004,Review order,Review order,0
2270,2024-08-13 01:32:30,Barman-000002,prepare drinks,prepare drinks,0
2270,2024-08-13 01:40:19,Barman-000003,Bring drinks,Bring drinks,0
2270,2024-08-13 01:42:06,Waiter-000003,Review drinks,Review drinks,0
2270,2024-08-16 22:36:14,Cook-000003,Prepare main course,Prepare main course,0
2270,2024-08-22 18:08:47,Cook-000002,Signal food complete,Signal food complete,0
2270,2024-08-22 18:26:38,Cook helper-000001,Bring food,Bring food,0
2270,2024-08-22 18:28:57,Waiter-000001,Deliver to customer,Deliver to customer,0
2270,2024-08-22 18:29:02,,EVENT 8 END,EVENT 8 END,0
2271,2024-08-13 01:45:00,Waiter-000002,Take order,Take order,0
2271,2024-08-13 01:45:00,,start,start,0
2271,2024-08-13 01:45:39,Waiter-000001,Review order,Review order,0
2271,2024-08-13 01:45:59,Cook helper-000003,Prepare starter,Prepare starter,0
2271,2024-08-13 01:45:59,Barman-000003,prepare drinks,prepare drinks,0
2271,2024-08-13 01:49:59,Barman-000001,Bring drinks,Bring drinks,0
2271,2024-08-13 18:00:41,Waiter-000003,Review drinks,Review drinks,0
2271,2024-08-16 22:36:29,Cook-000001,Prepare main course,Prepare main course,0
2271,2024-08-22 01:28:33,Cook-000003,Signal food complete,Signal food complete,0
2271,2024-08-22 01:45:39,Cook helper-000001,Bring food,Bring food,0
2271,2024-08-22 01:47:52,Waiter-000002,Deliver to customer,Deliver to customer,0
2271,2024-08-22 01:50:08,,EVENT 8 END,EVENT 8 END,0
2272,2024-08-13 02:00:00,,start,start,0
2272,2024-08-13 18:00:00,Waiter-000004,Take order,Take order,0
2272,2024-08-13 18:02:33,Waiter-000002,Review order,Review order,0
2272,2024-08-13 18:03:08,Barman-000002,prepare drinks,prepare drinks,0
2272,2024-08-13 18:04:48,Barman-000003,Bring drinks,Bring drinks,0
2272,2024-08-13 18:04:54,Waiter-000005,Review drinks,Review drinks,0
2272,2024-08-16 22:58:24,Cook-000001,Prepare main course,Prepare main course,0
2272,2024-08-22 01:45:39,Cook-000003,Signal food complete,Signal food complete,0
2272,2024-08-22 18:39:25,Cook helper-000001,Bring food,Bring food,0
2272,2024-08-22 18:43:19,Waiter-000004,Deliver to customer,Deliver to customer,0
2272,2024-08-22 18:45:04,,EVENT 8 END,EVENT 8 END,0
2273,2024-08-13 18:15:00,Waiter-000004,Take order,Take order,0
2273,2024-08-13 18:15:00,,start,start,0
2273,2024-08-13 18:15:21,Waiter-000002,Review order,Review order,0
2273,2024-08-13 18:16:56,Cook helper-000003,Prepare starter,Prepare starter,0
2273,2024-08-13 18:16:56,Barman-000001,prepare drinks,prepare drinks,0
2273,2024-08-13 18:20:09,Barman-000002,Bring drinks,Bring drinks,0
2273,2024-08-13 18:23:30,Waiter-000001,Review drinks,Review drinks,0
2273,2024-08-16 23:00:04,Cook-000001,Prepare main course,Prepare main course,0
2273,2024-08-22 18:26:38,Cook-000002,Signal food complete,Signal food complete,0
2273,2024-08-22 18:30:05,Cook helper-000003,Bring food,Bring food,0
2273,2024-08-22 18:31:50,Waiter-000004,Deliver to customer,Deliver to customer,0
2273,2024-08-22 18:34:39,,EVENT 8 END,EVENT 8 END,0
2274,2024-08-13 18:30:00,Waiter-000005,Take order,Take order,0
2274,2024-08-13 18:30:00,,start,start,0
2274,2024-08-13 18:33:18,Waiter-000003,Review order,Review order,0
2274,2024-08-13 18:33:35,Barman-000003,prepare drinks,prepare drinks,0
2274,2024-08-13 18:33:50,Barman-000001,Bring drinks,Bring drinks,0
2274,2024-08-13 18:41:27,Waiter-000004,Review drinks,Review drinks,0
2274,2024-08-13 18:41:55,Barman-000002,prepare drinks,prepare drinks,0
2274,2024-08-13 18:45:50,Barman-000003,Bring drinks,Bring drinks,0
2274,2024-08-13 18:53:34,Waiter-000002,Review drinks,Review drinks,0
2274,2024-08-16 23:53:07,Cook-000002,Prepare main course,Prepare main course,0
2274,2024-08-22 19:35:10,Cook-000003,Signal food complete,Signal food complete,0
2274,2024-08-22 20:17:39,Cook helper-000003,Bring food,Bring food,0
2274,2024-08-22 20:22:00,Waiter-000002,Deliver to customer,Deliver to customer,0
2274,2024-08-22 20:25:26,,EVENT 8 END,EVENT 8 END,0
2275,2024-08-13 18:45:00,Waiter-000001,Take order,Take order,0
2275,2024-08-13 18:45:00,,start,start,0
2275,2024-08-13 18:45:15,Waiter-000005,Review order,Review order,0
2275,2024-08-13 18:45:56,Barman-000001,prepare drinks,prepare drinks,0
2275,2024-08-13 18:50:10,Barman-000002,Bring drinks,Bring drinks,0
2275,2024-08-13 18:51:41,Waiter-000004,Review drinks,Review drinks,0
2275,2024-08-13 18:52:41,Barman-000001,prepare drinks,prepare drinks,0
2275,2024-08-13 19:02:26,Barman-000003,Bring drinks,Bring drinks,0
2275,2024-08-13 19:14:15,Waiter-000005,Review drinks,Review drinks,0
2275,2024-08-17 00:11:03,Cook-000001,Prepare main course,Prepare main course,0
2275,2024-08-22 19:17:21,Cook-000002,Signal food complete,Signal food complete,0
2275,2024-08-22 19:24:17,Cook helper-000003,Bring food,Bring food,0
2275,2024-08-22 19:29:27,Waiter-000001,Deliver to customer,Deliver to customer,0
2275,2024-08-22 19:30:40,,EVENT 8 END,EVENT 8 END,0
2276,2024-08-13 19:00:00,Waiter-000003,Take order,Take order,0
2276,2024-08-13 19:00:00,,start,start,0
2276,2024-08-13 19:00:27,Waiter-000004,Review order,Review order,0
2276,2024-08-13 19:00:39,Barman-000002,prepare drinks,prepare drinks,0
2276,2024-08-13 19:10:37,Barman-000001,Bring drinks,Bring drinks,0
2276,2024-08-13 19:12:59,Waiter-000002,Review drinks,Review drinks,0
2276,2024-08-17 00:42:23,Cook-000001,Prepare main course,Prepare main course,0
2276,2024-08-22 20:11:24,Cook-000002,Signal food complete,Signal food complete,0
2276,2024-08-22 20:44:41,Cook helper-000002,Bring food,Bring food,0
2276,2024-08-22 20:47:40,Waiter-000003,Deliver to customer,Deliver to customer,0
2276,2024-08-22 20:51:57,,EVENT 8 END,EVENT 8 END,0
2277,2024-08-13 19:15:00,Waiter-000001,Take order,Take order,0
2277,2024-08-13 19:15:00,,start,start,0
2277,2024-08-13 19:16:27,Waiter-000003,Review order,Review order,0
2277,2024-08-13 19:17:40,Barman-000002,prepare drinks,prepare drinks,0
2277,2024-08-13 19:21:38,Barman-000001,Bring drinks,Bring drinks,0
2277,2024-08-13 19:25:54,Waiter-000002,Review drinks,Review drinks,0
2277,2024-08-13 19:25:59,Barman-000003,prepare drinks,prepare drinks,0
2277,2024-08-13 19:26:02,Barman-000002,Bring drinks,Bring drinks,0
2277,2024-08-13 19:32:33,Waiter-000004,Review drinks,Review drinks,0
2277,2024-08-17 00:49:53,Cook-000002,Prepare main course,Prepare main course,0
2277,2024-08-22 19:38:45,Cook-000001,Signal food complete,Signal food complete,0
2277,2024-08-22 21:22:01,Cook helper-000001,Bring food,Bring food,0
2277,2024-08-22 21:22:50,Waiter-000005,Deliver to customer,Deliver to customer,0
2277,2024-08-22 21:24:51,,EVENT 8 END,EVENT 8 END,0
2278,2024-08-13 19:30:00,Waiter-000001,Take order,Take order,0
2278,2024-08-13 19:30:00,,start,start,0
2278,2024-08-13 19:30:59,Waiter-000003,Review order,Review order,0
2278,2024-08-13 19:32:40,Barman-000001,prepare drinks,prepare drinks,0
2278,2024-08-13 19:42:26,Barman-000003,Bring drinks,Bring drinks,0
