Case,Timestamp,original_activity,Activity_fixed,label
6518750,2013-01-09 08:00:01,register submission date request,register submission date request,
6518750,2013-01-14 17:21:32,phase application received,phase application received,
6518750,2013-01-14 17:21:39,regular procedure without MER,regular procedure without MER,
6518750,2013-01-14 17:21:40,start WABOprocedure,start WABOprocedure,
6518750,2013-05-13 07:00:13,enter date draft decisionenvironmental permit,enter senddate decision environmental permit,
6518750,2013-05-13 07:00:14,entering senddate draft decision environmental permit,enter senddate decision environmental permit,
6518750,2013-05-13 07:00:15,set decision phase: draft decision permitted sent,phase decision sent,
6518750,2013-05-13 07:00:16,start decisionphase draft decision - permitting decided,phase decision sent,
6518750,2013-05-16 07:00:02,date draft decision for inspection,date decision for inspection,
6518750,2013-05-16 07:00:03,set decision phase: draft decision for inspection,date decision for inspection,
6518750,2013-07-01 07:00:24,article 34  WABO applies,article 34  WABO applies,
6518750,2013-07-01 07:00:25,assessment of content completed,assessment of content completed,
6518750,2013-07-01 07:00:26,completed subcases content,treat subcases content,
6518750,2013-07-01 07:00:27,coordination of application,coordination of application,
6518750,2013-07-01 07:00:28,create cover letter draft decision,creating cover letter decision,
6518750,2013-07-01 07:00:29,create draft environtmental permit,create draft environtmental permit,
6518750,2013-07-01 07:00:30,create publication document,create publication document,
6518750,2013-07-01 07:00:31,create publication document,create publication document,
6518750,2013-07-01 07:00:32,create publication document,create publication document,
6518750,2013-07-01 07:00:33,create subcases completeness,treat subcases content,
6518750,2013-07-01 07:00:34,create subcases submit draft decision,submit decision,
6518750,2013-07-01 07:00:35,creating cover letter decision,creating cover letter decision,
6518750,2013-07-01 07:00:36,creating environmental permit decision,enter senddate decision environmental permit,
6518750,2013-07-01 07:00:37,decision date prior to decision,decision date prior to decision,
6518750,2013-07-01 07:00:38,enrich draft decision,enrich draft decision,
6518750,2013-07-01 07:00:39,enrich draft decision,enrich draft decision,
6518750,2013-07-01 07:00:40,enter date advice on treatment of environmental permit,enter date advice on treatment of environmental permit,
6518750,2013-07-01 07:00:41,enter senddate decision environmental permit,enter senddate decision environmental permit,
6518750,2013-07-01 07:00:42,enter senddate draft decision,enter senddate decision,
6518750,2013-07-01 07:00:43,generate draft decision environmental permit,enter senddate decision environmental permit,
6518750,2013-07-01 07:00:44,generating decision environmental permit,enter senddate decision environmental permit,
6518750,2013-07-01 07:00:45,grounds for refusal,grounds for refusal,
6518750,2013-07-01 07:00:46,open draft decision for inspection,date decision for inspection,
6518750,2013-07-01 07:00:47,perspective on draft decision environmental permit received,enter senddate decision environmental permit,
6518750,2013-07-01 07:00:48,phase advice known,phase advice known,
6518750,2013-07-01 07:00:49,phase application receptive,phase application received,
6518750,2013-07-01 07:00:50,phase concept draft decision ready,phase decision sent,
6518750,2013-07-01 07:00:51,phase decision ready,phase decision sent,
6518750,2013-07-01 07:00:52,phase decision sent,phase decision sent,
6518750,2013-07-01 07:00:53,phase decision taken,phase decision sent,
6518750,2013-07-01 07:00:54,phase draft decision made,phase decision sent,
6518750,2013-07-01 07:00:55,phase draft decision ready,phase decision sent,
6518750,2013-07-01 07:00:56,procedure change,procedure change,
6518750,2013-07-01 07:00:57,procedure change,procedure change,
6518750,2013-07-01 07:00:58,procedure change after completeness,procedure change after completeness,
6518750,2013-07-01 07:00:59,register objection and appeal periods,register objection and appeal periods,
6518750,2013-07-01 07:01:00,request complete,request complete,
6518750,2013-07-01 07:01:01,send letter in progress,send letter in progress,
6518750,2013-07-01 07:01:02,set decision phase decision permitting decided,phase decision sent,
6518750,2013-07-01 07:01:03,set decision status,set decision status,
6518750,2013-07-01 07:01:04,set decision status,set decision status,
6518750,2013-07-01 07:01:05,start WABOprocedure,start WABOprocedure,
6518750,2013-07-01 07:01:06,start decision phase decision permitting sent,phase decision sent,
6518750,2013-07-01 07:01:07,submit decision,submit decision,
6518750,2013-07-01 07:01:08,submit draft decision,submit decision,
6518750,2013-07-01 07:01:09,suspension ground applicable,suspension ground applicable,
6518750,2013-07-01 07:01:10,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
6518750,2013-07-01 07:01:11,treat subcases content,treat subcases content,
6518750,2013-07-01 19:19:30,enter senddate decision environmental permit,enter senddate decision environmental permit,
6518750,2013-07-11 07:00:01,date decision for inspection,date decision for inspection,
6518750,2013-07-11 07:00:02,set decision phase inspection of decision permitting,phase decision sent,
6526551,2013-01-10 08:00:04,register submission date request,register submission date request,
6526551,2013-01-14 23:46:15,regular procedure without MER,regular procedure without MER,
6526551,2013-01-14 23:46:16,start WABOprocedure,start WABOprocedure,
6526551,2013-01-15 08:00:07,enter senddate acknowledgement,enter senddate acknowledgement,
6526551,2013-03-01 20:39:31,request complete,request complete,
6526551,2013-03-01 20:39:47,phase advice known,phase advice known,
6526551,2013-03-04 08:00:04,set decision phase decision permitting decided,phase decision sent,
6526551,2013-03-04 16:27:58,record date of decision environmental permit,enter senddate decision environmental permit,
6526551,2013-03-04 16:27:59,submit decision,submit decision,
6526551,2013-03-04 16:29:32,phase decision sent,phase decision sent,
6526551,2013-03-05 08:00:01,enter senddate decision environmental permit,enter senddate decision environmental permit,
6526551,2013-03-05 08:00:02,start decision phase decision permitting sent,phase decision sent,
6543942,2013-01-09 08:00:02,register submission date request,register submission date request,
6543942,2013-01-16 18:23:57,phase application received,phase application received,
6543942,2013-01-16 18:23:58,send confirmation receipt,send confirmation receipt,
6543942,2013-01-16 18:25:23,send confirmation receipt,send confirmation receipt,
6543942,2013-01-16 18:25:28,start WABOprocedure,start WABOprocedure,
6543942,2013-02-26 23:11:19,request complete,request complete,
6543942,2013-02-26 23:11:49,phase advice known,phase advice known,
6543942,2013-02-26 23:12:16,creating environmental permit decision,enter senddate decision environmental permit,
6543942,2013-02-28 23:49:08,phase decision ready,phase decision sent,
6543942,2013-03-01 08:00:05,record date of decision environmental permit,enter senddate decision environmental permit,
6543942,2013-03-01 08:00:06,set decision phase decision permitting decided,phase decision sent,
6543942,2013-03-01 08:00:07,start decision phase decision permitting sent,phase decision sent,
6543942,2013-03-01 17:01:35,enter senddate decision environmental permit,enter senddate decision environmental permit,
6543942,2013-03-01 17:01:36,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
6543942,2013-03-01 17:01:41,phase decision sent,phase decision sent,
6544807,2013-01-10 08:00:05,register submission date request,register submission date request,
6544807,2013-01-17 18:48:21,phase application received,phase application received,
6544807,2013-01-17 18:50:19,send confirmation receipt,send confirmation receipt,
6544807,2013-01-17 18:50:30,regular procedure without MER,regular procedure without MER,
6544807,2013-01-17 18:50:31,start WABOprocedure,start WABOprocedure,
6544807,2013-04-09 07:00:06,start decision phase extension granted,start decision phase extension granted,
6544807,2013-04-09 15:59:36,register number of days extension period,register number of days extension period,
6544807,2013-04-09 15:59:53,enter date decision procedure term extension,enter senddate decision procedure term extension,
6544807,2013-04-09 16:00:32,phase procedure extended,phase procedure extended,
6544807,2013-04-09 16:02:17,enter senddate decision procedure term extension,enter senddate decision procedure term extension,
6544807,2013-04-15 18:29:48,phase additional information received,receive additional information,
6544807,2013-05-22 07:00:01,article 34  WABO applies,article 34  WABO applies,
6544807,2013-05-22 07:00:02,ask stakeholders views,ask stakeholders views,
6544807,2013-05-22 07:00:03,assessment of content completed,assessment of content completed,
6544807,2013-05-22 07:00:04,by law,by law,
6544807,2013-05-22 07:00:05,completed subcases content,treat subcases content,
6544807,2013-05-22 07:00:06,coordination of application,coordination of application,
6544807,2013-05-22 07:00:07,creating environmental permit decision,enter senddate decision environmental permit,
6544807,2013-05-22 07:00:08,decision date prior to decision,decision date prior to decision,
6544807,2013-05-22 07:00:09,grounds for refusal,grounds for refusal,
6544807,2013-05-22 07:00:10,phase advice known,phase advice known,
6544807,2013-05-22 07:00:11,phase application receptive,phase application received,
6544807,2013-05-22 07:00:12,procedure change,procedure change,
6544807,2013-05-22 07:00:13,procedure change after completeness,procedure change after completeness,
6544807,2013-05-22 07:00:14,request complete,request complete,
6544807,2013-05-22 07:00:15,send confirmation receipt additional data,send confirmation receipt,
6544807,2013-05-22 07:00:16,send letter in progress,send letter in progress,
6544807,2013-05-22 07:00:17,set decision status,set decision status,
6544807,2013-05-22 07:00:18,suspension ground applicable,suspension ground applicable,
6544807,2013-05-22 07:00:19,treat subcases content,treat subcases content,
6544807,2013-05-23 07:00:05,create subcases present decision,create subcases present decision,
6544807,2013-05-23 07:00:06,enrich decision,enrich draft decision,
6544807,2013-05-23 07:00:07,generating decision environmental permit,enter senddate decision environmental permit,
6544807,2013-05-23 07:00:08,phase concept decision ready,phase decision sent,
6544807,2013-05-23 07:00:09,phase decision ready,phase decision sent,
6544807,2013-05-23 07:00:10,set decision phase decision permitting decided,phase decision sent,
6544807,2013-05-23 07:00:11,submit decision,submit decision,
6544807,2013-05-24 07:00:04,create publication document,create publication document,
6544807,2013-05-24 07:00:05,creating cover letter decision,creating cover letter decision,
6544807,2013-05-24 07:00:06,enter senddate decision environmental permit,enter senddate decision environmental permit,
6544807,2013-05-24 07:00:07,phase decision sent,phase decision sent,
6544807,2013-05-24 07:00:08,phase decision taken,phase decision sent,
6544807,2013-05-24 07:00:09,register objection and appeal periods,register objection and appeal periods,
6544807,2013-05-24 07:00:10,start decision phase decision permitting sent,phase decision sent,
6544807,2013-05-24 07:00:11,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
6544807,2013-05-24 15:57:56,enter senddate decision environmental permit,enter senddate decision environmental permit,
6545518,2013-01-22 20:10:42,send confirmation receipt,send confirmation receipt,
6545518,2013-01-22 20:10:44,regular procedure without MER,regular procedure without MER,
6545518,2013-01-22 20:10:45,start WABOprocedure,start WABOprocedure,
6545518,2013-03-04 08:00:05,record date of decision environmental permit,enter senddate decision environmental permit,
6545518,2013-03-04 08:00:06,set decision phase decision permitting decided,phase decision sent,
6545518,2013-03-04 23:26:22,request complete,request complete,
6545518,2013-03-04 23:26:36,phase advice known,phase advice known,
6545518,2013-03-04 23:26:37,grounds for refusal,grounds for refusal,
6545518,2013-03-04 23:26:38,ask stakeholders views,ask stakeholders views,
6545518,2013-03-04 23:26:39,suspension ground applicable,suspension ground applicable,
6545518,2013-03-04 23:26:43,creating environmental permit decision,enter senddate decision environmental permit,
6545518,2013-03-05 08:00:03,start decision phase decision permitting sent,phase decision sent,
6545518,2013-03-05 17:26:55,submit decision,submit decision,
6545518,2013-03-05 17:33:36,enter senddate decision environmental permit,enter senddate decision environmental permit,
6545518,2013-03-05 17:33:37,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
6545518,2013-03-05 17:33:43,phase decision sent,phase decision sent,
6574954,2013-01-17 08:00:02,register submission date request,register submission date request,
6574954,2013-01-22 00:03:28,phase application received,phase application received,
6574954,2013-01-22 00:03:36,regular procedure without MER,regular procedure without MER,
6574954,2013-01-22 00:03:37,start WABOprocedure,start WABOprocedure,
6574954,2013-02-11 19:01:59,start WABOprocedure,start WABOprocedure,
6574954,2013-10-30 08:00:01,assessment of content completed,assessment of content completed,
6574954,2013-10-30 08:00:02,completed subcases content,treat subcases content,
6574954,2013-10-30 08:00:03,create draft environtmental permit,create draft environtmental permit,
6574954,2013-10-30 08:00:04,grounds for refusal,grounds for refusal,
6574954,2013-10-30 08:00:05,phase advice known,phase advice known,
6574954,2013-10-30 08:00:06,phase application receptive,phase application received,
6574954,2013-10-30 08:00:07,procedure change,procedure change,
6574954,2013-10-30 08:00:08,procedure change after completeness,procedure change after completeness,
6574954,2013-10-30 08:00:09,request complete,request complete,
6574954,2013-10-30 08:00:10,send letter in progress,send letter in progress,
6574954,2013-10-30 08:00:11,treat subcases content,treat subcases content,
6574954,2013-11-01 08:00:05,create cover letter draft decision,creating cover letter decision,
6574954,2013-11-01 08:00:06,create publication document,create publication document,
6574954,2013-11-01 08:00:07,enrich draft decision,enrich draft decision,
6574954,2013-11-01 08:00:08,enter date advice on treatment of environmental permit,enter date advice on treatment of environmental permit,
6574954,2013-11-01 08:00:09,generate draft decision environmental permit,enter senddate decision environmental permit,
6574954,2013-11-01 08:00:10,open draft decision for inspection,date decision for inspection,
6574954,2013-11-01 08:00:11,phase concept draft decision ready,phase decision sent,
6574954,2013-11-01 08:00:12,phase draft decision made,phase decision sent,
6574954,2013-11-01 08:00:13,phase draft decision ready,phase decision sent,
6574954,2013-11-01 08:00:14,set decision status,set decision status,
6574954,2013-11-01 08:00:15,submit draft decision,submit decision,
6574954,2013-11-04 08:00:01,enter senddate draft decision,enter senddate decision,
6574954,2013-11-04 08:00:02,entering senddate draft decision environmental permit,enter senddate decision environmental permit,
6574954,2013-11-04 08:00:03,set decision phase: draft decision permitted sent,phase decision sent,
6574954,2013-11-04 08:00:04,start decisionphase draft decision - permitting decided,phase decision sent,
6574954,2013-11-07 08:00:01,set decision phase: draft decision for inspection,date decision for inspection,
6574954,2013-12-17 08:00:01,create publication document,create publication document,
6574954,2013-12-17 08:00:02,creating cover letter decision,creating cover letter decision,
6574954,2013-12-17 08:00:03,creating environmental permit decision,enter senddate decision environmental permit,
6574954,2013-12-17 08:00:04,decision date prior to decision,decision date prior to decision,
6574954,2013-12-17 08:00:05,enter senddate decision environmental permit,enter senddate decision environmental permit,
6574954,2013-12-17 08:00:06,enter senddate draft decision,enter senddate decision,
6574954,2013-12-17 08:00:07,generate publication document decision environmental permit,enter senddate decision environmental permit,
6574954,2013-12-17 08:00:08,generating decision environmental permit,enter senddate decision environmental permit,
6574954,2013-12-17 08:00:09,perspective on draft decision environmental permit received,enter senddate decision environmental permit,
6574954,2013-12-17 08:00:10,phase decision ready,phase decision sent,
6574954,2013-12-17 08:00:11,phase decision sent,phase decision sent,
6574954,2013-12-17 08:00:12,phase decision taken,phase decision sent,
6574954,2013-12-17 08:00:13,register objection and appeal periods,register objection and appeal periods,
6574954,2013-12-17 08:00:14,send design decision to stakeholders,send design decision to stakeholders,
6574954,2013-12-17 08:00:15,set decision status,set decision status,
6574954,2013-12-17 08:00:16,submit decision,submit decision,
6574954,2013-12-17 08:00:17,suspension ground applicable,suspension ground applicable,
6574954,2013-12-17 08:00:18,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
6574954,2013-12-20 08:00:01,enter senddate decision environmental permit,enter senddate decision environmental permit,
6574954,2013-12-20 08:00:02,record date of decision environmental permit,enter senddate decision environmental permit,
6574954,2013-12-20 08:00:03,set decision phase decision permitting decided,phase decision sent,
6574954,2013-12-20 08:00:04,start decision phase decision permitting sent,phase decision sent,
6574954,2013-12-24 08:00:01,set decision phase inspection of decision permitting,phase decision sent,
6574954,2014-02-05 08:00:01,close case,close case,
6574954,2014-02-05 08:00:02,phase archived case,phase archived case,
6574954,2014-02-05 08:00:03,phase case handled,phase case handled,
6574954,2014-02-05 08:00:04,phase decision irrevocable,phase decision irrevocable,
6574954,2014-02-05 08:00:05,read publication date field,read publication date field,
6574954,2014-02-05 08:00:06,register deadline,register deadline,
6574954,2014-02-05 08:00:07,stop all running subcases 2b,stop all running subcases 2b,
6618380,2013-01-18 08:00:03,register submission date request,register submission date request,
6618380,2013-01-24 22:20:37,phase application received,phase application received,
6618380,2013-01-24 22:33:49,regular procedure without MER,regular procedure without MER,
6618380,2013-01-24 22:33:50,start WABOprocedure,start WABOprocedure,
6618380,2013-03-07 17:10:08,phase advice known,phase advice known,
6618380,2013-04-16 18:32:46,submit decision,submit decision,
6618380,2013-04-22 07:00:04,record date of decision environmental permit,enter senddate decision environmental permit,
6618380,2013-04-22 07:00:05,set decision phase decision permitting decided,phase decision sent,
6618380,2013-04-22 07:00:06,start decision phase decision permitting sent,phase decision sent,
6618380,2013-04-22 16:53:57,enter senddate decision environmental permit,enter senddate decision environmental permit,
6618380,2013-04-22 16:53:58,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
6618380,2013-04-22 16:54:59,phase decision sent,phase decision sent,
6663791,2013-01-28 08:00:13,register submission date request,register submission date request,
6663791,2013-01-31 19:16:17,phase application received,phase application received,
6663791,2013-01-31 19:16:24,send confirmation receipt,send confirmation receipt,
6663791,2013-01-31 19:16:26,regular procedure without MER,regular procedure without MER,
6663791,2013-01-31 19:16:27,start WABOprocedure,start WABOprocedure,
6663791,2013-01-31 19:16:28,create procedure confirmation,enter senddate procedure confirmation,
6663791,2013-02-04 08:00:01,set decision phase suspension decided,keep permanently suspended,
6663791,2013-02-04 08:00:02,set decision phase suspension sent,keep permanently suspended,
6663791,2013-02-04 08:00:03,set decision phase: suspension cancelled,keep permanently suspended,
6663791,2013-02-04 23:44:30,enter date decision suspension,enter senddate decision,
6663791,2013-02-04 23:44:31,phase decision suspended,phase decision sent,
6663791,2013-02-04 23:44:39,send decision suspension,enter senddate decision,
6663791,2013-02-04 23:44:55,subcase art. 33 WABO completed,subcase art. 33 WABO completed,
6663791,2013-02-04 23:45:21,phase procedure resumed,phase procedure resumed,
6663791,2013-04-09 07:00:07,record date of decision environmental permit,enter senddate decision environmental permit,
6663791,2013-04-09 07:00:08,set decision phase decision permitting decided,phase decision sent,
6663791,2013-04-09 07:00:09,start decision phase decision permitting sent,phase decision sent,
6663791,2013-04-11 20:49:03,submit decision,submit decision,
6663791,2013-04-15 07:00:02,enter senddate decision,enter senddate decision,
6663791,2013-04-15 07:00:03,enter senddate decision environmental permit,enter senddate decision environmental permit,
6663791,2013-05-31 07:00:01,set phase: phase permitting irrevocable,set phase: phase permitting irrevocable,
6663791,2013-06-28 07:00:14,close case,close case,
6663791,2013-06-28 07:00:15,objection lodged against decision,objection lodged against decision,
6663791,2013-06-28 07:00:16,phase archived case,phase archived case,
6663791,2013-06-28 07:00:17,phase case handled,phase case handled,
6663791,2013-06-28 07:00:18,phase decision irrevocable,phase decision irrevocable,
6663791,2013-06-28 07:00:19,read publication date field,read publication date field,
6663791,2013-06-28 07:00:20,stop all running subcases 2b,stop all running subcases 2b,
6672485,2013-01-29 08:00:05,register submission date request,register submission date request,
6672485,2013-02-01 16:07:22,phase application received,phase application received,
6672485,2013-02-01 16:07:23,send confirmation receipt,send confirmation receipt,
6672485,2013-02-01 16:33:21,regular procedure without MER,regular procedure without MER,
6672485,2013-02-01 16:33:22,start WABOprocedure,start WABOprocedure,
6672485,2013-02-01 16:33:23,create procedure confirmation,enter senddate procedure confirmation,
6672485,2013-03-22 00:04:27,phase advice known,phase advice known,
6672485,2013-03-27 21:15:29,submit decision,submit decision,
6672485,2013-03-27 21:15:39,phase decision ready,phase decision sent,
6672485,2013-03-29 08:00:01,set decision phase decision permitting decided,phase decision sent,
6672485,2013-03-29 08:00:02,start decision phase decision permitting sent,phase decision sent,
6672485,2013-03-29 17:52:06,enter senddate decision environmental permit,enter senddate decision environmental permit,
6672485,2013-03-29 17:52:07,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
6672485,2013-03-29 17:52:26,phase decision sent,phase decision sent,
6683602,2013-02-04 17:09:17,phase application received,phase application received,
6683602,2013-02-04 17:10:59,send confirmation receipt,send confirmation receipt,
6683602,2013-02-04 17:11:01,regular procedure without MER,regular procedure without MER,
6683602,2013-02-04 17:11:02,start WABOprocedure,start WABOprocedure,
6683602,2013-03-12 08:00:06,set decision phase decision permitting decided,phase decision sent,
6683602,2013-03-12 08:00:07,start decision phase decision permitting sent,phase decision sent,
6683602,2013-03-12 19:26:33,request complete,request complete,
6683602,2013-03-12 20:37:16,record date of decision environmental permit,enter senddate decision environmental permit,
6683602,2013-03-12 20:48:49,enter senddate decision environmental permit,enter senddate decision environmental permit,
6683602,2013-03-12 20:48:50,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
6683602,2013-03-12 20:48:54,phase decision sent,phase decision sent,
6705233,2013-02-04 08:00:04,register submission date request,register submission date request,
6705233,2013-02-06 17:30:09,phase application received,phase application received,
6705233,2013-02-06 17:37:46,send confirmation receipt,send confirmation receipt,
6705233,2013-02-06 17:37:54,regular procedure without MER,regular procedure without MER,
6705233,2013-02-06 17:37:55,start WABOprocedure,start WABOprocedure,
6705233,2013-02-14 18:59:11,request complete,request complete,
6705233,2013-02-14 18:59:35,phase advice known,phase advice known,
6705233,2013-02-14 19:04:33,creating environmental permit decision,enter senddate decision environmental permit,
6705233,2013-02-14 19:12:40,phase decision sent,phase decision sent,
6705233,2013-02-19 08:00:06,register date environmental permit decision,enter senddate decision environmental permit,
6705233,2013-02-19 08:00:07,set decision phase decision permitting decided,phase decision sent,
6705233,2013-02-19 08:00:08,start decision phase decision permitting sent,phase decision sent,
6705233,2013-02-25 08:00:05,enter senddate decision,enter senddate decision,
6705233,2013-02-25 08:00:06,enter senddate decision environmental permit,enter senddate decision environmental permit,
6705233,2013-04-12 07:00:06,register deadline,register deadline,
6705233,2013-04-12 07:00:07,set phase: phase permitting irrevocable,set phase: phase permitting irrevocable,
6705233,2013-04-22 16:41:17,read publication date field,read publication date field,
6705233,2013-04-22 16:41:28,phase case handled,phase case handled,
6705233,2013-04-22 16:41:29,stop all running subcases 2b,stop all running subcases 2b,
6718840,2013-02-05 08:00:02,register submission date request,register submission date request,
6718840,2013-02-07 23:24:52,phase application received,phase application received,
6718840,2013-02-07 23:24:53,send confirmation receipt,send confirmation receipt,
6718840,2013-02-07 23:26:55,send confirmation receipt,send confirmation receipt,
6718840,2013-02-07 23:26:56,forward to the competent authority,forward to the competent authority,
6718840,2013-02-07 23:26:57,regular procedure without MER,regular procedure without MER,
6718840,2013-02-07 23:26:58,start WABOprocedure,start WABOprocedure,
6718840,2013-02-07 23:26:59,create procedure confirmation,enter senddate procedure confirmation,
6718840,2013-03-15 20:35:06,request complete,request complete,
6718840,2013-03-22 19:41:05,submit decision,submit decision,
6718840,2013-03-22 19:46:10,phase decision sent,phase decision sent,
6718840,2013-03-26 08:00:02,enter senddate decision,enter senddate decision,
6718840,2013-03-26 08:00:03,enter senddate decision environmental permit,enter senddate decision environmental permit,
6718840,2013-03-26 08:00:04,record date of decision environmental permit,enter senddate decision environmental permit,
6718840,2013-03-26 08:00:05,set decision phase decision permitting decided,phase decision sent,
6718840,2013-03-26 08:00:06,start decision phase decision permitting sent,phase decision sent,
6743180,2013-02-07 08:00:01,register submission date request,register submission date request,
6743180,2013-02-14 17:31:01,phase application received,phase application received,
6743180,2013-02-14 17:33:25,send confirmation receipt,send confirmation receipt,
6743180,2013-02-14 17:33:27,regular procedure without MER,regular procedure without MER,
6743180,2013-02-14 17:33:28,start WABOprocedure,start WABOprocedure,
6743180,2013-03-29 21:16:49,request complete,request complete,
6743180,2013-03-29 21:16:59,phase advice known,phase advice known,
6743180,2013-03-29 21:17:00,grounds for refusal,grounds for refusal,
6743180,2013-03-29 21:17:01,ask stakeholders views,ask stakeholders views,
6743180,2013-03-29 21:17:02,suspension ground applicable,suspension ground applicable,
6743180,2013-03-29 21:17:05,creating environmental permit decision,enter senddate decision environmental permit,
6743180,2013-03-29 21:17:06,set decision status,set decision status,
6743180,2013-04-02 07:00:07,set decision phase decision permitting decided,phase decision sent,
6743180,2013-04-02 07:00:08,start decision phase decision permitting sent,phase decision sent,
6743180,2013-04-02 16:22:31,record date of decision environmental permit,enter senddate decision environmental permit,
6743180,2013-04-02 16:23:23,enter senddate decision environmental permit,enter senddate decision environmental permit,
6743180,2013-04-02 16:23:24,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,
6745647,2013-02-05 08:00:03,register submission date request,register submission date request,
6745647,2013-02-14 18:13:54,phase application received,phase application received,
6745647,2013-02-14 18:18:05,send confirmation receipt,send confirmation receipt,
6745647,2013-02-14 18:18:06,forward to the competent authority,forward to the competent authority,
6745647,2013-02-14 18:18:07,regular procedure without MER,regular procedure without MER,
6745647,2013-02-14 18:18:08,start WABOprocedure,start WABOprocedure,
6745647,2013-02-14 18:18:09,create procedure confirmation,enter senddate procedure confirmation,
6745647,2013-03-04 17:38:23,request complete,request complete,
6745647,2013-03-04 17:38:44,phase advice known,phase advice known,
6745647,2013-03-04 17:38:45,grounds for refusal,grounds for refusal,
6745647,2013-03-04 17:39:05,creating environmental permit decision,enter senddate decision environmental permit,
6745647,2013-03-04 17:39:22,submit decision,submit decision,
6745647,2013-03-05 08:00:04,record date of decision environmental permit,enter senddate decision environmental permit,
6745647,2013-03-05 08:00:05,set decision phase decision permitting decided,phase decision sent,
6745647,2013-03-05 08:00:06,start decision phase decision permitting sent,phase decision sent,
6745647,2013-03-11 08:00:01,enter senddate decision environmental permit,enter senddate decision environmental permit,
6745647,2013-04-26 07:00:01,set phase: phase permitting irrevocable,set phase: phase permitting irrevocable,
6745647,2013-05-23 07:00:12,close case,close case,
6745647,2013-05-23 07:00:13,objection lodged against decision,objection lodged against decision,
6745647,2013-05-23 07:00:14,phase archived case,phase archived case,
6745647,2013-05-23 07:00:15,phase case handled,phase case handled,
6745647,2013-05-23 07:00:16,phase decision irrevocable,phase decision irrevocable,
6745647,2013-05-23 07:00:17,read publication date field,read publication date field,
6745647,2013-05-23 07:00:18,stop all running subcases 2b,stop all running subcases 2b,
6757275,2013-02-15 08:00:02,register submission date request,register submission date request,
6757275,2013-02-18 17:02:35,phase application received,phase application received,
6757275,2013-02-18 17:10:45,send confirmation receipt,send confirmation receipt,
6757275,2013-02-18 17:10:52,regular procedure without MER,regular procedure without MER,
6757275,2013-02-18 17:10:53,start WABOprocedure,start WABOprocedure,
6757275,2013-03-04 16:29:24,request complete,request complete,
6757275,2013-03-04 16:29:35,send letter in progress,send letter in progress,
6757275,2013-03-04 16:29:50,phase advice known,phase advice known,
6757275,2013-03-04 16:30:15,creating environmental permit decision,enter senddate decision environmental permit,
6757275,2013-03-04 16:43:18,submit decision,submit decision,
6757275,2013-03-04 16:50:43,phase decision sent,phase decision sent,
6757275,2013-03-05 08:00:07,record date of decision environmental permit,enter senddate decision environmental permit,
6757275,2013-03-05 08:00:08,set decision phase decision permitting decided,phase decision sent,
6757275,2013-03-05 08:00:09,start decision phase decision permitting sent,phase decision sent,
6757275,2013-03-11 08:00:02,enter senddate decision,enter senddate decision,
6757275,2013-03-11 08:00:03,enter senddate decision environmental permit,enter senddate decision environmental permit,
6757275,2013-04-26 07:00:02,register deadline,register deadline,
6757275,2013-04-26 07:00:03,set phase: phase permitting irrevocable,set phase: phase permitting irrevocable,
6757275,2013-05-23 07:00:19,close case,close case,
6757275,2013-05-23 07:00:20,objection lodged against decision,objection lodged against decision,
6757275,2013-05-23 07:00:21,phase archived case,phase archived case,
6757275,2013-05-23 07:00:22,phase case handled,phase case handled,
6757275,2013-05-23 07:00:23,phase decision irrevocable,phase decision irrevocable,
6757275,2013-05-23 07:00:24,read publication date field,read publication date field,
6757275,2013-05-23 07:00:25,stop all running subcases 2b,stop all running subcases 2b,
6799546,2012-12-01 08:00:03,set decision phase suspension decided,keep permanently suspended,
6799546,2013-02-14 08:00:03,enter senddate decision suspension,enter senddate decision,
6799546,2013-02-14 08:00:04,set decision phase suspension sent,keep permanently suspended,
6799546,2013-02-19 08:00:09,register submission date request,register submission date request,
6799546,2013-02-25 18:27:42,phase application received,phase application received,
6799546,2013-02-25 18:56:08,regular procedure without MER,regular procedure without MER,
6799546,2013-02-25 18:56:09,start WABOprocedure,start WABOprocedure,
6799546,2013-04-04 07:00:04,enter enddate suspension art. 33 WABO,enter enddate suspension art. 33 WABO,
6799546,2013-04-04 07:00:05,set decision phase: suspension cancelled,keep permanently suspended,
6799546,2013-04-05 07:00:02,enter senddate decision,enter senddate decision,
6799546,2013-04-05 07:00:03,enter senddate decision environmental permit,enter senddate decision environmental permit,
6799546,2013-04-05 07:00:04,set decision phase decision permitting decided,phase decision sent,
6799546,2013-04-05 07:00:05,start decision phase decision permitting sent,phase decision sent,
6799546,2013-04-05 16:06:17,phase decision suspended,phase decision sent,
6799546,2013-04-05 17:48:10,record date of decision environmental permit,enter senddate decision environmental permit,
