Case,Timestamp,Activity,Resource,label,Activity_fixed
531,2023-10-30 23:39:07,Request info,Manager-000005,,Request info
531,2023-10-30 23:47:29,info received,,,info received
531,2023-10-30 23:47:39,Check for completeness,Clerk-000004,,Check for completeness
531,2023-10-30 23:50:18,Perform checks,Clerk-000003,,Perform checks
531,2023-10-31 00:36:31,Make decision,Manager-000006,,Make decision
531,2023-10-31 00:38:42,Notify accept,Manager-000001,,Notify accept
531,2023-10-31 00:40:33,Deliver card,Manager-000005,,Deliver card
531,2023-10-31 00:51:01,EVENT 13 END,,,EVENT 13 END
532,2023-10-30 23:03:48,Check for completeness,Clerk-000002,,Check for completeness
532,2023-10-30 23:03:48,New online application received,,,New online application received
532,2023-10-30 23:04:08,Perform checks,Clerk-000003,,Perform checks
532,2023-10-30 23:18:22,Make decision,Manager-000004,,Make decision
532,2023-10-30 23:19:14,notify reject,Manager-000005,,notify reject
532,2023-10-30 23:20:39,review request received,,,review request received
532,2023-10-30 23:20:49,Check for completeness,Clerk-000001,,Check for completeness
532,2023-10-30 23:23:06,Perform checks,Clerk-000006,,Perform checks
532,2023-10-30 23:32:18,Make decision,Manager-000006,,Make decision
532,2023-10-30 23:32:52,notify reject,Manager-000003,,notify reject
532,2023-10-30 23:49:22,time out,,,time out
532,2023-10-30 23:49:32,EVENT 13 END,,,EVENT 13 END
533,2023-10-31 00:37:18,Check for completeness,Clerk-000005,,Check for completeness
533,2023-10-31 00:37:18,New online application received,,,New online application received
533,2023-10-31 00:40:31,Perform checks,Clerk-000001,,Perform checks
533,2023-10-31 00:40:35,Make decision,Manager-000003,,Make decision
533,2023-10-31 00:42:04,Notify accept,Manager-000004,,Notify accept
533,2023-10-31 00:47:19,Deliver card,Manager-000002,,Deliver card
533,2023-10-31 01:02:17,EVENT 13 END,,,EVENT 13 END
534,2023-10-31 01:34:52,Check for completeness,Clerk-000006,,Check for completeness
534,2023-10-31 01:34:52,New online application received,,,New online application received
534,2023-10-31 01:34:52,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
534,2023-10-31 01:45:52,Request info,Manager-000006,,Request info
534,2023-10-31 01:45:52,Make decision_signed1,Manager-000006,collateral events(Make decision),Make decision_signed1
534,2023-10-31 01:47:24,info received,,,info received
534,2023-10-31 01:47:25,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
534,2023-10-31 01:47:34,Check for completeness,Clerk-000002,,Check for completeness
534,2023-10-31 01:47:35,Make decision_signed1,Clerk-000002,collateral events(Make decision),Make decision_signed1
534,2023-10-31 01:53:37,Perform checks,Clerk-000004,,Perform checks
534,2023-10-31 01:53:37,Make decision_signed1,Clerk-000004,collateral events(Make decision),Make decision_signed1
534,2023-10-31 02:05:48,Make decision,Manager-000001,,Make decision
534,2023-10-31 02:16:10,Notify accept,Manager-000003,,Notify accept
534,2023-10-31 02:16:10,Make decision_signed1,Manager-000003,collateral events(Make decision),Make decision_signed1
534,2023-10-31 02:16:54,Deliver card,Manager-000004,,Deliver card
534,2023-10-31 02:16:55,Make decision_signed1,Manager-000004,collateral events(Make decision),Make decision_signed1
534,2023-10-31 02:29:27,EVENT 13 END,,,EVENT 13 END
534,2023-10-31 02:29:27,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
535,2023-10-31 02:17:26,Check for completeness,Clerk-000003,,Check for completeness
535,2023-10-31 02:17:26,New online application received,,,New online application received
535,2023-10-31 02:20:16,Perform checks,Clerk-000005,,Perform checks
535,2023-10-31 02:22:15,Make decision,Manager-000005,,Make decision
535,2023-10-31 02:32:13,Notify accept,Manager-000002,,Notify accept
535,2023-10-31 02:33:39,Deliver card,Manager-000006,,Deliver card
535,2023-10-31 02:35:01,EVENT 13 END,,,EVENT 13 END
536,2023-10-31 03:16:10,Check for completeness,Clerk-000001,,Check for completeness
536,2023-10-31 03:16:10,New online application received,,,New online application received
536,2023-10-31 03:22:04,Request info,Manager-000001,,Request info
536,2023-10-31 03:32:04,info received,,,info received
536,2023-10-31 03:32:14,Check for completeness,Clerk-000006,,Check for completeness
536,2023-10-31 03:32:47,Perform checks,Clerk-000002,,Perform checks
536,2023-10-31 03:38:46,Make decision,Manager-000003,,Make decision
536,2023-10-31 04:09:40,notify reject,Manager-000004,,notify reject
536,2023-10-31 04:19:25,review request received,,,review request received
536,2023-10-31 04:19:35,Check for completeness,Clerk-000004,,Check for completeness
536,2023-10-31 04:24:23,Request info,Manager-000005,,Request info
536,2023-10-31 04:26:05,info received,,,info received
536,2023-10-31 04:26:15,Check for completeness,Clerk-000003,,Check for completeness
536,2023-10-31 04:34:58,Perform checks,Clerk-000005,,Perform checks
536,2023-10-31 04:41:57,Make decision,Manager-000002,,Make decision
536,2023-10-31 04:42:58,Notify accept,Manager-000006,,Notify accept
536,2023-10-31 05:43:58,Deliver card,Manager-000003,,Deliver card
536,2023-10-31 05:50:15,EVENT 13 END,,,EVENT 13 END
537,2023-10-31 05:04:47,Check for completeness,Clerk-000001,,Check for completeness
537,2023-10-31 05:04:47,New online application received,,,New online application received
537,2023-10-31 05:30:29,Request info,Manager-000001,,Request info
537,2023-10-31 05:32:29,info received,,,info received
537,2023-10-31 05:32:39,Check for completeness,Clerk-000006,,Check for completeness
537,2023-10-31 05:48:50,Request info,Manager-000004,,Request info
537,2023-10-31 06:05:13,info received,,,info received
537,2023-10-31 06:05:23,Check for completeness,Clerk-000002,,Check for completeness
537,2023-10-31 06:12:17,Perform checks,Clerk-000004,,Perform checks
537,2023-10-31 06:23:51,Make decision,Manager-000005,,Make decision
537,2023-10-31 06:24:11,notify reject,Manager-000002,,notify reject
537,2023-10-31 06:36:34,review request received,,,review request received
537,2023-10-31 06:36:44,Check for completeness,Clerk-000003,,Check for completeness
537,2023-10-31 07:17:47,Request info,Manager-000001,,Request info
537,2023-10-31 07:21:01,info received,,,info received
537,2023-10-31 07:21:11,Check for completeness,Clerk-000005,,Check for completeness
537,2023-10-31 07:46:19,Perform checks,Clerk-000001,,Perform checks
537,2023-10-31 07:50:23,Make decision,Manager-000006,,Make decision
537,2023-10-31 08:31:10,Notify accept,Manager-000005,,Notify accept
537,2023-10-31 08:52:31,Deliver card,Manager-000001,,Deliver card
537,2023-10-31 08:56:15,EVENT 13 END,,,EVENT 13 END
538,2023-10-31 07:58:12,Check for completeness,Clerk-000006,,Check for completeness
538,2023-10-31 07:58:12,New online application received,,,New online application received
538,2023-10-31 08:02:40,Perform checks,Clerk-000002,,Perform checks
538,2023-10-31 08:04:33,Make decision,Manager-000003,,Make decision
538,2023-10-31 08:27:49,notify reject,Manager-000004,,notify reject
538,2023-10-31 08:28:38,time out,,,time out
538,2023-10-31 08:28:48,EVENT 13 END,,,EVENT 13 END
539,2023-10-31 08:33:15,Check for completeness,Clerk-000004,,Check for completeness
539,2023-10-31 08:33:15,New online application received,,,New online application received
539,2023-10-31 08:47:17,Perform checks,Clerk-000005,,Perform checks
539,2023-10-31 09:11:25,Make decision,Manager-000005,,Make decision
539,2023-10-31 09:15:16,Notify accept,Manager-000002,,Notify accept
539,2023-10-31 09:19:52,Deliver card,Manager-000001,,Deliver card
539,2023-10-31 09:24:15,EVENT 13 END,,,EVENT 13 END
540,2023-10-31 08:33:51,Check for completeness,Clerk-000003,,Check for completeness
540,2023-10-31 08:33:51,New online application received,,,New online application received
540,2023-10-31 08:36:02,Request info,Manager-000002,,Request info
540,2023-10-31 08:56:11,info received,,,info received
540,2023-10-31 08:56:21,Check for completeness,Clerk-000001,,Check for completeness
540,2023-10-31 08:57:24,Perform checks,Clerk-000006,,Perform checks
540,2023-10-31 09:07:30,Make decision,Manager-000003,,Make decision
540,2023-10-31 09:07:38,Notify accept,Manager-000004,,Notify accept
540,2023-10-31 09:08:11,Deliver card,Manager-000006,,Deliver card
540,2023-10-31 09:36:28,EVENT 13 END,,,EVENT 13 END
541,2023-10-31 10:13:28,Check for completeness,Clerk-000002,,Check for completeness
541,2023-10-31 10:13:28,New online application received,,,New online application received
541,2023-10-31 10:49:21,Request info,Manager-000003,,Request info
541,2023-10-31 10:56:16,info received,,,info received
541,2023-10-31 10:56:26,Check for completeness,Clerk-000003,,Check for completeness
541,2023-10-31 11:11:06,Perform checks,Clerk-000004,,Perform checks
541,2023-10-31 11:44:04,Make decision,Manager-000004,,Make decision
541,2023-10-31 11:54:00,notify reject,Manager-000005,,notify reject
541,2023-10-31 11:55:46,time out,,,time out
541,2023-10-31 11:55:56,EVENT 13 END,,,EVENT 13 END
542,2023-10-31 11:56:38,Check for completeness,Clerk-000001,,Check for completeness
542,2023-10-31 11:56:38,New online application received,,,New online application received
542,2023-10-31 12:04:01,Request info,Manager-000002,,Request info
542,2023-10-31 12:08:37,info received,,,info received
542,2023-10-31 12:08:47,Check for completeness,Clerk-000006,,Check for completeness
542,2023-10-31 12:19:31,Perform checks,Clerk-000002,,Perform checks
542,2023-10-31 12:23:58,Make decision,Manager-000001,,Make decision
542,2023-10-31 12:50:48,notify reject,Manager-000006,,notify reject
542,2023-10-31 13:24:38,review request received,,,review request received
542,2023-10-31 13:24:48,Check for completeness,Clerk-000004,,Check for completeness
542,2023-10-31 13:36:23,Request info,Manager-000002,,Request info
542,2023-10-31 13:37:59,info received,,,info received
542,2023-10-31 13:38:09,Check for completeness,Clerk-000001,,Check for completeness
542,2023-10-31 13:52:32,Perform checks,Clerk-000006,,Perform checks
542,2023-10-31 13:57:21,Make decision,Manager-000001,,Make decision
542,2023-10-31 14:13:32,notify reject,Manager-000003,,notify reject
542,2023-10-31 14:17:15,review request received,,,review request received
542,2023-10-31 14:17:25,Check for completeness,Clerk-000002,,Check for completeness
542,2023-10-31 14:30:12,Request info,Manager-000004,,Request info
542,2023-10-31 14:36:20,info received,,,info received
542,2023-10-31 14:36:30,Check for completeness,Clerk-000005,,Check for completeness
542,2023-10-31 14:59:07,Request info,Manager-000002,,Request info
542,2023-10-31 15:03:48,info received,,,info received
542,2023-10-31 15:03:58,Check for completeness,Clerk-000001,,Check for completeness
542,2023-10-31 15:08:00,Perform checks,Clerk-000006,,Perform checks
542,2023-10-31 15:17:47,Make decision,Manager-000003,,Make decision
542,2023-10-31 15:26:00,Notify accept,Manager-000004,,Notify accept
542,2023-10-31 15:34:39,Deliver card,Manager-000005,,Deliver card
542,2023-10-31 15:40:24,EVENT 13 END,,,EVENT 13 END
543,2023-10-31 12:09:47,Check for completeness,Clerk-000005,,Check for completeness
543,2023-10-31 12:09:47,New online application received,,,New online application received
543,2023-10-31 12:41:16,Perform checks,Clerk-000003,,Perform checks
543,2023-10-31 12:54:10,Make decision,Manager-000003,,Make decision
543,2023-10-31 12:56:40,Notify accept,Manager-000004,,Notify accept
543,2023-10-31 12:59:04,Deliver card,Manager-000005,,Deliver card
543,2023-10-31 13:03:46,EVENT 13 END,,,EVENT 13 END
544,2023-10-31 14:40:14,Check for completeness,Clerk-000003,,Check for completeness
544,2023-10-31 14:40:14,New online application received,,,New online application received
544,2023-10-31 14:40:14,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
544,2023-10-31 14:42:26,Perform checks,Clerk-000004,,Perform checks
544,2023-10-31 14:42:26,Make decision_signed1,Clerk-000004,collateral events(Make decision),Make decision_signed1
544,2023-10-31 14:50:34,Make decision,Manager-000005,,Make decision
544,2023-10-31 14:56:22,Notify accept,Manager-000006,,Notify accept
544,2023-10-31 14:56:23,Make decision_signed1,Manager-000006,collateral events(Make decision),Make decision_signed1
544,2023-10-31 15:02:30,Deliver card,Manager-000001,,Deliver card
544,2023-10-31 15:02:31,Make decision_signed1,Manager-000001,collateral events(Make decision),Make decision_signed1
544,2023-10-31 15:19:03,EVENT 13 END,,,EVENT 13 END
544,2023-10-31 15:19:03,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
545,2023-10-31 15:54:27,Check for completeness,Clerk-000002,,Check for completeness
545,2023-10-31 15:54:27,New online application received,,,New online application received
545,2023-10-31 16:04:20,Perform checks,Clerk-000003,,Perform checks
545,2023-10-31 16:15:38,Make decision,Manager-000006,,Make decision
545,2023-10-31 16:17:17,Notify accept,Manager-000002,,Notify accept
545,2023-10-31 16:23:49,Deliver card,Manager-000001,,Deliver card
545,2023-10-31 16:37:35,EVENT 13 END,,,EVENT 13 END
546,2023-10-31 16:41:48,Check for completeness,Clerk-000004,,Check for completeness
546,2023-10-31 16:41:48,New online application received,,,New online application received
546,2023-10-31 16:47:16,Perform checks,Clerk-000005,,Perform checks
546,2023-10-31 17:14:22,Make decision,Manager-000003,,Make decision
546,2023-10-31 17:17:38,Notify accept,Manager-000006,,Notify accept
546,2023-10-31 17:26:47,Deliver card,Manager-000001,,Deliver card
546,2023-10-31 17:48:45,EVENT 13 END,,,EVENT 13 END
547,2023-10-31 17:04:06,Check for completeness,Clerk-000001,,Check for completeness
547,2023-10-31 17:04:06,New online application received,,,New online application received
547,2023-10-31 17:14:38,Request info,Manager-000004,,Request info
547,2023-10-31 17:30:53,info received,,,info received
547,2023-10-31 17:31:03,Check for completeness,Clerk-000003,,Check for completeness
547,2023-10-31 17:49:45,Request info,Manager-000005,,Request info
547,2023-10-31 18:06:54,info received,,,info received
547,2023-10-31 18:07:04,Check for completeness,Clerk-000004,,Check for completeness
547,2023-10-31 18:16:59,Perform checks,Clerk-000006,,Perform checks
547,2023-10-31 18:25:59,Make decision,Manager-000006,,Make decision
547,2023-10-31 18:26:07,Notify accept,Manager-000002,,Notify accept
547,2023-10-31 18:29:05,Deliver card,Manager-000004,,Deliver card
547,2023-10-31 18:29:16,EVENT 13 END,,,EVENT 13 END
548,2023-10-31 17:07:03,Check for completeness,Clerk-000006,,Check for completeness
548,2023-10-31 17:07:03,New online application received,,,New online application received
548,2023-10-31 17:07:03,Make decision_signed1,Clerk-000006,collateral events(Make decision),Make decision_signed1
548,2023-10-31 17:10:25,Perform checks,Clerk-000002,,Perform checks
548,2023-10-31 17:10:25,Make decision_signed1,Clerk-000002,collateral events(Make decision),Make decision_signed1
548,2023-10-31 17:14:40,Make decision,Manager-000005,,Make decision
548,2023-10-31 17:18:44,Notify accept,Manager-000002,,Notify accept
548,2023-10-31 17:18:45,Make decision_signed1,Manager-000002,collateral events(Make decision),Make decision_signed1
548,2023-10-31 17:27:55,Deliver card,Manager-000003,,Deliver card
548,2023-10-31 17:27:55,Make decision_signed1,Manager-000003,collateral events(Make decision),Make decision_signed1
548,2023-10-31 17:35:58,EVENT 13 END,,,EVENT 13 END
548,2023-10-31 17:35:58,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
549,2023-10-31 18:28:36,Check for completeness,Clerk-000005,,Check for completeness
549,2023-10-31 18:28:36,New online application received,,,New online application received
549,2023-10-31 18:32:18,Request info,Manager-000003,,Request info
549,2023-10-31 18:33:23,info received,,,info received
549,2023-10-31 18:33:33,Check for completeness,Clerk-000001,,Check for completeness
549,2023-10-31 19:33:09,Perform checks,Clerk-000002,,Perform checks
549,2023-10-31 19:33:48,Make decision,Manager-000002,,Make decision
549,2023-10-31 19:42:55,Notify accept,Manager-000003,,Notify accept
549,2023-10-31 19:44:06,Deliver card,Manager-000001,,Deliver card
549,2023-10-31 19:59:16,EVENT 13 END,,,EVENT 13 END
550,2023-10-31 18:34:35,Check for completeness,Clerk-000002,,Check for completeness
550,2023-10-31 18:34:35,New online application received,,,New online application received
550,2023-10-31 18:34:35,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
550,2023-10-31 18:41:29,Request info,Manager-000001,,Request info
550,2023-10-31 18:41:30,Make decision_signed1,Manager-000001,collateral events(Make decision),Make decision_signed1
550,2023-10-31 18:47:42,info received,,,info received
550,2023-10-31 18:47:42,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
550,2023-10-31 18:47:52,Check for completeness,Clerk-000003,,Check for completeness
550,2023-10-31 18:47:52,Make decision_signed1,Clerk-000003,collateral events(Make decision),Make decision_signed1
550,2023-10-31 19:03:05,Perform checks,Clerk-000004,,Perform checks
550,2023-10-31 19:03:05,Make decision_signed1,Clerk-000004,collateral events(Make decision),Make decision_signed1
550,2023-10-31 19:13:29,Make decision,Manager-000005,,Make decision
550,2023-10-31 19:13:58,notify reject,Manager-000006,,notify reject
550,2023-10-31 19:13:59,Make decision_signed1,Manager-000006,collateral events(Make decision),Make decision_signed1
550,2023-10-31 19:27:41,review request received,,,review request received
550,2023-10-31 19:27:42,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
550,2023-10-31 19:27:51,Check for completeness,Clerk-000005,,Check for completeness
550,2023-10-31 19:27:52,Make decision_signed1,Clerk-000005,collateral events(Make decision),Make decision_signed1
550,2023-10-31 19:39:29,Perform checks,Clerk-000003,,Perform checks
550,2023-10-31 19:39:30,Make decision_signed1,Clerk-000003,collateral events(Make decision),Make decision_signed1
550,2023-10-31 19:39:55,Make decision,Manager-000004,,Make decision
550,2023-10-31 19:49:23,Notify accept,Manager-000005,,Notify accept
550,2023-10-31 19:49:24,Make decision_signed1,Manager-000005,collateral events(Make decision),Make decision_signed1
550,2023-10-31 19:49:30,Deliver card,Manager-000006,,Deliver card
550,2023-10-31 19:49:31,Make decision_signed1,Manager-000006,collateral events(Make decision),Make decision_signed1
550,2023-10-31 20:04:29,EVENT 13 END,,,EVENT 13 END
550,2023-10-31 20:04:30,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
551,2023-10-31 19:13:18,Check for completeness,Clerk-000006,,Check for completeness
551,2023-10-31 19:13:18,New online application received,,,New online application received
551,2023-10-31 19:13:18,Make decision_signed1,Clerk-000006,collateral events(Make decision),Make decision_signed1
551,2023-10-31 19:49:56,Perform checks,Clerk-000004,,Perform checks
551,2023-10-31 19:49:57,Make decision_signed1,Clerk-000004,collateral events(Make decision),Make decision_signed1
551,2023-10-31 19:51:35,Make decision,Manager-000002,,Make decision
551,2023-10-31 19:52:26,notify reject,Manager-000003,,notify reject
551,2023-10-31 19:52:27,Make decision_signed1,Manager-000003,collateral events(Make decision),Make decision_signed1
551,2023-10-31 19:52:45,review request received,,,review request received
551,2023-10-31 19:52:45,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
551,2023-10-31 19:52:55,Check for completeness,Clerk-000001,,Check for completeness
551,2023-10-31 19:52:55,Make decision_signed1,Clerk-000001,collateral events(Make decision),Make decision_signed1
551,2023-10-31 19:55:52,Perform checks,Clerk-000002,,Perform checks
551,2023-10-31 19:55:53,Make decision_signed1,Clerk-000002,collateral events(Make decision),Make decision_signed1
551,2023-10-31 20:00:28,Make decision,Manager-000004,,Make decision
551,2023-10-31 20:05:09,notify reject,Manager-000005,,notify reject
551,2023-10-31 20:05:10,Make decision_signed1,Manager-000005,collateral events(Make decision),Make decision_signed1
551,2023-10-31 20:38:31,time out,,,time out
551,2023-10-31 20:38:32,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
551,2023-10-31 20:38:41,EVENT 13 END,,,EVENT 13 END
551,2023-10-31 20:38:41,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
552,2023-10-31 20:05:43,Check for completeness,Clerk-000005,,Check for completeness
552,2023-10-31 20:05:43,New online application received,,,New online application received
552,2023-10-31 20:07:05,Request info,Manager-000002,,Request info
552,2023-10-31 20:14:13,info received,,,info received
552,2023-10-31 20:14:23,Check for completeness,Clerk-000003,,Check for completeness
552,2023-10-31 20:29:16,Request info,Manager-000003,,Request info
552,2023-10-31 20:42:23,info received,,,info received
552,2023-10-31 20:42:33,Check for completeness,Clerk-000006,,Check for completeness
552,2023-10-31 20:46:46,Request info,Manager-000001,,Request info
552,2023-10-31 20:49:48,info received,,,info received
552,2023-10-31 20:49:58,Check for completeness,Clerk-000004,,Check for completeness
552,2023-10-31 21:16:38,Perform checks,Clerk-000001,,Perform checks
552,2023-10-31 21:17:27,Make decision,Manager-000006,,Make decision
552,2023-10-31 21:27:40,notify reject,Manager-000004,,notify reject
552,2023-10-31 21:54:34,time out,,,time out
552,2023-10-31 21:54:44,EVENT 13 END,,,EVENT 13 END
553,2023-11-01 00:44:17,Check for completeness,Clerk-000002,,Check for completeness
553,2023-11-01 00:44:17,New online application received,,,New online application received
553,2023-11-01 00:57:36,Perform checks,Clerk-000003,,Perform checks
553,2023-11-01 01:16:46,Make decision,Manager-000002,,Make decision
553,2023-11-01 01:23:33,notify reject,Manager-000001,,notify reject
553,2023-11-01 01:31:37,review request received,,,review request received
553,2023-11-01 01:31:47,Check for completeness,Clerk-000002,,Check for completeness
553,2023-11-01 01:48:14,Perform checks,Clerk-000003,,Perform checks
553,2023-11-01 01:50:19,Make decision,Manager-000002,,Make decision
553,2023-11-01 02:13:22,notify reject,Manager-000004,,notify reject
553,2023-11-01 02:16:34,time out,,,time out
553,2023-11-01 02:16:44,EVENT 13 END,,,EVENT 13 END
554,2023-11-01 00:49:54,Check for completeness,Clerk-000005,,Check for completeness
554,2023-11-01 00:49:54,New online application received,,,New online application received
554,2023-11-01 01:18:59,Perform checks,Clerk-000001,,Perform checks
554,2023-11-01 01:32:06,Make decision,Manager-000006,,Make decision
554,2023-11-01 01:43:53,notify reject,Manager-000005,,notify reject
554,2023-11-01 01:46:47,time out,,,time out
554,2023-11-01 01:46:57,EVENT 13 END,,,EVENT 13 END
555,2023-11-01 01:10:24,Check for completeness,Clerk-000006,,Check for completeness
555,2023-11-01 01:10:24,New online application received,,,New online application received
555,2023-11-01 01:12:38,Perform checks,Clerk-000004,,Perform checks
555,2023-11-01 01:22:23,Make decision,Manager-000005,,Make decision
555,2023-11-01 01:23:11,Notify accept,Manager-000003,,Notify accept
555,2023-11-01 01:36:00,Deliver card,Manager-000004,,Deliver card
555,2023-11-01 01:37:04,EVENT 13 END,,,EVENT 13 END
556,2023-11-01 01:48:07,Check for completeness,Clerk-000006,,Check for completeness
556,2023-11-01 01:48:07,New online application received,,,New online application received
556,2023-11-01 01:51:12,Perform checks,Clerk-000005,,Perform checks
556,2023-11-01 01:59:37,Make decision,Manager-000001,,Make decision
556,2023-11-01 02:08:59,Notify accept,Manager-000003,,Notify accept
556,2023-11-01 02:25:28,Deliver card,Manager-000006,,Deliver card
556,2023-11-01 02:29:42,EVENT 13 END,,,EVENT 13 END
557,2023-11-01 02:15:08,Check for completeness,Clerk-000004,,Check for completeness
557,2023-11-01 02:15:08,New online application received,,,New online application received
557,2023-11-01 02:20:10,Perform checks,Clerk-000001,,Perform checks
557,2023-11-01 02:37:34,Make decision,Manager-000005,,Make decision
557,2023-11-01 02:42:50,Notify accept,Manager-000001,,Notify accept
557,2023-11-01 02:54:17,Deliver card,Manager-000004,,Deliver card
557,2023-11-01 02:54:23,EVENT 13 END,,,EVENT 13 END
558,2023-11-01 02:37:30,Check for completeness,Clerk-000002,,Check for completeness
558,2023-11-01 02:37:30,New online application received,,,New online application received
558,2023-11-01 02:45:27,Request info,Manager-000002,,Request info
558,2023-11-01 03:14:58,info received,,,info received
558,2023-11-01 03:15:08,Check for completeness,Clerk-000005,,Check for completeness
558,2023-11-01 03:15:15,Request info,Manager-000001,,Request info
558,2023-11-01 03:26:42,info received,,,info received
558,2023-11-01 03:26:52,Check for completeness,Clerk-000004,,Check for completeness
558,2023-11-01 03:38:28,Request info,Manager-000004,,Request info
558,2023-11-01 03:48:12,info received,,,info received
558,2023-11-01 03:48:22,Check for completeness,Clerk-000001,,Check for completeness
558,2023-11-01 04:06:34,Request info,Manager-000006,,Request info
558,2023-11-01 04:08:15,info received,,,info received
558,2023-11-01 04:08:25,Check for completeness,Clerk-000003,,Check for completeness
558,2023-11-01 04:09:59,Perform checks,Clerk-000006,,Perform checks
558,2023-11-01 04:11:25,Make decision,Manager-000002,,Make decision
558,2023-11-01 04:22:51,Notify accept,Manager-000005,,Notify accept
558,2023-11-01 04:51:09,Deliver card,Manager-000004,,Deliver card
558,2023-11-01 05:06:15,EVENT 13 END,,,EVENT 13 END
559,2023-11-01 02:49:52,Check for completeness,Clerk-000003,,Check for completeness
559,2023-11-01 02:49:52,New online application received,,,New online application received
559,2023-11-01 02:49:53,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
559,2023-11-01 03:00:01,Perform checks,Clerk-000006,,Perform checks
559,2023-11-01 03:00:01,Make decision_signed1,Clerk-000006,collateral events(Make decision),Make decision_signed1
559,2023-11-01 03:05:52,Make decision,Manager-000003,,Make decision
559,2023-11-01 03:08:24,Notify accept,Manager-000006,,Notify accept
559,2023-11-01 03:08:24,Make decision_signed1,Manager-000006,collateral events(Make decision),Make decision_signed1
559,2023-11-01 03:10:50,Deliver card,Manager-000005,,Deliver card
559,2023-11-01 03:10:51,Make decision_signed1,Manager-000005,collateral events(Make decision),Make decision_signed1
559,2023-11-01 03:15:21,EVENT 13 END,,,EVENT 13 END
559,2023-11-01 03:15:22,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
560,2023-11-01 03:54:30,Check for completeness,Clerk-000002,,Check for completeness
560,2023-11-01 03:54:30,New online application received,,,New online application received
560,2023-11-01 03:54:31,Make decision_signed1,Clerk-000002,collateral events(Make decision),Make decision_signed1
560,2023-11-01 04:04:01,Request info,Manager-000003,,Request info
560,2023-11-01 04:04:01,Make decision_signed1,Manager-000003,collateral events(Make decision),Make decision_signed1
560,2023-11-01 04:23:34,info received,,,info received
560,2023-11-01 04:23:35,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
560,2023-11-01 04:23:44,Check for completeness,Clerk-000005,,Check for completeness
560,2023-11-01 04:23:44,Make decision_signed1,Clerk-000005,collateral events(Make decision),Make decision_signed1
560,2023-11-01 04:38:29,Request info,Manager-000001,,Request info
560,2023-11-01 04:38:30,Make decision_signed1,Manager-000001,collateral events(Make decision),Make decision_signed1
560,2023-11-01 04:54:27,info received,,,info received
560,2023-11-01 04:54:28,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
560,2023-11-01 04:54:37,Check for completeness,Clerk-000004,,Check for completeness
560,2023-11-01 04:54:37,Make decision_signed1,Clerk-000004,collateral events(Make decision),Make decision_signed1
560,2023-11-01 04:58:30,Request info,Manager-000006,,Request info
560,2023-11-01 04:58:31,Make decision_signed1,Manager-000006,collateral events(Make decision),Make decision_signed1
560,2023-11-01 05:01:43,info received,,,info received
560,2023-11-01 05:01:43,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
560,2023-11-01 05:01:53,Check for completeness,Clerk-000001,,Check for completeness
560,2023-11-01 05:01:53,Make decision_signed1,Clerk-000001,collateral events(Make decision),Make decision_signed1
560,2023-11-01 05:13:18,Request info,Manager-000003,,Request info
560,2023-11-01 05:13:19,Make decision_signed1,Manager-000003,collateral events(Make decision),Make decision_signed1
560,2023-11-01 05:27:32,info received,,,info received
560,2023-11-01 05:27:33,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
560,2023-11-01 05:27:42,Check for completeness,Clerk-000006,,Check for completeness
560,2023-11-01 05:27:43,Make decision_signed1,Clerk-000006,collateral events(Make decision),Make decision_signed1
560,2023-11-01 05:27:59,Request info,Manager-000005,,Request info
560,2023-11-01 05:28:00,Make decision_signed1,Manager-000005,collateral events(Make decision),Make decision_signed1
560,2023-11-01 05:36:08,info received,,,info received
560,2023-11-01 05:36:09,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
560,2023-11-01 05:36:18,Check for completeness,Clerk-000004,,Check for completeness
560,2023-11-01 05:36:18,Make decision_signed1,Clerk-000004,collateral events(Make decision),Make decision_signed1
560,2023-11-01 05:42:23,Request info,Manager-000006,,Request info
560,2023-11-01 05:42:24,Make decision_signed1,Manager-000006,collateral events(Make decision),Make decision_signed1
560,2023-11-01 05:58:05,info received,,,info received
560,2023-11-01 05:58:05,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
560,2023-11-01 05:58:15,Check for completeness,Clerk-000002,,Check for completeness
560,2023-11-01 05:58:15,Make decision_signed1,Clerk-000002,collateral events(Make decision),Make decision_signed1
