Case,Activity,Timestamp,Resource,Event,label,original_activity,isdistorted,BaseActivity,ProcessedActivity,canonical_activity,is_distorted,Activity_fixed
7157410,generating decision environmental permit,2013-05-27 07:00:44,2670601,41326,,generating decision environmental permit,0,generating decision environmental perm,generating decision environmental perm,enter senddate decision environmental perm,1,enter senddate decision environmental perm
7157410,grounds for refusal,2013-05-27 07:00:45,2670601,41314,,grounds for refusal,0,grounds for refusal,grounds for refusal,grounds for refusal,0,grounds for refusal
7157410,phase advice known,2013-05-27 07:00:46,2670601,41321,,phase advice known,0,phase advice known,phase advice known,phase advice known,0,phase advice known
7157410,phase application receptive,2013-05-27 07:00:47,2670601,41329,,phase application receptive,0,phase application receptiv,phase application receptiv,phase application receiv,1,phase application receiv
7157410,phase concept decision ready,2013-05-27 07:00:48,2670601,41325,,phase concept decision ready,0,phase concept decision ready,phase concept decision ready,phase decision sen,1,phase decision sen
7157410,procedure change,2013-05-27 07:00:49,2670601,41308,,procedure change,0,procedure chang,procedure chang,procedure chang,0,procedure chang
7157410,procedure change,2013-05-27 07:00:50,2670601,41312,,procedure change,0,procedure chang,procedure chang,procedure chang,0,procedure chang
7157410,procedure change after completeness,2013-05-27 07:00:51,2670601,41310,,procedure change after completeness,0,procedure change after completen,procedure change after completen,procedure change after completen,0,procedure change after completen
7157410,request complete,2013-05-27 07:00:52,2670601,41309,,request complete,0,request compl,request compl,request compl,0,request compl
7157410,send letter in progress,2013-05-27 07:00:53,2670601,41311,,send letter in progress,0,send letter in prog,send letter in prog,send letter in prog,0,send letter in prog
7157410,set decision status,2013-05-27 07:00:54,2670601,41322,,set decision status,0,set decision statu,set decision statu,set decision statu,0,set decision statu
7157410,submit decision,2013-05-27 07:00:55,2670601,41320,,submit decision,0,submit decision,submit decision,submit decision,0,submit decision
7157410,suspension ground applicable,2013-05-27 07:00:56,2670601,41316,,suspension ground applicable,0,suspension ground applicabl,suspension ground applicabl,suspension ground applicabl,0,suspension ground applicabl
7157410,treat subcases content,2013-05-27 07:00:57,2670601,41327,,treat subcases content,0,treat subcases conten,treat subcases conten,treat subcases conten,0,treat subcases conten
7157410,create publication document,2013-05-28 07:00:22,560890,41334,,create publication document,0,create publication documen,create publication documen,create publication documen,0,create publication documen
7157410,create subcases present decision,2013-05-28 07:00:23,560890,41330,,create subcases present decision,0,create subcases present decision,create subcases present decision,create subcases present decision,0,create subcases present decision
7157410,creating cover letter decision,2013-05-28 07:00:24,560890,41333,,creating cover letter decision,0,creating cover letter decision,creating cover letter decision,creating cover letter decision,0,creating cover letter decision
7157410,enrich decision,2013-05-28 07:00:25,560890,41331,,enrich decision,0,enrich decision,enrich decision,enrich draft decision,1,enrich draft decision
7157410,enter senddate decision environmental permit,2013-05-28 07:00:26,560890,41340,,enter senddate decision environmental permit,0,enter senddate decision environmental perm,enter senddate decision environmental perm,enter senddate decision environmental perm,0,enter senddate decision environmental perm
7157410,phase decision ready,2013-05-28 07:00:27,560890,41341,,phase decision ready,0,phase decision ready,phase decision ready,phase decision sen,1,phase decision sen
7157410,phase decision sent,2013-05-28 07:00:28,560890,41336,,phase decision sent,0,phase decision sen,phase decision sen,phase decision sen,0,phase decision sen
7157410,phase decision taken,2013-05-28 07:00:29,560890,41339,,phase decision taken,0,phase decision taken,phase decision taken,phase decision sen,1,phase decision sen
7157410,register objection and appeal periods,2013-05-28 07:00:30,560890,41332,,register objection and appeal periods,0,register objection and appeal p,register objection and appeal p,register objection and appeal p,0,register objection and appeal p
7157410,set decision phase decision permitting decided,2013-05-28 07:00:31,560890,41337,,set decision phase decision permitting decided,0,set decision phase decision permitting dec,set decision phase decision permitting dec,phase decision sen,1,phase decision sen
7157410,start decision phase decision permitting sent,2013-05-28 07:00:32,560890,41335,,start decision phase decision permitting sent,0,start decision phase decision permitting sen,start decision phase decision permitting sen,phase decision sen,1,phase decision sen
7157410,transcript decision environmental permit to stakeholders,2013-05-28 07:00:33,560890,41338,,transcript decision environmental permit to stakeholders,0,transcript decision environmental permit to stakehol,transcript decision environmental permit to stakehol,transcript decision environmental permit to stakehol,0,transcript decision environmental permit to stakehol
7157410,enter senddate decision environmental permit,2013-05-28 16:20:41,560890,41343,,enter senddate decision environmental permit,0,enter senddate decision environmental perm,enter senddate decision environmental perm,enter senddate decision environmental perm,0,enter senddate decision environmental perm
7165130,register submission date request,2013-04-03 07:00:04,560872,41392,,register submission date request,0,register submission date requ,register submission date requ,register submission date requ,0,register submission date requ
7165130,phase application received,2013-04-08 21:28:37,560872,41394,,phase application received,0,phase application receiv,phase application receiv,phase application receiv,0,phase application receiv
7165130,send confirmation receipt,2013-04-08 21:28:38,560872,41395,,send confirmation receipt,0,send confirmation receip,send confirmation receip,send confirmation receip,0,send confirmation receip
7165130,regular procedure without MER,2013-04-08 21:30:56,560872,41398,,regular procedure without MER,0,regular procedure without MER,regular procedure without mer,regular procedure without MER,0,regular procedure without MER
7165130,start WABOprocedure,2013-04-08 21:30:57,560872,41399,,start WABOprocedure,0,start WABOprocedu,start waboprocedu,start WABOprocedu,0,start WABOprocedu
7165130,create procedure confirmation,2013-04-08 21:30:58,560872,41400,,create procedure confirmation,0,create procedure confirmation,create procedure confirmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
7165130,create cover letter extend procedure term,2013-05-24 07:00:36,2670601,41409,,create cover letter extend procedure term,0,create cover letter extend procedure term,create cover letter extend procedure term,create cover letter extend procedure term,0,create cover letter extend procedure term
7165130,create decision procedure term extension,2013-05-24 07:00:37,2670601,41411,,create decision procedure term extension,0,create decision procedure term extension,create decision procedure term extension,enter senddate decision procedure term extension,1,enter senddate decision procedure term extension
7165130,create subcases completeness,2013-05-24 07:00:38,2670601,41403,,create subcases completeness,0,create subcases completen,create subcases completen,treat subcases conten,1,treat subcases conten
7165130,creating decision procedure term extension,2013-05-24 07:00:39,2670601,41415,,creating decision procedure term extension,0,creating decision procedure term extension,creating decision procedure term extension,enter senddate decision procedure term extension,1,enter senddate decision procedure term extension
7165130,decision date prior to decision,2013-05-24 07:00:40,2670601,41408,,decision date prior to decision,0,decision date prior to decision,decision date prior to decision,decision date prior to decision,0,decision date prior to decision
7165130,enter senddate procedure term extension,2013-05-24 07:00:41,2670601,41410,,enter senddate procedure term extension,0,enter senddate procedure term extension,enter senddate procedure term extension,enter senddate decision procedure term extension,1,enter senddate decision procedure term extension
7165130,enter senddate retrieve missing data,2013-05-24 07:00:42,2670601,41416,,enter senddate retrieve missing data,0,enter senddate retrieve missing data,enter senddate retrieve missing data,retrieve missing data,1,retrieve missing data
7165130,extend procedure term,2013-05-24 07:00:43,2670601,41406,,extend procedure term,0,extend procedure term,extend procedure term,extend procedure term,0,extend procedure term
7165130,phase procedure extended,2013-05-24 07:00:44,2670601,41417,,phase procedure extended,0,phase procedure exten,phase procedure exten,phase procedure exten,0,phase procedure exten
7165130,procedure change,2013-05-24 07:00:45,2670601,41404,,procedure change,0,procedure chang,procedure chang,procedure chang,0,procedure chang
7165130,register number of days extension period,2013-05-24 07:00:46,2670601,41407,,register number of days extension period,0,register number of days extension p,register number of days extension p,register number of days extension p,0,register number of days extension p
7165130,request complete,2013-05-24 07:00:47,2670601,41405,,request complete,0,request compl,request compl,request compl,0,request compl
7165130,set decision status,2013-05-24 07:00:48,2670601,41413,,set decision status,0,set decision statu,set decision statu,set decision statu,0,set decision statu
7165130,start decision phase extension granted,2013-05-24 07:00:49,2670601,41412,,start decision phase extension granted,0,start decision phase extension gran,start decision phase extension gran,start decision phase extension gran,0,start decision phase extension gran
7165130,start decision phase extension granted,2013-05-24 07:00:50,2670601,41414,,start decision phase extension granted,0,start decision phase extension gran,start decision phase extension gran,start decision phase extension gran,0,start decision phase extension gran
7165130,article 34  WABO applies,2013-06-18 07:00:01,2670601,41429,,article 34  WABO applies,0,article 34  WABO appl,article 34 wabo appl,article 34  WABO appl,0,article 34  WABO appl
7165130,ask stakeholders views,2013-06-18 07:00:02,2670601,41431,,ask stakeholders views,0,ask stakeholders view,ask stakeholders view,ask stakeholders view,0,ask stakeholders view
7165130,assessment of content completed,2013-06-18 07:00:03,2670601,41440,,assessment of content completed,0,assessment of content compl,assessment of content compl,assessment of content compl,0,assessment of content compl
7165130,by law,2013-06-18 07:00:04,2670601,41434,,by law,0,by law,by law,by law,0,by law
7165130,completed subcases content,2013-06-18 07:00:05,2670601,41436,,completed subcases content,0,completed subcases conten,completed subcases conten,treat subcases conten,1,treat subcases conten
7165130,coordination of application,2013-06-18 07:00:06,2670601,41433,,coordination of application,0,coordination of application,coordination of application,coordination of application,0,coordination of application
7165130,creating environmental permit decision,2013-06-18 07:00:07,2670601,41438,,creating environmental permit decision,0,creating environmental permit decision,creating environmental permit decision,enter senddate decision environmental perm,1,enter senddate decision environmental perm
7165130,decision date prior to decision,2013-06-18 07:00:08,2670601,41435,,decision date prior to decision,0,decision date prior to decision,decision date prior to decision,decision date prior to decision,0,decision date prior to decision
7165130,enter receipt of additional data,2013-06-18 07:00:09,2670601,41422,,enter receipt of additional data,0,enter receipt of additional data,enter receipt of additional data,enter receipt of additional data,0,enter receipt of additional data
7165130,grounds for refusal,2013-06-18 07:00:10,2670601,41430,,grounds for refusal,0,grounds for refusal,grounds for refusal,grounds for refusal,0,grounds for refusal
7165130,phase additional information received,2013-06-18 07:00:11,2670601,41437,,phase additional information received,0,phase additional information receiv,phase additional information receiv,receive additional information,1,receive additional information
7165130,phase advice known,2013-06-18 07:00:12,2670601,41439,,phase advice known,0,phase advice known,phase advice known,phase advice known,0,phase advice known
7165130,phase application receptive,2013-06-18 07:00:13,2670601,41444,,phase application receptive,0,phase application receptiv,phase application receptiv,phase application receiv,1,phase application receiv
7165130,phase asked additional information,2013-06-18 07:00:14,2670601,41443,,phase asked additional information,0,phase asked additional information,phase asked additional information,receive additional information,1,receive additional information
7165130,procedure change,2013-06-18 07:00:15,2670601,41428,,procedure change,0,procedure chang,procedure chang,procedure chang,0,procedure chang
7165130,procedure change after completeness,2013-06-18 07:00:16,2670601,41426,,procedure change after completeness,0,procedure change after completen,procedure change after completen,procedure change after completen,0,procedure change after completen
7165130,receive additional information,2013-06-18 07:00:17,2670601,41421,,receive additional information,0,receive additional information,receive additional information,receive additional information,0,receive additional information
7165130,request complete,2013-06-18 07:00:18,2670601,41425,,request complete,0,request compl,request compl,request compl,0,request compl
7165130,retrieve missing data,2013-06-18 07:00:19,2670601,41445,,retrieve missing data,0,retrieve missing data,retrieve missing data,retrieve missing data,0,retrieve missing data
7165130,send confirmation receipt additional data,2013-06-18 07:00:20,2670601,41423,,send confirmation receipt additional data,0,send confirmation receipt additional data,send confirmation receipt additional data,send confirmation receip,1,send confirmation receip
7165130,send letter in progress,2013-06-18 07:00:21,2670601,41427,,send letter in progress,0,send letter in prog,send letter in prog,send letter in prog,0,send letter in prog
7165130,set decision status,2013-06-18 07:00:22,2670601,41441,,set decision status,0,set decision statu,set decision statu,set decision statu,0,set decision statu
7165130,suspension ground applicable,2013-06-18 07:00:23,2670601,41432,,suspension ground applicable,0,suspension ground applicabl,suspension ground applicabl,suspension ground applicabl,0,suspension ground applicabl
7165130,term for supplying missing data,2013-06-18 07:00:24,2670601,41420,,term for supplying missing data,0,term for supplying missing data,term for supplying missing data,term for supplying missing data,0,term for supplying missing data
7165130,treat subcases content,2013-06-18 07:00:25,2670601,41442,,treat subcases content,0,treat subcases conten,treat subcases conten,treat subcases conten,0,treat subcases conten
7165130,create publication document,2013-06-25 07:00:42,560890,41451,,create publication document,0,create publication documen,create publication documen,create publication documen,0,create publication documen
7165130,create subcases present decision,2013-06-25 07:00:43,2670601,41447,,create subcases present decision,0,create subcases present decision,create subcases present decision,create subcases present decision,0,create subcases present decision
7165130,creating cover letter decision,2013-06-25 07:00:44,560890,41450,,creating cover letter decision,0,creating cover letter decision,creating cover letter decision,creating cover letter decision,0,creating cover letter decision
7165130,enrich decision,2013-06-25 07:00:45,2670601,41448,,enrich decision,0,enrich decision,enrich decision,enrich draft decision,1,enrich draft decision
7165130,enter senddate decision environmental permit,2013-06-25 07:00:46,560890,41453,,enter senddate decision environmental permit,0,enter senddate decision environmental perm,enter senddate decision environmental perm,enter senddate decision environmental perm,0,enter senddate decision environmental perm
7165130,generating decision environmental permit,2013-06-25 07:00:47,2670601,41452,,generating decision environmental permit,0,generating decision environmental perm,generating decision environmental perm,enter senddate decision environmental perm,1,enter senddate decision environmental perm
7165130,phase concept decision ready,2013-06-25 07:00:48,2670601,41454,,phase concept decision ready,0,phase concept decision ready,phase concept decision ready,phase decision sen,1,phase decision sen
7165130,phase decision ready,2013-06-25 07:00:49,2670601,41457,,phase decision ready,0,phase decision ready,phase decision ready,phase decision sen,1,phase decision sen
7165130,phase decision sent,2013-06-25 07:00:50,560890,41455,,phase decision sent,0,phase decision sen,phase decision sen,phase decision sen,0,phase decision sen
7165130,phase decision taken,2013-06-25 07:00:51,560890,41458,,phase decision taken,0,phase decision taken,phase decision taken,phase decision sen,1,phase decision sen
7165130,register objection and appeal periods,2013-06-25 07:00:52,560890,41449,,register objection and appeal periods,0,register objection and appeal p,register objection and appeal p,register objection and appeal p,0,register objection and appeal p
7165130,set decision phase decision permitting decided,2013-06-25 07:00:53,560890,41456,,set decision phase decision permitting decided,0,set decision phase decision permitting dec,set decision phase decision permitting dec,phase decision sen,1,phase decision sen
7165130,start decision phase decision permitting sent,2013-06-25 07:00:54,560890,41459,,start decision phase decision permitting sent,0,start decision phase decision permitting sen,start decision phase decision permitting sen,phase decision sen,1,phase decision sen
7165130,submit decision,2013-06-25 07:00:55,2670601,41446,,submit decision,0,submit decision,submit decision,submit decision,0,submit decision
7165130,transcript decision environmental permit to stakeholders,2013-06-25 07:00:56,560890,41460,,transcript decision environmental permit to stakeholders,0,transcript decision environmental permit to stakehol,transcript decision environmental permit to stakehol,transcript decision environmental permit to stakehol,0,transcript decision environmental permit to stakehol
7165130,enter senddate decision environmental permit,2013-06-25 19:49:02,560890,41462,,enter senddate decision environmental permit,0,enter senddate decision environmental perm,enter senddate decision environmental perm,enter senddate decision environmental perm,0,enter senddate decision environmental perm
7168922,register submission date request,2013-04-08 07:00:03,560872,41511,,register submission date request,0,register submission date requ,register submission date requ,register submission date requ,0,register submission date requ
7168922,phase application received,2013-04-11 15:34:13,560872,41513,,phase application received,0,phase application receiv,phase application receiv,phase application receiv,0,phase application receiv
7168922,send confirmation receipt,2013-04-11 15:34:14,560872,41514,,send confirmation receipt,0,send confirmation receip,send confirmation receip,send confirmation receip,0,send confirmation receip
7168922,send confirmation receipt,2013-04-11 15:34:16,560872,41515,,send confirmation receipt,0,send confirmation receip,send confirmation receip,send confirmation receip,0,send confirmation receip
7168922,enter senddate retrieve missing data,2013-06-20 07:00:11,560872,41518,,enter senddate retrieve missing data,0,enter senddate retrieve missing data,enter senddate retrieve missing data,retrieve missing data,1,retrieve missing data
7168922,enter date draft decisionenvironmental permit,2013-11-12 08:00:20,560872,41522,,enter date draft decisionenvironmental permit,0,enter date draft decisionenvironmental perm,enter date draft decisionenvironmental perm,enter senddate decision environmental perm,1,enter senddate decision environmental perm
7168922,set decision phase: draft decision for inspection,2013-11-12 08:00:21,560872,41519,,set decision phase: draft decision for inspection,0,set decision phase: draft decision for inspection,set decision phase draft decision for inspection,date decision for inspection,1,date decision for inspection
7168922,set decision phase: draft decision permitted sent,2013-11-12 08:00:22,560872,41521,,set decision phase: draft decision permitted sent,0,set decision phase: draft decision permitted sen,set decision phase draft decision permitted sen,phase decision sen,1,phase decision sen
7168922,start decisionphase draft decision - permitting decided,2013-11-12 08:00:23,560872,41520,,start decisionphase draft decision - permitting decided,0,start decisionphase draft decision - permitting dec,start decisionphase draft decision permitting dec,phase decision sen,1,phase decision sen
7168922,MER present,2013-11-14 08:00:02,560872,41524,,MER present,0,MER presen,mer presen,MER presen,0,MER presen
7168922,activities regular procedure,2013-11-14 08:00:03,560872,41525,,activities regular procedure,0,activities regular procedu,activities regular procedu,activities regular procedu,0,activities regular procedu
7168922,article 34  WABO applies,2013-11-14 08:00:04,560872,41540,,article 34  WABO applies,0,article 34  WABO appl,article 34 wabo appl,article 34  WABO appl,0,article 34  WABO appl
7168922,assessment of content completed,2013-11-14 08:00:05,560872,41551,,assessment of content completed,0,assessment of content compl,assessment of content compl,assessment of content compl,0,assessment of content compl
7168922,completed subcases content,2013-11-14 08:00:06,560872,41565,,completed subcases content,0,completed subcases conten,completed subcases conten,treat subcases conten,1,treat subcases conten
7168922,create cover letter draft decision,2013-11-14 08:00:07,560872,41547,,create cover letter draft decision,0,create cover letter draft decision,create cover letter draft decision,creating cover letter decision,1,creating cover letter decision
7168922,create draft environtmental permit,2013-11-14 08:00:08,560872,41555,,create draft environtmental permit,0,create draft environtmental perm,create draft environtmental perm,create draft environtmental perm,0,create draft environtmental perm
7168922,create procedure confirmation,2013-11-14 08:00:09,560872,41527,,create procedure confirmation,0,create procedure confirmation,create procedure confirmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
7168922,create publication document,2013-11-14 08:00:10,560872,41546,,create publication document,0,create publication documen,create publication documen,create publication documen,0,create publication documen
7168922,create subcases completeness,2013-11-14 08:00:11,560872,41529,,create subcases completeness,0,create subcases completen,create subcases completen,treat subcases conten,1,treat subcases conten
7168922,enrich draft decision,2013-11-14 08:00:12,560872,41544,,enrich draft decision,0,enrich draft decision,enrich draft decision,enrich draft decision,0,enrich draft decision
7168922,enter date advice on treatment of environmental permit,2013-11-14 08:00:13,560872,41543,,enter date advice on treatment of environmental permit,0,enter date advice on treatment of environmental perm,enter date advice on treatment of environmental perm,enter date advice on treatment of environmental perm,0,enter date advice on treatment of environmental perm
7168922,enter receipt of additional data,2013-11-14 08:00:14,560872,41534,,enter receipt of additional data,0,enter receipt of additional data,enter receipt of additional data,enter receipt of additional data,0,enter receipt of additional data
7168922,enter senddate draft decision,2013-11-14 08:00:15,560872,41563,,enter senddate draft decision,0,enter senddate draft decision,enter senddate draft decision,phase decision sen,1,phase decision sen
7168922,generate draft decision environmental permit,2013-11-14 08:00:16,560872,41552,,generate draft decision environmental permit,0,generate draft decision environmental perm,generate draft decision environmental perm,enter senddate decision environmental perm,1,enter senddate decision environmental perm
7168922,grounds for refusal,2013-11-14 08:00:17,560872,41541,,grounds for refusal,0,grounds for refusal,grounds for refusal,grounds for refusal,0,grounds for refusal
7168922,open draft decision for inspection,2013-11-14 08:00:18,560872,41545,,open draft decision for inspection,0,open draft decision for inspection,open draft decision for inspection,date decision for inspection,1,date decision for inspection
7168922,phase additional information received,2013-11-14 08:00:19,560872,41562,,phase additional information received,0,phase additional information receiv,phase additional information receiv,receive additional information,1,receive additional information
7168922,phase advice known,2013-11-14 08:00:20,560872,41550,,phase advice known,0,phase advice known,phase advice known,phase advice known,0,phase advice known
7168922,phase application receptive,2013-11-14 08:00:21,560872,41554,,phase application receptive,0,phase application receptiv,phase application receptiv,phase application receiv,1,phase application receiv
7168922,phase asked additional information,2013-11-14 08:00:22,560872,41558,,phase asked additional information,0,phase asked additional information,phase asked additional information,receive additional information,1,receive additional information
7168922,phase concept draft decision ready,2013-11-14 08:00:23,560872,41561,,phase concept draft decision ready,0,phase concept draft decision ready,phase concept draft decision ready,phase decision sen,1,phase decision sen
7168922,phase draft decision made,2013-11-14 08:00:24,560872,41560,,phase draft decision made,0,phase draft decision ma,phase draft decision ma,phase decision sen,1,phase decision sen
7168922,phase draft decision ready,2013-11-14 08:00:25,560872,41559,,phase draft decision ready,0,phase draft decision ready,phase draft decision ready,phase decision sen,1,phase decision sen
7168922,phased application,2013-11-14 08:00:26,560872,41526,,phased application,0,phased application,phased application,read field phased application,1,read field phased application
7168922,procedure change,2013-11-14 08:00:27,560872,41530,,procedure change,0,procedure chang,procedure chang,procedure chang,0,procedure chang
7168922,procedure change,2013-11-14 08:00:28,560872,41539,,procedure change,0,procedure chang,procedure chang,procedure chang,0,procedure chang
7168922,procedure change after completeness,2013-11-14 08:00:29,560872,41537,,procedure change after completeness,0,procedure change after completen,procedure change after completen,procedure change after completen,0,procedure change after completen
7168922,publish,2013-11-14 08:00:30,560872,41528,,publish,0,publish,publish,publish,0,publish
7168922,read field phased application,2013-11-14 08:00:31,560872,41553,,read field phased application,0,read field phased application,read field phased application,read field phased application,0,read field phased application
7168922,receive additional information,2013-11-14 08:00:32,560872,41533,,receive additional information,0,receive additional information,receive additional information,receive additional information,0,receive additional information
7168922,regular procedure without MER,2013-11-14 08:00:33,560872,41523,,regular procedure without MER,0,regular procedure without MER,regular procedure without mer,regular procedure without MER,0,regular procedure without MER
7168922,request complete,2013-11-14 08:00:34,560872,41531,,request complete,0,request compl,request compl,request compl,0,request compl
7168922,request complete,2013-11-14 08:00:35,560872,41536,,request complete,0,request compl,request compl,request compl,0,request compl
7168922,retrieve missing data,2013-11-14 08:00:36,560872,41557,,retrieve missing data,0,retrieve missing data,retrieve missing data,retrieve missing data,0,retrieve missing data
7168922,send confirmation receipt additional data,2013-11-14 08:00:37,560872,41535,,send confirmation receipt additional data,0,send confirmation receipt additional data,send confirmation receipt additional data,send confirmation receip,1,send confirmation receip
7168922,send design decision to stakeholders,2013-11-14 08:00:38,560872,41548,,send design decision to stakeholders,0,send design decision to stakehol,send design decision to stakehol,send design decision to stakehol,0,send design decision to stakehol
7168922,send letter in progress,2013-11-14 08:00:39,560872,41538,,send letter in progress,0,send letter in prog,send letter in prog,send letter in prog,0,send letter in prog
7168922,set decision status,2013-11-14 08:00:40,560872,41549,,set decision status,0,set decision statu,set decision statu,set decision statu,0,set decision statu
7168922,start WABOprocedure,2013-11-14 08:00:41,560872,41556,,start WABOprocedure,0,start WABOprocedu,start waboprocedu,start WABOprocedu,0,start WABOprocedu
7168922,submit draft decision,2013-11-14 08:00:42,560872,41542,,submit draft decision,0,submit draft decision,submit draft decision,submit decision,1,submit decision
7168922,term for supplying missing data,2013-11-14 08:00:43,560872,41532,,term for supplying missing data,0,term for supplying missing data,term for supplying missing data,term for supplying missing data,0,term for supplying missing data
7168922,treat subcases content,2013-11-14 08:00:44,560872,41564,,treat subcases content,0,treat subcases conten,treat subcases conten,treat subcases conten,0,treat subcases conten
7168922,entering senddate draft decision environmental permit,2013-11-14 18:57:36,560872,41567,,entering senddate draft decision environmental permit,0,entering senddate draft decision environmental perm,entering senddate draft decision environmental perm,enter senddate decision environmental perm,1,enter senddate decision environmental perm
7168922,creating environmental permit decision,2014-01-21 08:00:01,560950,41572,,creating environmental permit decision,0,creating environmental permit decision,creating environmental permit decision,enter senddate decision environmental perm,1,enter senddate decision environmental perm
7168922,perspective on draft decision environmental permit received,2014-01-21 08:00:02,560950,41569,,perspective on draft decision environmental permit received,0,perspective on draft decision environmental permit receiv,perspective on draft decision environmental permit receiv,enter senddate decision environmental perm,1,enter senddate decision environmental perm
7168922,record date of decision environmental permit,2014-01-21 08:00:03,560872,41573,,record date of decision environmental permit,0,record date of decision environmental perm,record date of decision environmental perm,enter senddate decision environmental perm,1,enter senddate decision environmental perm
7168922,set decision phase decision permitting decided,2014-01-21 08:00:04,560872,41574,,set decision phase decision permitting decided,0,set decision phase decision permitting dec,set decision phase decision permitting dec,phase decision sen,1,phase decision sen
7168922,suspension ground applicable,2014-01-21 08:00:05,560950,41570,,suspension ground applicable,0,suspension ground applicabl,suspension ground applicabl,suspension ground applicabl,0,suspension ground applicabl
7168922,creating cover letter decision,2014-01-23 08:00:01,560872,41578,,creating cover letter decision,0,creating cover letter decision,creating cover letter decision,creating cover letter decision,0,creating cover letter decision
7168922,decision date prior to decision,2014-01-23 08:00:02,560872,41575,,decision date prior to decision,0,decision date prior to decision,decision date prior to decision,decision date prior to decision,0,decision date prior to decision
7168922,enter senddate decision environmental permit,2014-01-23 08:00:03,560872,41580,,enter senddate decision environmental permit,0,enter senddate decision environmental perm,enter senddate decision environmental perm,enter senddate decision environmental perm,0,enter senddate decision environmental perm
7168922,generating decision environmental permit,2014-01-23 08:00:04,560872,41581,,generating decision environmental permit,0,generating decision environmental perm,generating decision environmental perm,enter senddate decision environmental perm,1,enter senddate decision environmental perm
7168922,phase decision ready,2014-01-23 08:00:05,560872,41586,,phase decision ready,0,phase decision ready,phase decision ready,phase decision sen,1,phase decision sen
7168922,phase decision sent,2014-01-23 08:00:06,560872,41584,,phase decision sent,0,phase decision sen,phase decision sen,phase decision sen,0,phase decision sen
7168922,phase decision taken,2014-01-23 08:00:07,560872,41583,,phase decision taken,0,phase decision taken,phase decision taken,phase decision sen,1,phase decision sen
7168922,register objection and appeal periods,2014-01-23 08:00:08,560872,41577,,register objection and appeal periods,0,register objection and appeal p,register objection and appeal p,register objection and appeal p,0,register objection and appeal p
7168922,set decision status,2014-01-23 08:00:09,560872,41582,,set decision status,0,set decision statu,set decision statu,set decision statu,0,set decision statu
7168922,submit decision,2014-01-23 08:00:10,560872,41576,,submit decision,0,submit decision,submit decision,submit decision,0,submit decision
7168922,transcript decision environmental permit to stakeholders,2014-01-23 08:00:11,560872,41585,,transcript decision environmental permit to stakeholders,0,transcript decision environmental permit to stakehol,transcript decision environmental permit to stakehol,transcript decision environmental permit to stakehol,0,transcript decision environmental permit to stakehol
7168922,enter senddate decision,2014-01-27 08:00:07,560872,41587,,enter senddate decision,0,enter senddate decision,enter senddate decision,phase decision sen,1,phase decision sen
7168922,enter senddate decision environmental permit,2014-01-27 08:00:08,560872,41589,,enter senddate decision environmental permit,0,enter senddate decision environmental perm,enter senddate decision environmental perm,enter senddate decision environmental perm,0,enter senddate decision environmental perm
7168922,start decision phase decision permitting sent,2014-01-27 08:00:09,560872,41588,,start decision phase decision permitting sent,0,start decision phase decision permitting sen,start decision phase decision permitting sen,phase decision sen,1,phase decision sen
7168922,set decision phase inspection of decision permitting,2014-01-30 08:00:01,560872,41590,,set decision phase inspection of decision permitting,0,set decision phase inspection of decision permitting,set decision phase inspection of decision permitting,phase decision sen,1,phase decision sen
7168922,set phase: phase permitting irrevocable,2014-03-14 08:00:01,560872,41592,,set phase: phase permitting irrevocable,0,set phase: phase permitting irrevocabl,set phase phase permitting irrevocabl,set phase: phase permitting irrevocabl,0,set phase: phase permitting irrevocabl
7168922,phase archived case,2014-03-31 07:00:01,560872,41598,,phase archived case,0,phase archived ca,phase archived ca,phase archived ca,0,phase archived ca
7168922,phase case handled,2014-03-31 07:00:02,560872,41599,,phase case handled,0,phase case handl,phase case handl,phase case handl,0,phase case handl
7168922,phase decision irrevocable,2014-03-31 07:00:03,560872,41597,,phase decision irrevocable,0,phase decision irrevocabl,phase decision irrevocabl,phase decision irrevocabl,0,phase decision irrevocabl
7168922,read publication date field,2014-03-31 07:00:04,560872,41596,,read publication date field,0,read publication date fiel,read publication date fiel,read publication date fiel,0,read publication date fiel
7168922,stop all running subcases 2b,2014-03-31 07:00:05,560872,41595,,stop all running subcases 2b,0,stop all running subcases 2b,stop all running subcases 2b,stop all running subcases 2b,0,stop all running subcases 2b
7205355,register submission date request,2013-04-09 07:00:27,560872,41600,,register submission date request,0,register submission date requ,register submission date requ,register submission date requ,0,register submission date requ
7205355,phase application received,2013-04-15 15:58:13,560872,41602,,phase application received,0,phase application receiv,phase application receiv,phase application receiv,0,phase application receiv
7205355,send confirmation receipt,2013-04-15 15:58:14,560872,41603,,send confirmation receipt,0,send confirmation receip,send confirmation receip,send confirmation receip,0,send confirmation receip
7205355,regular procedure without MER,2013-04-15 17:06:46,560872,41606,,regular procedure without MER,0,regular procedure without MER,regular procedure without mer,regular procedure without MER,0,regular procedure without MER
7205355,start WABOprocedure,2013-04-15 17:06:47,560872,41607,,start WABOprocedure,0,start WABOprocedu,start waboprocedu,start WABOprocedu,0,start WABOprocedu
