send confirmation receipt_signed1 -> send confirmation receipt_signed2 (frequency = 1490, performance = 0.37)
start decisionphase draft decision - permitting decided -> entering senddate draft decision environmental permit (frequency = 2, performance = 475214.00)
start decisionphase draft decision - permitting decided -> send confirmation receipt_signed1 (frequency = 2, performance = 0.25)
stop all running subcases 2b -> close case (frequency = 2, performance = 388819.50)
subcase art. 33 WABO completed -> submit decision (frequency = 2, performance = 1.00)
subcases completeness completed -> article 34  WABO applies (frequency = 2, performance = 86409.00)
subcases completeness completed -> send confirmation receipt_signed1 (frequency = 2, performance = 0.45)
subcases completeness completed -> subcases completeness completed (frequency = 2, performance = 1.00)
subcases completeness completed -> term 14 or 26 weeks (frequency = 2, performance = 1.00)
submit decision -> create monitoring case (frequency = 2, performance = 561608.50)
submit decision -> phase decision taken (frequency = 2, performance = 86381.00)
submit decision -> set decision phase decision permitting decided (frequency = 2, performance = 212369.00)
submit decision -> treat subcases present decision (frequency = 2, performance = 3.00)
submit draft decision -> enter date draft decisionenvironmental permit (frequency = 2, performance = 431975.50)
submit draft decision -> enter senddate draft decision (frequency = 2, performance = 431987.50)
submit draft decision -> suspension ground applicable (frequency = 2, performance = 1.00)
suspend term -> register date environmental permit decision (frequency = 2, performance = 58657.00)
suspend term -> send confirmation receipt_signed1 (frequency = 2, performance = 0.25)
suspension ground applicable -> coordination of application (frequency = 2, performance = 2.00)
suspension ground applicable -> create monitoring case (frequency = 2, performance = 302405.00)
suspension ground applicable -> enter senddate decision (frequency = 2, performance = 129599.00)
suspension ground applicable -> record date of decision environmental permit (frequency = 2, performance = 45730.50)
suspension ground applicable -> set phase: phase permitting irrevocable (frequency = 2, performance = 2184148.50)
suspension ground applicable -> term for supplying missing data (frequency = 2, performance = 1.00)
term 14 or 26 weeks -> phase asked additional information (frequency = 2, performance = 7559964.50)
term 14 or 26 weeks -> treat subcases completeness (frequency = 2, performance = 1.00)
term for supplying missing data -> enter date decision permanent suspension (frequency = 2, performance = 4321795.50)
term for supplying missing data -> enter senddate decision procedure term extension (frequency = 2, performance = 1987171.50)
term for supplying missing data -> receive additional information (frequency = 2, performance = 1814383.00)
term for supplying missing data -> retrieve missing data (frequency = 2, performance = 86369.50)
terminate on request -> enter senddate acknowledgement (frequency = 2, performance = 29596.00)
terminate on request -> register number of days extension period (frequency = 2, performance = 19.50)
terminate on request -> send procedure confirmation (frequency = 2, performance = 15.50)
terminate on request -> treat subcases content (frequency = 2, performance = 1.00)
transcript decision environmental permit to stakeholders -> set decision phase decision permitting decided (frequency = 2, performance = 86396.00)
transcript decision environmental permit to stakeholders -> updated plan after perspective (frequency = 2, performance = 1.00)
treat subcase perspective -> updated plan after perspective (frequency = 2, performance = 1.00)
treat subcases completeness -> MER present in supplement (frequency = 2, performance = 216006.00)
treat subcases completeness -> WAW permit aspect (frequency = 2, performance = 1.00)
treat subcases completeness -> article 34  WABO applies (frequency = 2, performance = 1468797.50)
treat subcases content -> ask stakeholders views (frequency = 2, performance = 907168.00)
treat subcases content -> close case (frequency = 2, performance = 1987190.00)
treat subcases content -> create cover letter extend procedure term (frequency = 2, performance = 129562.50)
treat subcases content -> decision date prior to decision (frequency = 2, performance = 476998.00)
treat subcases content -> enter date decision procedure term extension (frequency = 2, performance = 43276.50)
treat subcases content -> entering senddate draft decision environmental permit (frequency = 2, performance = 149289.50)
treat subcases content -> register date environmental permit decision (frequency = 2, performance = 215935.50)
treat subcases content -> register deadline (frequency = 2, performance = 4364957.50)
treat subcases reassessment plan -> updated plan after perspective (frequency = 2, performance = 1.00)
updated plan after perspective -> set decision phase decision permitting decided (frequency = 2, performance = 345581.50)
MER present -> WAW permit aspect (frequency = 1, performance = 1.00)
MER present -> send confirmation receipt_signed1 (frequency = 1, performance = 0.40)
MER present in supplement -> applicant is stakeholder (frequency = 1, performance = 1.00)
MER present in supplement -> copy decision to extend procedure to stakeholders (frequency = 1, performance = 1.00)
MER present in supplement -> create cover letter extend procedure term (frequency = 1, performance = 1.00)
MER present in supplement -> creating decision permanently suspended (frequency = 1, performance = 1.00)
MER present in supplement -> procedure change (frequency = 1, performance = 1.00)
MER present in supplement -> request complete (frequency = 1, performance = 2.00)
OLO messaging active -> applicant is stakeholder (frequency = 1, performance = 1.00)
OLO messaging active -> close case (frequency = 1, performance = 1.00)
OLO messaging active -> create cover letter permanent suspension (frequency = 1, performance = 1.00)
VVGB positive -> applicant is stakeholder (frequency = 1, performance = 1.00)
WAW permit aspect -> WAW permit aspect (frequency = 1, performance = 1.00)
WAW permit aspect -> article 34  WABO applies (frequency = 1, performance = 1.00)
WAW permit aspect -> treat subcases content (frequency = 1, performance = 3.00)
activities regular procedure -> completed subcases content (frequency = 1, performance = 1.00)
activities regular procedure -> date for inspection MER (frequency = 1, performance = 1.00)
activities regular procedure -> detailed procedure applies (frequency = 1, performance = 1.00)
activities regular procedure -> send confirmation receipt_signed2 (frequency = 1, performance = 0.00)
appeal and preliminary injunction in system -> appeal logded (frequency = 1, performance = 1.00)
appeal logded -> close case (frequency = 1, performance = 1.00)
appeal logded -> objection subcase completed (frequency = 1, performance = 1.00)
appeal subcase completed -> send confirmation receipt_signed1 (frequency = 1, performance = 0.00)
appealed to higher court -> close case (frequency = 1, performance = 1.00)
appealed to higher court -> send confirmation receipt_signed1 (frequency = 1, performance = 0.70)
applicant is stakeholder -> copy decision to extend procedure to stakeholders (frequency = 1, performance = 1.00)
applicant is stakeholder -> create procedure confirmation (frequency = 1, performance = 1.00)
applicant is stakeholder -> creating environmental permit decision (frequency = 1, performance = 1.00)
applicant is stakeholder -> enter receipt of additional data (frequency = 1, performance = 1.00)
applicant is stakeholder -> first or second phase (frequency = 1, performance = 1.00)
applicant is stakeholder -> forward to the competent authority (frequency = 1, performance = 9.00)
applicant is stakeholder -> no permit required for application (frequency = 1, performance = 1.00)
applicant is stakeholder -> request complete (frequency = 1, performance = 6.00)
article 34  WABO applies -> create decision procedure term extension (frequency = 1, performance = 1.00)
article 34  WABO applies -> create subcases content (frequency = 1, performance = 1.00)
article 34  WABO applies -> environmental permit irrevocable (frequency = 1, performance = 1.00)
article 34  WABO applies -> procedure change after completeness (frequency = 1, performance = 1.00)
article 35 applies -> send confirmation receipt_signed2 (frequency = 1, performance = 0.00)
ask stakeholders views -> create subcases content (frequency = 1, performance = 1.00)
ask stakeholders views -> phase decision suspended (frequency = 1, performance = 12.00)
ask stakeholders views -> send decision suspension (frequency = 1, performance = 57.00)
ask stakeholders views -> set decision phase: suspension cancelled (frequency = 1, performance = 127830.00)
ask stakeholders views -> transcript decision environmental permit to stakeholders (frequency = 1, performance = 8815.00)
assessment of content completed -> create draft environtmental permit (frequency = 1, performance = 1.00)
by law -> calculate provisional charges (frequency = 1, performance = 1.00)
by law -> contacting applicant (frequency = 1, performance = 1.00)
by law -> create cover letter draft decision (frequency = 1, performance = 1.00)
by law -> creating decision suspension art. 33 WABO (frequency = 1, performance = 1.00)
by law -> extend procedure term (frequency = 1, performance = 8.00)
calculate provisional charges -> completed subcases content (frequency = 1, performance = 1.00)
cancel BAG objects research -> close case (frequency = 1, performance = 1.00)
close case -> create letter only notification required (frequency = 1, performance = 1.00)
close case -> create monitoring case (frequency = 1, performance = 1.00)
close case -> creating cover letter decision (frequency = 1, performance = 1.00)
close case -> enter date publication decision environmental permit (frequency = 1, performance = 1.00)
close case -> enter senddate decision (frequency = 1, performance = 1.00)
close case -> mutation BAG carry objects (frequency = 1, performance = 1.00)
close case -> objection to permanent suspension received (frequency = 1, performance = 1.00)
completed subcases content -> contacting applicant (frequency = 1, performance = 1.00)
completed subcases content -> create subcases content (frequency = 1, performance = 1.00)
completed subcases content -> creating cover letter decision (frequency = 1, performance = 1.00)
completed subcases content -> enter senddate decision environmental permit (frequency = 1, performance = 225344.00)
completed subcases content -> extend procedure term (frequency = 1, performance = 1.00)
completed subcases content -> phase application received (frequency = 1, performance = 1.00)
contacting applicant -> create draft environtmental permit (frequency = 1, performance = 1.00)
contacting applicant -> create subcases content (frequency = 1, performance = 1.00)
contested decision affected -> generate publication document decision environmental permit (frequency = 1, performance = 1.00)
contested decision affected -> request for preliminary injunction received (frequency = 1, performance = 1.00)
contested decision affected -> send confirmation receipt_signed1 (frequency = 1, performance = 0.40)
contested decision affected -> set phase (frequency = 1, performance = 1.00)
continuation term to decision -> create continuation letter (frequency = 1, performance = 1.00)
continuation term to decision -> send confirmation receipt_signed1 (frequency = 1, performance = 0.80)
coordination of application -> by law (frequency = 1, performance = 1.00)
coordination of application -> create letter requesting missing data (frequency = 1, performance = 1.00)
coordination of application -> grounds for refusal (frequency = 1, performance = 1.00)
copy decision to extend procedure to stakeholders -> creating decision procedure term extension (frequency = 1, performance = 1.00)
create continuation letter -> creating cover letter decision (frequency = 1, performance = 1.00)
create continuation letter -> send confirmation receipt_signed1 (frequency = 1, performance = 0.10)
create cover letter draft decision -> send confirmation receipt_signed1 (frequency = 1, performance = 0.10)
create cover letter draft decision -> send confirmation receipt_signed2 (frequency = 1, performance = 0.80)
create cover letter extend procedure term -> create cover letter permanent suspension (frequency = 1, performance = 1.00)
create cover letter extend procedure term -> enter date decision procedure term extension (frequency = 1, performance = 1.00)
create cover letter extend procedure term -> send confirmation receipt_signed2 (frequency = 1, performance = 0.00)
create cover letter permanent suspension -> create decision procedure term extension (frequency = 1, performance = 1.00)
create cover letter permanent suspension -> enter date decision permanent suspension (frequency = 1, performance = 1.00)
create cover letter permanent suspension -> enter senddate decision permanent suspension (frequency = 1, performance = 1.00)
create cover letter permanent suspension -> send confirmation receipt_signed1 (frequency = 1, performance = 0.80)
create decision no permit required -> create subcases completeness (frequency = 1, performance = 1.00)
create decision procedure term extension -> create letter requesting missing data (frequency = 1, performance = 1.00)
create decision procedure term extension -> create publication document (frequency = 1, performance = 1.00)
create decision procedure term extension -> creating decision permanently suspended (frequency = 1, performance = 1.00)
create decision procedure term extension -> send confirmation receipt_signed2 (frequency = 1, performance = 0.10)
create draft environtmental permit -> dismiss under mandate (frequency = 1, performance = 1.00)
create draft environtmental permit -> enter date advice on treatment of environmental permit (frequency = 1, performance = 1.00)
create draft environtmental permit -> enter receipt of additional data (frequency = 1, performance = 1.00)
create draft environtmental permit -> extend procedure term (frequency = 1, performance = 1.00)
create draft environtmental permit -> generate draft decision environmental permit (frequency = 1, performance = 1.00)
create draft environtmental permit -> send confirmation receipt_signed2 (frequency = 1, performance = 0.30)
create letter only notification required -> forward to the competent authority (frequency = 1, performance = 1.00)
create letter requesting missing data -> creating decision procedure term extension (frequency = 1, performance = 1.00)
create letter requesting missing data -> enrich draft decision (frequency = 1, performance = 1.00)
create letter requesting missing data -> retrieve missing data (frequency = 1, performance = 1.00)
create letter requesting missing data -> term for supplying missing data (frequency = 1, performance = 1.00)
create letter requesting updated plan -> create subcases completeness (frequency = 1, performance = 1.00)
create letter requesting updated plan -> grounds for refusal (frequency = 1, performance = 1.00)
create message terminate request -> create subcases completeness (frequency = 1, performance = 1.00)
create monitoring case -> create publication document (frequency = 1, performance = 1.00)
create monitoring case -> creating environmental permit decision (frequency = 1, performance = 1.00)
create monitoring case -> enter date publication decision environmental permit (frequency = 1, performance = 1.00)
create monitoring case -> send confirmation receipt_signed2 (frequency = 1, performance = 0.00)
create procedure confirmation -> ask stakeholders views (frequency = 1, performance = 4091761.00)
create procedure confirmation -> completed subcases content (frequency = 1, performance = 3500037.00)
create procedure confirmation -> create cover letter extend procedure term (frequency = 1, performance = 3922178.00)
create procedure confirmation -> create subcases content (frequency = 1, performance = 1.00)
create procedure confirmation -> creating environmental permit decision (frequency = 1, performance = 1.00)
create procedure confirmation -> record date of decision environmental permit (frequency = 1, performance = 3325085.00)
create procedure confirmation -> send letter in progress (frequency = 1, performance = 1380638.00)
create procedure confirmation -> set decision phase suspension decided (frequency = 1, performance = 305013.00)
create procedure confirmation -> start decision phase extension granted (frequency = 1, performance = 4540909.00)
create procedure confirmation -> treat subcases content (frequency = 1, performance = 3030695.00)
create publication document -> create subcases content (frequency = 1, performance = 1.00)
create publication document -> creating decision procedure term extension (frequency = 1, performance = 1.00)
create publication document -> enter receipt of additional data (frequency = 1, performance = 1.00)
create publication document -> enter senddate acknowledgement (frequency = 1, performance = 1.00)
create publication document -> phase asked additional information (frequency = 1, performance = 1.00)
create publication document -> publish official draft decision (frequency = 1, performance = 1.00)
create subcases completeness -> create subcases submit draft decision (frequency = 1, performance = 1.00)
create subcases completeness -> creating cover letter no permit required (frequency = 1, performance = 1.00)
create subcases completeness -> creating decision suspension art. 33 WABO (frequency = 1, performance = 1.00)
create subcases completeness -> enter date decision procedure term extension (frequency = 1, performance = 1.00)
create subcases completeness -> enter receipt of additional data (frequency = 1, performance = 1.00)
create subcases completeness -> enter senddate decision suspension (frequency = 1, performance = 1.00)
create subcases completeness -> enter senddate retrieve missing data (frequency = 1, performance = 1.00)
create subcases completeness -> first phase affected (frequency = 1, performance = 1.00)
create subcases completeness -> generate draft decision environmental permit (frequency = 1, performance = 1.00)
create subcases completeness -> initiative competent authority (frequency = 1, performance = 1.00)
create subcases completeness -> no permit needed or only notification needed (frequency = 1, performance = 1.00)
create subcases completeness -> phase advice known (frequency = 1, performance = 1.00)
create subcases completeness -> phased application (frequency = 1, performance = 1.00)
create subcases completeness -> registration date publication (frequency = 1, performance = 1.00)
create subcases completeness -> set decision phase suspension decided (frequency = 1, performance = 1.00)
create subcases content -> creating decision procedure term extension (frequency = 1, performance = 1.00)
create subcases content -> enrich draft decision (frequency = 1, performance = 1.00)
create subcases content -> phase advice known (frequency = 1, performance = 1.00)
create subcases content -> treat subcases content (frequency = 1, performance = 1.00)
create subcases present decision -> decision date prior to decision (frequency = 1, performance = 1.00)
create subcases present decision -> send confirmation receipt_signed2 (frequency = 1, performance = 0.40)
create subcases submit draft decision -> creating cover letter decision (frequency = 1, performance = 1.00)
create suspension competent authority -> send confirmation receipt_signed1 (frequency = 1, performance = 0.90)
creating cover letter decision -> creating decision suspension art. 33 WABO (frequency = 1, performance = 1.00)
creating cover letter decision -> date continuation term to decision (frequency = 1, performance = 1.00)
creating cover letter decision -> register objection and appeal periods (frequency = 1, performance = 1.00)
creating cover letter no permit required -> decision date prior to decision (frequency = 1, performance = 1.00)
creating decision permanently suspended -> creating decision procedure term extension (frequency = 1, performance = 1.00)
creating decision permanently suspended -> enter senddate decision permanent suspension (frequency = 1, performance = 417235.00)
creating decision permanently suspended -> send confirmation receipt_signed2 (frequency = 1, performance = 0.60)
creating decision procedure term extension -> decision procedure term extension (frequency = 1, performance = 1.00)
creating decision procedure term extension -> send confirmation receipt_signed1 (frequency = 1, performance = 0.20)
creating decision suspension art. 33 WABO -> send confirmation receipt_signed2 (frequency = 1, performance = 0.40)
creating environmental permit decision -> date decision for inspection (frequency = 1, performance = 1.00)
creating environmental permit decision -> decided on draft decision environmental permit (frequency = 1, performance = 1.00)
creating environmental permit decision -> enter date decision suspension (frequency = 1, performance = 1.00)
creating environmental permit decision -> enter receipt of additional data (frequency = 1, performance = 1.00)
creating environmental permit decision -> enter senddate procedure confirmation (frequency = 1, performance = 44450.00)
creating environmental permit decision -> enter senddate request termination (frequency = 1, performance = 218392.00)
creating environmental permit decision -> generate publication document decision environmental permit (frequency = 1, performance = 1.00)
creating environmental permit decision -> generating decision environmental permit (frequency = 1, performance = 1.00)
creating environmental permit decision -> perspective on draft decision environmental permit received (frequency = 1, performance = 1.00)
creating environmental permit decision -> phase decision ready (frequency = 1, performance = 175012.00)
creating environmental permit decision -> phase decision sent (frequency = 1, performance = 487.00)
date continuation term to decision -> enter senddate decision (frequency = 1, performance = 1.00)
date continuation term to decision -> send confirmation receipt_signed2 (frequency = 1, performance = 0.00)
date decision for inspection -> decision date prior to decision (frequency = 1, performance = 1.00)
date decision for inspection -> enter date publication decision environmental permit (frequency = 1, performance = 9503981.00)
date decision for inspection -> enter senddate decision (frequency = 1, performance = 1.00)
date decision for inspection -> enter senddate decision environmental permit (frequency = 1, performance = 1.00)
date draft decision for inspection -> perspective from GS or VROM received (frequency = 1, performance = 3455996.00)
date draft decision for inspection -> perspective on draft decision environmental permit received (frequency = 1, performance = 14605203.00)
date draft decision for inspection -> phase advice known (frequency = 1, performance = 4005637.00)
date draft decision for inspection -> phase decision taken (frequency = 1, performance = 4013583.00)
date draft decision for inspection -> phase perspective submitted (frequency = 1, performance = 4102109.00)
date draft decision for inspection -> set phase: phase permitting irrevocable (frequency = 1, performance = 10367998.00)
date for inspection MER -> first or second phase (frequency = 1, performance = 1.00)
date for inspection MER -> register submission date request (frequency = 1, performance = 9759532.00)
decided on draft decision environmental permit -> enrich draft decision (frequency = 1, performance = 1.00)
decision date prior to decision -> create publication document (frequency = 1, performance = 635128.00)
decision date prior to decision -> determine cause for suspension article 34 WABO (frequency = 1, performance = 1.00)
decision date prior to decision -> enter date decision procedure term extension (frequency = 1, performance = 1.00)
decision date prior to decision -> enter enddate of suspension (frequency = 1, performance = 1.00)
decision date prior to decision -> enter senddate letter no permit required (frequency = 1, performance = 1.00)
decision date prior to decision -> keep permanently suspended (frequency = 1, performance = 1.00)
decision date prior to decision -> perspective on draft decision environmental permit received (frequency = 1, performance = 1.00)
decision extension procedure term irrevocable -> enter senddate decision environmental permit (frequency = 1, performance = 3671906.00)
decision keep permanently suspended -> forward to the competent authority (frequency = 1, performance = 1.00)
decision keep permanently suspended -> send confirmation receipt_signed1 (frequency = 1, performance = 0.80)
decision permanent suspension irrevocable -> register deadline (frequency = 1, performance = 1.00)
decision procedure term extension -> enter date decision procedure term extension (frequency = 1, performance = 1.00)
decision procedure term extension -> extend procedure term (frequency = 1, performance = 1.00)
detailed procedure applies -> forward to the competent authority (frequency = 1, performance = 1.00)
determine cause for suspension article 34 WABO -> assessment of content completed (frequency = 1, performance = 1.00)
determine cause for suspension article 34 WABO -> environmental permit irrevocable (frequency = 1, performance = 1.00)
determine cause for suspension article 34 WABO -> phase advice known (frequency = 1, performance = 1.00)
dismiss under mandate -> enter receipt of additional data (frequency = 1, performance = 1.00)
enrich decision -> enrich draft decision (frequency = 1, performance = 1.00)
enrich decision -> phase concept decision ready (frequency = 1, performance = 1.00)
enrich decision -> send confirmation receipt_signed2 (frequency = 1, performance = 0.50)
enrich draft decision -> enter publication date draft decision (frequency = 1, performance = 1.00)
enrich draft decision -> entering senddate draft decision environmental permit (frequency = 1, performance = 1.00)
enrich draft decision -> extend procedure term (frequency = 1, performance = 1.00)
enrich draft decision -> generate draft decision environmental permit (frequency = 1, performance = 1.00)
enrich draft decision -> send confirmation receipt_signed2 (frequency = 1, performance = 0.00)
enter date advice on treatment of environmental permit -> enter senddate decision environmental permit (frequency = 1, performance = 1.00)
enter date advice on treatment of environmental permit -> entering senddate draft decision environmental permit (frequency = 1, performance = 1.00)
enter date advice on treatment of environmental permit -> registration date publication (frequency = 1, performance = 86399.00)
enter date advice on treatment of environmental permit -> send confirmation receipt_signed2 (frequency = 1, performance = 0.20)
enter date decision permanent suspension -> send confirmation receipt_signed1 (frequency = 1, performance = 0.80)
enter date decision procedure term extension -> enter senddate acknowledgement (frequency = 1, performance = 1.00)
enter date decision procedure term extension -> enter senddate decision environmental permit (frequency = 1, performance = 1.00)
enter date decision procedure term extension -> phase advice known (frequency = 1, performance = 210297.00)
enter date decision procedure term extension -> request complete (frequency = 1, performance = 58616.00)
enter date decision procedure term extension -> treat subcases content (frequency = 1, performance = 154886.00)
enter date decision suspension -> enter senddate decision suspension (frequency = 1, performance = 1.00)
enter date decision suspension -> grounds for refusal (frequency = 1, performance = 1.00)
enter date decision suspension -> phase decision suspended (frequency = 1, performance = 1.00)
enter date decision suspension -> send confirmation receipt_signed1 (frequency = 1, performance = 0.20)
enter date decision suspension -> send decision suspension (frequency = 1, performance = 21.00)
enter date draft decisionenvironmental permit -> creating environmental permit decision (frequency = 1, performance = 5654431.00)
enter date draft decisionenvironmental permit -> enter senddate draft decision (frequency = 1, performance = 1.00)
enter date draft decisionenvironmental permit -> phase advice known (frequency = 1, performance = 57175.00)
enter date draft decisionenvironmental permit -> read field phased application (frequency = 1, performance = 225084.00)
enter date draft decisionenvironmental permit -> register date environmental permit decision (frequency = 1, performance = 6652801.00)
enter date draft decisionenvironmental permit -> registration date publication (frequency = 1, performance = 86398.00)
enter date draft decisionenvironmental permit -> send confirmation receipt_signed2 (frequency = 1, performance = 0.30)
enter date draft decisionenvironmental permit -> set decision phase: draft decision for inspection (frequency = 1, performance = 1.00)
enter date draft decisionenvironmental permit -> set decision phase: draft decision permitted sent (frequency = 1, performance = 1.00)
enter date publication decision environmental permit -> enter senddate procedure confirmation (frequency = 1, performance = 86383.00)
enter date publication decision environmental permit -> phase decision irrevocable (frequency = 1, performance = 1.00)
enter date publication decision environmental permit -> read publication date field (frequency = 1, performance = 1.00)
enter date publication decision environmental permit -> register date environmental permit decision (frequency = 1, performance = 10371600.00)
enter date termination request received -> enter senddate procedure confirmation (frequency = 1, performance = 604796.00)
enter date termination request received -> send procedure confirmation (frequency = 1, performance = 1177005.00)
enter enddate of suspension -> enter senddate decision (frequency = 1, performance = 1.00)
enter enddate of suspension -> enter senddate decision suspension (frequency = 1, performance = 1.00)
enter enddate of suspension -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter enddate of suspension -> send confirmation receipt_signed1 (frequency = 1, performance = 0.10)
enter publication date draft decision -> enter senddate decision environmental permit (frequency = 1, performance = 1.00)
enter publication date draft decision -> send confirmation receipt_signed1 (frequency = 1, performance = 0.20)
enter publication date draft decision -> send confirmation receipt_signed2 (frequency = 1, performance = 0.00)
enter receipt of additional data -> ask stakeholders views (frequency = 1, performance = 2591999.00)
enter receipt of additional data -> enter date advice on treatment of environmental permit (frequency = 1, performance = 4838383.00)
enter receipt of additional data -> enter senddate decision (frequency = 1, performance = 1.00)
enter receipt of additional data -> forward to the competent authority (frequency = 1, performance = 1.00)
enter receipt of additional data -> procedure change (frequency = 1, performance = 1.00)
enter receipt of additional data -> send confirmation receipt_signed2 (frequency = 1, performance = 0.50)
enter senddate acknowledgement -> MER present in supplement (frequency = 1, performance = 2588376.00)
enter senddate acknowledgement -> OLO messaging active (frequency = 1, performance = 32655599.00)
enter senddate acknowledgement -> create subcases completeness (frequency = 1, performance = 1987234.00)
enter senddate acknowledgement -> create subcases content (frequency = 1, performance = 2509251.00)
enter senddate acknowledgement -> enter date draft decisionenvironmental permit (frequency = 1, performance = 29030399.00)
enter senddate acknowledgement -> keep permanently suspended (frequency = 1, performance = 5067804.00)
enter senddate acknowledgement -> message terminate request (frequency = 1, performance = 3591232.00)
enter senddate acknowledgement -> phase additional information received (frequency = 1, performance = 2724477.00)
enter senddate acknowledgement -> phase advice known (frequency = 1, performance = 644192.00)
enter senddate acknowledgement -> phased application (frequency = 1, performance = 1.00)
enter senddate acknowledgement -> record date of decision environmental permit (frequency = 1, performance = 3145697.00)
enter senddate acknowledgement -> register deadline (frequency = 1, performance = 2156409.00)
enter senddate acknowledgement -> registration date publication (frequency = 1, performance = 1036804.00)
enter senddate acknowledgement -> regular procedure without MER (frequency = 1, performance = 223155.00)
enter senddate acknowledgement -> retrieve missing data (frequency = 1, performance = 1416173.00)
enter senddate acknowledgement -> send confirmation receipt_signed2 (frequency = 1, performance = 0.20)
enter senddate acknowledgement -> set phase: phase permitting irrevocable (frequency = 1, performance = 19781991.00)
enter senddate acknowledgement -> start decision phase extension granted (frequency = 1, performance = 3366014.00)
enter senddate acknowledgement -> treat subcases completeness (frequency = 1, performance = 1787017.00)
enter senddate continuation -> enter senddate decision procedure term extension (frequency = 1, performance = 1.00)
enter senddate decision -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit -> close case (frequency = 1, performance = 10540800.00)
enter senddate decision environmental permit -> contested decision affected (frequency = 1, performance = 29289600.00)
enter senddate decision environmental permit -> enter senddate decision suspension (frequency = 1, performance = 1.00)
enter senddate decision environmental permit -> generate publication document decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit -> phase concept decision ready (frequency = 1, performance = 1.00)
enter senddate decision environmental permit -> phase decision taken (frequency = 1, performance = 1.00)
enter senddate decision environmental permit -> phase perspective submitted (frequency = 1, performance = 54805.00)
enter senddate decision environmental permit -> registration date publication (frequency = 1, performance = 1.00)
enter senddate decision permanent suspension -> enter senddate procedure term extension (frequency = 1, performance = 1.00)
enter senddate decision permanent suspension -> objection to permanent suspension received (frequency = 1, performance = 9.00)
enter senddate decision permanent suspension -> stop procedure after permanent suspension (frequency = 1, performance = 70.00)
enter senddate decision procedure term extension -> ask stakeholders views (frequency = 1, performance = 3760319.00)
enter senddate decision procedure term extension -> assessment of content completed (frequency = 1, performance = 2938256.00)
enter senddate decision procedure term extension -> enter date decision procedure term extension (frequency = 1, performance = 4834799.00)
enter senddate decision procedure term extension -> enter receipt of additional data (frequency = 1, performance = 1897203.00)
enter senddate decision procedure term extension -> enter senddate confirmation request (frequency = 1, performance = 3369598.00)
enter senddate decision procedure term extension -> grounds for refusal (frequency = 1, performance = 3720567.00)
enter senddate decision procedure term extension -> keep permanently suspended (frequency = 1, performance = 68004.00)
enter senddate decision procedure term extension -> phase additional information received (frequency = 1, performance = 527251.00)
enter senddate decision procedure term extension -> phase application receptive (frequency = 1, performance = 2092254.00)
enter senddate decision procedure term extension -> phase procedure extended (frequency = 1, performance = 50341.00)
enter senddate decision procedure term extension -> registrer date of publishing received request (frequency = 1, performance = 2373402.00)
enter senddate decision procedure term extension -> retrieve missing data (frequency = 1, performance = 916318.00)
enter senddate decision procedure term extension -> send confirmation receipt_signed2 (frequency = 1, performance = 0.20)
enter senddate decision procedure term extension -> set decision phase decision permitting decided (frequency = 1, performance = 2967736.00)
enter senddate decision procedure term extension -> submit decision (frequency = 1, performance = 353726.00)
enter senddate decision procedure term extension -> suspension ground applicable (frequency = 1, performance = 3540091.00)
enter senddate decision procedure term extension -> transcript decision environmental permit to stakeholders (frequency = 1, performance = 3980869.00)
enter senddate decision procedure term extension -> treat subcases completeness (frequency = 1, performance = 2512266.00)
enter senddate decision suspension -> MER present in supplement (frequency = 1, performance = 20908812.00)
enter senddate decision suspension -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision suspension -> investigate BAG objects (frequency = 1, performance = 1.00)
enter senddate decision suspension -> register submission date request (frequency = 1, performance = 1.00)
enter senddate decision suspension -> registrer date of publishing received request (frequency = 1, performance = 1.00)
enter senddate decision suspension -> retrieve missing data (frequency = 1, performance = 44054.00)
enter senddate decision suspension -> send confirmation receipt_signed2 (frequency = 1, performance = 0.30)
enter senddate decision suspension -> send decision suspension (frequency = 1, performance = 1.00)
enter senddate decision suspension -> set decision phase suspension sent (frequency = 1, performance = 1.00)
enter senddate draft decision -> generate publication document decision environmental permit (frequency = 1, performance = 1.00)
enter senddate draft decision -> perspective on draft decision environmental permit received (frequency = 1, performance = 1.00)
enter senddate draft decision -> send confirmation receipt_signed1 (frequency = 1, performance = 0.70)
enter senddate letter no permit required -> generating decision no permit required (frequency = 1, performance = 1.00)
enter senddate letter to competent authority -> forward transcript to stakeholders (frequency = 1, performance = 31924.00)
enter senddate letter to competent authority -> no permit needed or only notification needed (frequency = 1, performance = 393385.00)
enter senddate letter to stakeholders -> enter senddate letter to competent authority (frequency = 1, performance = 172793.00)
enter senddate letter to stakeholders -> enter senddate letter to stakeholders (frequency = 1, performance = 1.00)
enter senddate letter to stakeholders -> send confirmation receipt_signed1 (frequency = 1, performance = 0.90)
enter senddate procedure confirmation -> WAW permit aspect (frequency = 1, performance = 47084400.00)
enter senddate procedure confirmation -> activities regular procedure (frequency = 1, performance = 11723201.00)
enter senddate procedure confirmation -> applicant is stakeholder (frequency = 1, performance = 6090705.00)
enter senddate procedure confirmation -> ask stakeholders views (frequency = 1, performance = 44409598.00)
