forward to the competent authority -> phase application received (frequency = 361, performance = 1.00)
no permit needed or only notification needed -> objection decision no permit required received (frequency = 1, performance = 1.00)
no permit needed or only notification needed -> objection lodged against decision (frequency = 1, performance = 1.00)
no permit needed or only notification needed -> phase asked additional information (frequency = 1, performance = 1.00)
no permit needed or only notification needed -> phased application (frequency = 1, performance = 1.00)
no permit needed or only notification needed -> send procedure confirmation (frequency = 1, performance = 1.00)
no permit required for application -> phased application (frequency = 1, performance = 1.00)
objection decision no permit required received -> phase activity no permit required (frequency = 1, performance = 1.00)
objection lodged against decision -> objections and preliminary injunction in system (frequency = 1, performance = 1.00)
objection lodged against decision -> phase additional information received (frequency = 1, performance = 1.00)
objection subcase completed -> phase appeal lodged (frequency = 1, performance = 1.00)
objection to permanent suspension received -> enter senddate decision permanent suspension (frequency = 1, performance = 218115.00)
objection to permanent suspension received -> phase archived case (frequency = 1, performance = 1.00)
objection to permanent suspension received -> phase permanently suspended (frequency = 1, performance = 1.00)
objection to permanent suspension received -> read publication date field (frequency = 1, performance = 2.00)
objection to permanent suspension received -> stop procedure after permanent suspension (frequency = 1, performance = 98083.00)
objections and preliminary injunction in system -> phase appeal lodged (frequency = 1, performance = 1.00)
objections and preliminary injunction in system -> phase objection filed (frequency = 1, performance = 1.00)
open draft decision for inspection -> perspective from GS or VROM received (frequency = 1, performance = 1.00)
open draft decision for inspection -> phase decision sent (frequency = 1, performance = 1.00)
open draft decision for inspection -> publish official draft decision (frequency = 1, performance = 22.00)
partly permit application -> creating environmental permit decision (frequency = 1, performance = 22.00)
perspective from GS or VROM received -> perspective regarding draft founded (frequency = 1, performance = 1.00)
perspective from GS or VROM received -> phase perspective submitted (frequency = 1, performance = 1.00)
perspective on draft decision environmental permit received -> coordination of application (frequency = 1, performance = 2332794.00)
perspective on draft decision environmental permit received -> phase additional information received (frequency = 1, performance = 1.00)
perspective on draft decision environmental permit received -> phase advice known (frequency = 1, performance = 1.00)
perspective on draft decision environmental permit received -> phase draft decision made (frequency = 1, performance = 1.00)
perspective on draft decision environmental permit received -> record date of decision environmental permit (frequency = 1, performance = 1.00)
perspective regarding draft founded -> phase advice known (frequency = 1, performance = 1.00)
perspective regarding draft founded -> phase decision taken (frequency = 1, performance = 1.00)
perspective regarding draft founded -> phase perspective submitted (frequency = 1, performance = 1.00)
phase activity no permit required -> phase archived case (frequency = 1, performance = 1.00)
phase additional information received -> record date of decision environmental permit (frequency = 1, performance = 816082.00)
phase additional information received -> register number of days extension period (frequency = 1, performance = 42.00)
phase additional information received -> request complete_09pqnAH_20121018 211228000000 (frequency = 1, performance = 3294241.00)
phase additional information received -> request complete_09zLQNT_20120917 171358000000 (frequency = 1, performance = 338487.00)
phase additional information received -> request complete_45lEofX_20120918 235216000000 (frequency = 1, performance = 90004.00)
phase additional information received -> request complete_59qqbcT_20130228 223247000000 (frequency = 1, performance = 13.00)
phase additional information received -> request complete_71pHKht_20130322 184635000000 (frequency = 1, performance = 8.00)
phase additional information received -> request complete_85isdcY_20120917 181541000000 (frequency = 1, performance = 1104576.00)
phase additional information received -> request complete_89AEZMI_20130329 000611000000 (frequency = 1, performance = 2353959.00)
phase advice known -> decision extension procedure term irrevocable (frequency = 1, performance = 16.00)
phase advice known -> enter date decision procedure term extension (frequency = 1, performance = 2156588.00)
phase advice known -> enter date decision suspension (frequency = 1, performance = 34.00)
phase advice known -> enter senddate decision environmental permit_20DxoUP_20110128 080001000000 (frequency = 1, performance = 303616.00)
phase advice known -> enter senddate decision environmental permit_44fnKlY_20110322 080001000000 (frequency = 1, performance = 3572715.00)
phase advice known -> enter senddate decision environmental permit_91JCDeA_20110621 070006000000 (frequency = 1, performance = 376585.00)
phase advice known -> enter senddate decision environmental permit_94cNEgk_20101126 080001000000 (frequency = 1, performance = 210024.00)
phase advice known -> enter senddate decision procedure term extension (frequency = 1, performance = 2057034.00)
phase advice known -> enter senddate decision suspension (frequency = 1, performance = 67.00)
phase advice known -> enter senddate procedure term extension (frequency = 1, performance = 51.00)
phase advice known -> investigate BAG objects (frequency = 1, performance = 9.00)
phase advice known -> message terminate request (frequency = 1, performance = 1109628.00)
phase advice known -> partly permit application (frequency = 1, performance = 298.00)
phase advice known -> phase updated plan received (frequency = 1, performance = 1.00)
phase advice known -> procedure change_09IYjsG_20141001 070009000000 (frequency = 1, performance = 1.00)
phase advice known -> procedure change_09YYyfD_20150127 080012000000 (frequency = 1, performance = 1.00)
phase advice known -> procedure change_67BpwsZ_20120329 234335000000 (frequency = 1, performance = 1.00)
phase advice known -> procedure change_90bLfQY_20140605 070007000000 (frequency = 1, performance = 1.00)
phase advice known -> procedure change_92UeKIY_20150106 080127000000 (frequency = 1, performance = 1.00)
phase advice known -> procedure change_99mzeSB_20140514 070013000000 (frequency = 1, performance = 1.00)
phase advice known -> refusal after suspension (frequency = 1, performance = 1.00)
phase advice known -> send design decision to stakeholders (frequency = 1, performance = 14845003.00)
phase advice known -> set decision status (frequency = 1, performance = 1.00)
phase appeal lodged -> phase objection filed (frequency = 1, performance = 1.00)
phase appeal lodged -> request for preliminary injunction received (frequency = 1, performance = 1.00)
phase application received -> create procedure confirmation (frequency = 1, performance = 259143.00)
phase application received -> enter senddate decision procedure term extension (frequency = 1, performance = 3595655.00)
phase application received -> message terminate request (frequency = 1, performance = 26461861.00)
phase application received -> no permit needed or only notification needed (frequency = 1, performance = 206.00)
phase application received -> phase archived case (frequency = 1, performance = 1.00)
phase application received -> phase asked additional information (frequency = 1, performance = 1.00)
phase application received -> procedure change_07XDlBH_20130829 070045000000 (frequency = 1, performance = 1.00)
phase application received -> procedure change_11dfZsP_20131216 080051000000 (frequency = 1, performance = 1.00)
phase application received -> procedure change_23JUuXU_20140522 070142000000 (frequency = 1, performance = 1.00)
phase application received -> procedure change_26gHByq_20130523 070206000000 (frequency = 1, performance = 1.00)
phase application received -> procedure change_43YtoqK_20130926 070039000000 (frequency = 1, performance = 1.00)
phase application received -> procedure change_44KYvDm_20140403 070052000000 (frequency = 1, performance = 1.00)
phase application received -> procedure change_55czrgx_20140210 080012000000 (frequency = 1, performance = 1.00)
phase application received -> procedure change_55dgmaT_20140102 080017000000 (frequency = 1, performance = 1.00)
phase application received -> procedure change_61qscqS_20140512 070032000000 (frequency = 1, performance = 1.00)
phase application received -> procedure change_64eElgQ_20140616 070107000000 (frequency = 1, performance = 1.00)
phase application received -> procedure change_65pzdKL_20140929 070106000000 (frequency = 1, performance = 1.00)
phase application received -> procedure change_66kThYk_20131114 080058000000 (frequency = 1, performance = 1.00)
phase application received -> procedure change_80tywou_20131220 080120000000 (frequency = 1, performance = 1.00)
phase application received -> procedure change_88RWodM_20140512 070019000000 (frequency = 1, performance = 1.00)
phase application received -> procedure change_89HIOLY_20140724 070015000000 (frequency = 1, performance = 1.00)
phase application received -> register submission date request_12PsKJh_20130613 070118000000 (frequency = 1, performance = 1.00)
phase application received -> register submission date request_17LrYVk_20130906 070009000000 (frequency = 1, performance = 1.00)
phase application received -> register submission date request_26DuWaA_20140203 080027000000 (frequency = 1, performance = 1.00)
phase application received -> register submission date request_45rSKfo_20140227 080053000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_00pQyql_20120821 182856000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_01uPBqC_20120216 194304000000 (frequency = 1, performance = 355.00)
phase application received -> send confirmation receipt_02FScBC_20120206 205415000000 (frequency = 1, performance = 184.00)
phase application received -> send confirmation receipt_04JHztf_20120906 162153000000 (frequency = 1, performance = 834.00)
phase application received -> send confirmation receipt_04iqdSl_20121012 163308000000 (frequency = 1, performance = 210.00)
phase application received -> send confirmation receipt_05URxXZ_20130415 165956000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_06djKvA_20121022 173520000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_10aQxmC_20121011 161536000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_10jyGtd_20120207 195137000000 (frequency = 1, performance = 115.00)
phase application received -> send confirmation receipt_12YJMzN_20130326 211830000000 (frequency = 1, performance = 93.00)
phase application received -> send confirmation receipt_12pEqwt_20130422 200450000000 (frequency = 1, performance = 170.00)
phase application received -> send confirmation receipt_13VTZzf_20140828 070008000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_13YmKRa_20130206 181721000000 (frequency = 1, performance = 4.00)
phase application received -> send confirmation receipt_16hqyIO_20120913 202158000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_16nYEsx_20111219 215712000000 (frequency = 1, performance = 145.00)
phase application received -> send confirmation receipt_19wHxUs_20121203 204125000000 (frequency = 1, performance = 212.00)
phase application received -> send confirmation receipt_20CXHoQ_20120314 180234000000 (frequency = 1, performance = 6.00)
phase application received -> send confirmation receipt_22GcptL_20111223 173027000000 (frequency = 1, performance = 165.00)
phase application received -> send confirmation receipt_22lMULE_20120809 162641000000 (frequency = 1, performance = 108.00)
phase application received -> send confirmation receipt_23TfLGv_20120709 220701000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_23lQYCi_20130206 173746000000 (frequency = 1, performance = 457.00)
phase application received -> send confirmation receipt_23xFXZB_20121018 170906000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_27TQiXt_20120830 182732000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_28LRyWG_20130228 195415000000 (frequency = 1, performance = 103.00)
phase application received -> send confirmation receipt_28sptFf_20130325 173146000000 (frequency = 1, performance = 213.00)
phase application received -> send confirmation receipt_29mBYxh_20121203 205853000000 (frequency = 1, performance = 178.00)
phase application received -> send confirmation receipt_30gZVms_20120716 181110000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_30iVKDp_20121015 155823000000 (frequency = 1, performance = 124.00)
phase application received -> send confirmation receipt_38Fabef_20120124 191853000000 (frequency = 1, performance = 817.00)
phase application received -> send confirmation receipt_41dbrqP_20121213 204959000000 (frequency = 1, performance = 4.00)
phase application received -> send confirmation receipt_42XXDeS_20121011 153921000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_42vauzd_20120209 180110000000 (frequency = 1, performance = 15.00)
phase application received -> send confirmation receipt_44Abaxk_20120126 194448000000 (frequency = 1, performance = 415.00)
phase application received -> send confirmation receipt_44joRGT_20130207 232453000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_45oxXNu_20121122 211150000000 (frequency = 1, performance = 1060.00)
phase application received -> send confirmation receipt_46Mctqk_20111028 231521000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_49fLbSi_20120920 174825000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_50xlOwc_20130328 200909000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_51kaiSK_20120706 165018000000 (frequency = 1, performance = 208.00)
phase application received -> send confirmation receipt_52QcESt_20120712 225135000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_54TRPOd_20120709 200010000000 (frequency = 1, performance = 112.00)
phase application received -> send confirmation receipt_58WTGYq_20120109 180019000000 (frequency = 1, performance = 181.00)
phase application received -> send confirmation receipt_59bcmmu_20120724 212258000000 (frequency = 1, performance = 168.00)
phase application received -> send confirmation receipt_59nApLx_20120314 194104000000 (frequency = 1, performance = 7.00)
phase application received -> send confirmation receipt_60eKulN_20120712 214010000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_65EUGmS_20120213 175644000000 (frequency = 1, performance = 252.00)
phase application received -> send confirmation receipt_65JpoHf_20120913 175852000000 (frequency = 1, performance = 5.00)
phase application received -> send confirmation receipt_67drLqW_20111222 170740000000 (frequency = 1, performance = 134.00)
phase application received -> send confirmation receipt_68MlxTP_20121115 190214000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_71mMcFI_20120305 195615000000 (frequency = 1, performance = 7.00)
phase application received -> send confirmation receipt_71njlve_20120210 172646000000 (frequency = 1, performance = 183.00)
phase application received -> send confirmation receipt_72SxNdg_20130408 212838000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_73PCGsX_20120925 223014000000 (frequency = 1, performance = 4922.00)
phase application received -> send confirmation receipt_73fQmqD_20120716 192832000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_74dHqbW_20120913 195028000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_75RlNpW_20120720 192855000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_79SExIU_20130321 221535000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_81Wcnmj_20121127 213531000000 (frequency = 1, performance = 170.00)
phase application received -> send confirmation receipt_83Gjsro_20130103 195207000000 (frequency = 1, performance = 333.00)
phase application received -> send confirmation receipt_83mgJaT_20120814 185506000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_84LbzCX_20130128 223845000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_84kTGCl_20120724 202704000000 (frequency = 1, performance = 4.00)
phase application received -> send confirmation receipt_84uuhZe_20141217 080105000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_85Ovxza_20120208 001553000000 (frequency = 1, performance = 72.00)
phase application received -> send confirmation receipt_87pOyTT_20130328 205659000000 (frequency = 1, performance = 32.00)
phase application received -> send confirmation receipt_88rghOK_20130402 213615000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_90vqZCr_20150119 080053000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_91OCWJZ_20130314 191947000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_92ApPym_20130201 160723000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_92yuMPk_20130108 230145000000 (frequency = 1, performance = 5.00)
phase application received -> send confirmation receipt_93lKpvX_20121115 202334000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_94AjdZK_20120117 181949000000 (frequency = 1, performance = 6.00)
phase application received -> send confirmation receipt_96HEUMj_20120910 153353000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_96mgzFq_20130103 223152000000 (frequency = 1, performance = 1.00)
phase application received -> send confirmation receipt_98jsTnc_20121015 185500000000 (frequency = 1, performance = 1.00)
phase application receptive -> phase advice known (frequency = 1, performance = 15.00)
phase application receptive -> procedure change_00fJnXW_20150203 080043000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_10Bqwri_20141204 080045000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_10beJup_20140523 070007000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_11IxtAI_20110818 212728000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_12ukoWf_20140416 070010000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_13TPwWe_20141008 070038000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_18ettyH_20130813 070024000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_19LONhp_20140219 080055000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_23Wkmet_20131030 080007000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_27tsYNO_20140214 080022000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_29PbSnn_20140227 080030000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_31pVzfg_20131014 070105000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_32fhKBD_20130627 070103000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_39BoZQJ_20130523 070048000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_39kMnbH_20130624 070032000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_45HEZli_20141001 070107000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_47gohfc_20140501 070056000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_49cDJOK_20141014 070309000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_53RMcDY_20150203 080101000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_54zhRFJ_20130613 070037000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_55hoUay_20141215 080026000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_59VUCiX_20141014 070158000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_61kWILr_20140630 070030000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_63KtteB_20141120 080013000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_66LjCrY_20130926 070014000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_70yAxqz_20131015 070321000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_80ApQlR_20141014 070011000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_80WiSge_20141001 070124000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_87ywQWZ_20141215 080030000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_91Csbxk_20131112 080011000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_91HBbWR_20140702 070014000000 (frequency = 1, performance = 1.00)
phase application receptive -> procedure change_91dpBeR_20141203 080050000000 (frequency = 1, performance = 1.00)
phase application receptive -> register number of days extension period (frequency = 1, performance = 678410.00)
phase application receptive -> request complete_20MlmOH_20120301 233629000000 (frequency = 1, performance = 1.00)
phase application receptive -> request complete_46pvMnc_20111028 180338000000 (frequency = 1, performance = 1.00)
phase application receptive -> request complete_63cweFN_20141029 080128000000 (frequency = 1, performance = 1.00)
phase application receptive -> request complete_70eSLPX_20140930 070003000000 (frequency = 1, performance = 1.00)
phase application receptive -> send letter in progress (frequency = 1, performance = 1.00)
phase application receptive -> send procedure confirmation (frequency = 1, performance = 1182171.00)
phase archived case -> phase asked additional information (frequency = 1, performance = 1.00)
phase asked additional information -> article 34  WABO applies (frequency = 1, performance = 518342.00)
phase asked additional information -> create cover letter extend procedure term (frequency = 1, performance = 3887961.00)
phase asked additional information -> decision date prior to decision (frequency = 1, performance = 4319994.00)
phase asked additional information -> enter senddate decision suspension (frequency = 1, performance = 3153831.00)
phase asked additional information -> enter senddate retrieve missing data (frequency = 1, performance = 86357.00)
phase asked additional information -> phase additional information received (frequency = 1, performance = 4924782.00)
phase asked additional information -> phase case handled (frequency = 1, performance = 1.00)
phase asked additional information -> phase procedure extended (frequency = 1, performance = 1.00)
phase asked additional information -> phased application (frequency = 1, performance = 1.00)
phase asked additional information -> procedure change_08kYIzj_20140506 070023000000 (frequency = 1, performance = 1.00)
phase asked additional information -> procedure change_15cXjrT_20130712 070005000000 (frequency = 1, performance = 1.00)
phase asked additional information -> procedure change_31cXahJ_20130618 070015000000 (frequency = 1, performance = 1.00)
phase asked additional information -> procedure change_36AHUkm_20130521 070128000000 (frequency = 1, performance = 1.00)
phase asked additional information -> procedure change_45GKxVf_20140423 070004000000 (frequency = 1, performance = 1.00)
phase asked additional information -> procedure change_45SolxZ_20130611 070016000000 (frequency = 1, performance = 1.00)
phase asked additional information -> procedure change_61KTmff_20140401 070050000000 (frequency = 1, performance = 1.00)
phase asked additional information -> procedure change_61rtFgU_20130621 070034000000 (frequency = 1, performance = 1.00)
phase asked additional information -> procedure change_63WLOqy_20140526 070013000000 (frequency = 1, performance = 1.00)
phase asked additional information -> procedure change_76ViqAf_20141230 080005000000 (frequency = 1, performance = 1.00)
phase asked additional information -> procedure change_78XNBve_20140625 070033000000 (frequency = 1, performance = 1.00)
phase asked additional information -> procedure change_81GaZMS_20130514 070025000000 (frequency = 1, performance = 1.00)
phase asked additional information -> procedure change_91pEPJP_20131014 070041000000 (frequency = 1, performance = 1.00)
phase asked additional information -> procedure change_91xkZQd_20140811 070053000000 (frequency = 1, performance = 1.00)
phase asked additional information -> procedure change_92paiNL_20140402 070005000000 (frequency = 1, performance = 1.00)
phase asked additional information -> procedure change_94wIAVM_20131025 070043000000 (frequency = 1, performance = 1.00)
phase asked additional information -> procedure change_95KxQXS_20140625 070026000000 (frequency = 1, performance = 1.00)
phase asked additional information -> record date of decision environmental permit (frequency = 1, performance = 1172517.00)
phase asked additional information -> request complete_06qUHPP_20140411 070059000000 (frequency = 1, performance = 1.00)
phase asked additional information -> request complete_31iFOvx_20140128 080003000000 (frequency = 1, performance = 1.00)
phase asked additional information -> request complete_78UQaLV_20140114 080048000000 (frequency = 1, performance = 1.00)
phase case handled -> phase only notification required (frequency = 1, performance = 1.00)
phase concept decision ready -> phase concept draft decision ready (frequency = 1, performance = 1.00)
phase concept draft decision ready -> create publication document (frequency = 1, performance = 2291494.00)
phase concept draft decision ready -> enter senddate decision environmental permit (frequency = 1, performance = 6888057.00)
phase concept draft decision ready -> enter senddate procedure confirmation (frequency = 1, performance = 29212.00)
phase concept draft decision ready -> entering senddate draft decision environmental permit (frequency = 1, performance = 394453.00)
phase concept draft decision ready -> open draft decision for inspection (frequency = 1, performance = 35.00)
phase concept draft decision ready -> phase advice known (frequency = 1, performance = 4743.00)
phase concept draft decision ready -> phase decision taken (frequency = 1, performance = 4828182.00)
phase concept draft decision ready -> procedure change_50Iccio_20141118 080023000000 (frequency = 1, performance = 1.00)
phase concept draft decision ready -> procedure change_91REvCw_20131118 080101000000 (frequency = 1, performance = 1.00)
phase concept draft decision ready -> record date of decision environmental permit (frequency = 1, performance = 6359171.00)
phase concept draft decision ready -> request complete (frequency = 1, performance = 1705520.00)
phase concept draft decision ready -> set decision status (frequency = 1, performance = 1.00)
phase decision ready -> enter senddate decision (frequency = 1, performance = 46480.00)
phase decision ready -> phase draft decision made (frequency = 1, performance = 1.00)
phase decision ready -> phase procedure resumed (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_08reHeG_20150119 080011000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_13pmNiE_20130508 070045000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_16oczUT_20131213 080014000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_26eFYRH_20130702 070052000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_26qWJbG_20140714 070034000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_30EXULw_20140314 080024000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_39NERKF_20140808 070017000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_44tueyb_20140522 070101000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_49TLZhG_20130617 070049000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_50MaCqZ_20131125 080046000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_53dwLOe_20141105 080054000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_55nLEuw_20140506 070042000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_61CQFcX_20140331 070028000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_62jAXVu_20150225 080104000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_65lrOwJ_20140707 070122000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_66MNttM_20140520 070049000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_67pdOZr_20150115 080027000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_69SKwOk_20131101 080059000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_71xKdFK_20150224 080020000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_72MVGcA_20140625 070049000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_86DEgvr_20141105 080027000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_94WliMx_20140113 080016000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_95LgMZv_20130508 070017000000 (frequency = 1, performance = 1.00)
phase decision ready -> procedure change_99BBUYZ_20150113 080103000000 (frequency = 1, performance = 1.00)
phase decision ready -> subcases completed present decision (frequency = 1, performance = 1.00)
phase decision sent -> create publication document (frequency = 1, performance = 3.00)
phase decision sent -> enter senddate decision environmental permit_01iJiSZ_20121009 070004000000 (frequency = 1, performance = 49324.00)
phase decision sent -> enter senddate decision environmental permit_04EyOUM_20121204 080002000000 (frequency = 1, performance = 310704.00)
phase decision sent -> enter senddate decision environmental permit_15nxula_20120820 070001000000 (frequency = 1, performance = 214445.00)
phase decision sent -> enter senddate decision environmental permit_21AxszK_20130108 080001000000 (frequency = 1, performance = 44500.00)
phase decision sent -> enter senddate decision environmental permit_29jSrOp_20121009 070001000000 (frequency = 1, performance = 52099.00)
phase decision sent -> enter senddate decision environmental permit_47bJivv_20120626 070003000000 (frequency = 1, performance = 310510.00)
phase decision sent -> enter senddate decision environmental permit_52gWYAs_20130305 080001000000 (frequency = 1, performance = 55829.00)
phase decision sent -> enter senddate decision environmental permit_57AFPav_20130118 080001000000 (frequency = 1, performance = 40301.00)
phase decision sent -> enter senddate decision environmental permit_68pDazw_20121120 080001000000 (frequency = 1, performance = 300995.00)
phase decision sent -> enter senddate decision environmental permit_75mujRt_20120607 070007000000 (frequency = 1, performance = 222676.00)
phase decision sent -> enter senddate decision environmental permit_85Kagyt_20121112 080002000000 (frequency = 1, performance = 226783.00)
phase decision sent -> enter senddate decision environmental permit_89QHSBA_20121227 080001000000 (frequency = 1, performance = 482519.00)
phase decision sent -> phase decision suspended (frequency = 1, performance = 1.00)
phase decision sent -> register deadline (frequency = 1, performance = 7134797.00)
phase decision suspended -> enter enddate suspension art. 33 WABO (frequency = 1, performance = 226639.00)
phase decision suspended -> enter senddate decision suspension (frequency = 1, performance = 8.00)
phase decision suspended -> phase decision taken (frequency = 1, performance = 1.00)
phase decision suspended -> procedure change_85VfsuR_20130514 070115000000 (frequency = 1, performance = 1.00)
phase decision suspended -> record date of decision environmental permit (frequency = 1, performance = 6113.00)
phase decision suspended -> set decision phase: suspension cancelled (frequency = 1, performance = 2901486.00)
phase decision taken -> creating cover letter decision (frequency = 1, performance = 432017.00)
phase decision taken -> enter senddate decision environmental permit_28ExPuM_20121116 202325000000 (frequency = 1, performance = 62.00)
phase decision taken -> enter senddate decision environmental permit_41KpRiD_20130425 205138000000 (frequency = 1, performance = 4129.00)
phase decision taken -> enter senddate decision environmental permit_42xSUPq_20120717 070001000000 (frequency = 1, performance = 25302.00)
phase decision taken -> enter senddate decision environmental permit_57ZyIGN_20120817 200016000000 (frequency = 1, performance = 230.00)
phase decision taken -> enter senddate decision environmental permit_60lMZNA_20120913 215635000000 (frequency = 1, performance = 741.00)
phase decision taken -> enter senddate decision environmental permit_83GyjDh_20130107 193820000000 (frequency = 1, performance = 70.00)
phase decision taken -> enter senddate decision environmental permit_97mKVOI_20111017 070001000000 (frequency = 1, performance = 552362.00)
phase decision taken -> phase decision sent (frequency = 1, performance = 85.00)
phase decision taken -> phase procedure extended (frequency = 1, performance = 1.00)
phase decision taken -> phase procedure term resumed (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_00zCdkb_20140515 070108000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_02vQaLB_20130927 070103000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_09WBPXN_20140430 070019000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_11XDMtO_20131004 070104000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_18wOLxB_20130607 070209000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_21lypxz_20140224 080042000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_22sOfRL_20140623 070056000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_27VMbOB_20140106 080102000000 (frequency = 1, performance = 1.00)
phase decision taken -> procedure change_31lesuK_20140204 080050000000 (frequency = 1, performance = 1.00)
