Case,Timestamp,Activity,Activity_fixed,Resource,label
2334,2024-08-26 19:59:01.800,Bring food,Bring food,Cook helper-000003,
2334,2024-08-26 20:08:41.650,Deliver to customer,Deliver to customer,Waiter-000005,
2334,2024-08-26 20:11:39.365,EVENT 8 END,EVENT 8 END,,
2335,2024-08-15 01:45:00.000,Take order,Take order,Waiter-000005,
2335,2024-08-15 01:45:00.000,start,start,,
2335,2024-08-15 01:45:28.707,Review order,Review order,Waiter-000004,
2335,2024-08-15 01:46:46.370,Prepare starter,Prepare starter,Cook helper-000001,
2335,2024-08-15 01:46:46.370,prepare drinks,prepare drinks,Barman-000001,
2335,2024-08-15 01:50:15.638,Bring drinks,Bring drinks,Barman-000002,
2335,2024-08-15 01:57:56.601,Review drinks,Review drinks,Waiter-000001,
2335,2024-08-20 22:34:33.483,Prepare main course,Prepare main course,Cook-000003,
2335,2024-08-26 18:59:53.113,Signal food complete,Signal food complete,Cook-000003,
2335,2024-08-26 19:29:32.033,Bring food,Bring food,Cook helper-000003,
2335,2024-08-26 19:30:41.965,Deliver to customer,Deliver to customer,Waiter-000005,
2335,2024-08-26 19:33:17.721,EVENT 8 END,EVENT 8 END,,
2336,2024-08-15 02:00:00.000,start,start,,
2336,2024-08-15 18:00:00.000,Take order,Take order,Waiter-000002,
2336,2024-08-15 18:00:42.278,Review order,Review order,Waiter-000005,
2336,2024-08-15 18:01:57.140,Prepare starter,Prepare starter,Cook helper-000003,
2336,2024-08-15 18:01:57.140,prepare drinks,prepare drinks,Barman-000003,
2336,2024-08-15 18:02:03.803,Bring drinks,Bring drinks,Barman-000001,
2336,2024-08-15 18:06:56.470,Review drinks,Review drinks,Waiter-000004,
2336,2024-08-15 18:09:35.089,prepare drinks,prepare drinks,Barman-000002,
2336,2024-08-15 18:29:14.616,Bring drinks,Bring drinks,Barman-000003,
2336,2024-08-15 18:30:20.782,Review drinks,Review drinks,Waiter-000004,
2336,2024-08-20 22:51:29.164,Prepare main course,Prepare main course,Cook-000002,
2336,2024-08-26 21:09:57.790,Signal food complete,Signal food complete,Cook-000003,
2336,2024-08-26 23:02:07.085,Bring food,Bring food,Cook helper-000001,
2336,2024-08-26 23:04:51.212,Deliver to customer,Deliver to customer,Waiter-000003,
2336,2024-08-26 23:08:38.218,EVENT 8 END,EVENT 8 END,,
2337,2024-08-15 18:15:00.000,Take order,Take order,Waiter-000003,
2337,2024-08-15 18:15:00.000,start,start,,
2337,2024-08-15 18:17:26.580,Review order,Review order,Waiter-000001,
2337,2024-08-15 18:19:31.948,prepare drinks,prepare drinks,Barman-000003,
2337,2024-08-15 18:21:57.493,Bring drinks,Bring drinks,Barman-000001,
2337,2024-08-15 18:22:53.944,Review drinks,Review drinks,Waiter-000002,
2337,2024-08-15 18:24:56.179,prepare drinks,prepare drinks,Barman-000003,
2337,2024-08-15 18:27:59.243,Bring drinks,Bring drinks,Barman-000001,
2337,2024-08-15 18:32:34.585,Review drinks,Review drinks,Waiter-000001,
2337,2024-08-15 18:34:44.666,prepare drinks,prepare drinks,Barman-000003,
2337,2024-08-15 18:42:04.444,Bring drinks,Bring drinks,Barman-000001,
2337,2024-08-15 18:42:09.898,Review drinks,Review drinks,Waiter-000004,
2337,2024-08-15 18:43:38.536,prepare drinks,prepare drinks,Barman-000001,
2337,2024-08-15 18:54:35.010,Bring drinks,Bring drinks,Barman-000003,
2337,2024-08-15 18:58:27.001,Review drinks,Review drinks,Waiter-000004,
2337,2024-08-20 22:53:26.226,Prepare main course,Prepare main course,Cook-000003,
2337,2024-08-26 19:28:49.395,Signal food complete,Signal food complete,Cook-000001,
2337,2024-08-26 20:44:50.218,Bring food,Bring food,Cook helper-000001,
2337,2024-08-26 20:54:12.827,Deliver to customer,Deliver to customer,Waiter-000001,
2337,2024-08-26 20:55:19.421,EVENT 8 END,EVENT 8 END,,
2338,2024-08-15 18:30:00.000,Take order,Take order,Waiter-000005,
2338,2024-08-15 18:30:00.000,start,start,,
2338,2024-08-15 18:33:05.534,Review order,Review order,Waiter-000002,
2338,2024-08-15 18:33:52.793,prepare drinks,prepare drinks,Barman-000002,
2338,2024-08-15 18:43:08.541,Bring drinks,Bring drinks,Barman-000003,
2338,2024-08-15 18:44:11.128,Review drinks,Review drinks,Waiter-000005,
2338,2024-08-20 23:05:58.835,Prepare main course,Prepare main course,Cook-000003,
2338,2024-08-26 19:29:32.033,Signal food complete,Signal food complete,Cook-000003,
2338,2024-08-26 21:09:57.790,Bring food,Bring food,Cook helper-000001,
2338,2024-08-26 21:15:43.611,Deliver to customer,Deliver to customer,Waiter-000003,
2338,2024-08-26 21:16:37.535,EVENT 8 END,EVENT 8 END,,
2340,2024-08-15 19:00:00.000,Take order,Take order,Waiter-000005,
2340,2024-08-15 19:00:00.000,start,start,,
2340,2024-08-15 19:01:07.034,Review order,Review order,Waiter-000003,
2340,2024-08-15 19:02:36.547,Prepare starter,Prepare starter,Cook helper-000001,
2340,2024-08-15 19:02:36.547,prepare drinks,prepare drinks,Barman-000002,
2340,2024-08-15 19:02:42.118,Bring drinks,Bring drinks,Barman-000003,
2340,2024-08-15 19:07:48.795,Review drinks,Review drinks,Waiter-000004,
2340,2024-08-20 23:27:26.377,Prepare main course,Prepare main course,Cook-000003,
2340,2024-08-26 20:53:44.530,Signal food complete,Signal food complete,Cook-000001,
2340,2024-08-26 21:10:21.007,Bring food,Bring food,Cook helper-000002,
2340,2024-08-26 21:14:18.320,Deliver to customer,Deliver to customer,Waiter-000002,
2340,2024-08-26 21:14:21.291,EVENT 8 END,EVENT 8 END,,
2341,2024-08-15 19:15:00.000,Take order,Take order,Waiter-000005,
2341,2024-08-15 19:15:00.000,start,start,,
2341,2024-08-15 19:17:29.788,Review order,Review order,Waiter-000001,
2341,2024-08-15 19:17:36.168,Prepare starter,Prepare starter,Cook helper-000002,
2341,2024-08-15 19:17:36.168,prepare drinks,prepare drinks,Barman-000001,
2341,2024-08-15 19:17:50.524,Bring drinks,Bring drinks,Barman-000002,
2341,2024-08-15 19:20:59.636,Review drinks,Review drinks,Waiter-000003,
2341,2024-08-20 23:29:40.218,Prepare main course,Prepare main course,Cook-000001,
2341,2024-08-26 21:10:21.007,Signal food complete,Signal food complete,Cook-000001,
2341,2024-08-26 21:47:32.047,Bring food,Bring food,Cook helper-000002,
2341,2024-08-26 21:51:52.116,Deliver to customer,Deliver to customer,Waiter-000004,
2341,2024-08-26 21:54:05.697,EVENT 8 END,EVENT 8 END,,
2343,2024-08-15 19:45:00.000,Take order,Take order,Waiter-000005,
2343,2024-08-15 19:45:00.000,start,start,,
2343,2024-08-15 19:47:07.247,Review order,Review order,Waiter-000003,
2343,2024-08-15 19:47:28.866,Prepare starter,Prepare starter,Cook helper-000002,
2343,2024-08-15 19:47:28.866,prepare drinks,prepare drinks,Barman-000002,
2343,2024-08-15 19:50:05.191,Bring drinks,Bring drinks,Barman-000003,
2343,2024-08-15 19:52:18.273,Review drinks,Review drinks,Waiter-000001,
2343,2024-08-15 19:53:29.010,prepare drinks,prepare drinks,Barman-000001,
2343,2024-08-15 20:03:09.213,Bring drinks,Bring drinks,Barman-000003,
2343,2024-08-15 20:04:30.865,Review drinks,Review drinks,Waiter-000003,
2343,2024-08-21 00:01:26.952,Prepare main course,Prepare main course,Cook-000001,
2343,2024-08-26 21:47:32.047,Signal food complete,Signal food complete,Cook-000001,
2343,2024-08-26 22:27:50.607,Bring food,Bring food,Cook helper-000001,
2343,2024-08-26 22:29:06.586,Deliver to customer,Deliver to customer,Waiter-000003,
2343,2024-08-26 22:29:07.303,EVENT 8 END,EVENT 8 END,,
2345,2024-08-15 20:15:00.000,Take order,Take order,Waiter-000002,
2345,2024-08-15 20:15:00.000,start,start,,
2345,2024-08-15 20:17:41.688,Review order,Review order,Waiter-000005,
2345,2024-08-15 20:18:10.870,Prepare starter,Prepare starter,Cook helper-000002,
2345,2024-08-15 20:18:10.870,prepare drinks,prepare drinks,Barman-000002,
2345,2024-08-15 20:27:16.598,Bring drinks,Bring drinks,Barman-000003,
2345,2024-08-15 20:32:26.226,Review drinks,Review drinks,Waiter-000001,
2345,2024-08-21 00:19:20.881,Prepare main course,Prepare main course,Cook-000002,
2345,2024-08-26 23:14:08.525,Signal food complete,Signal food complete,Cook-000001,
2345,2024-08-26 23:25:25.464,Bring food,Bring food,Cook helper-000002,
2345,2024-08-26 23:29:39.148,Deliver to customer,Deliver to customer,Waiter-000005,
2345,2024-08-26 23:30:13.325,EVENT 8 END,EVENT 8 END,,
2346,2024-08-15 20:30:00.000,Take order,Take order,Waiter-000003,
2346,2024-08-15 20:30:00.000,start,start,,
2346,2024-08-15 20:31:14.952,Review order,Review order,Waiter-000004,
2346,2024-08-15 20:31:19.225,Prepare starter,Prepare starter,Cook helper-000003,
2346,2024-08-15 20:31:19.225,prepare drinks,prepare drinks,Barman-000001,
2346,2024-08-15 20:34:10.727,Bring drinks,Bring drinks,Barman-000002,
2346,2024-08-15 20:37:04.848,Review drinks,Review drinks,Waiter-000002,
2346,2024-08-21 00:19:47.185,Prepare main course,Prepare main course,Cook-000001,
2346,2024-08-26 22:51:01.790,Signal food complete,Signal food complete,Cook-000002,
2346,2024-08-26 23:32:35.938,Bring food,Bring food,Cook helper-000003,
2346,2024-08-26 23:36:15.032,Deliver to customer,Deliver to customer,Waiter-000002,
2346,2024-08-26 23:39:35.605,EVENT 8 END,EVENT 8 END,,
2348,2024-08-15 21:00:00.000,Take order,Take order,Waiter-000003,
2348,2024-08-15 21:00:00.000,start,start,,
2348,2024-08-15 21:05:06.739,Review order,Review order,Waiter-000004,
2348,2024-08-15 21:06:50.522,Prepare starter,Prepare starter,Cook helper-000002,
2348,2024-08-15 21:06:50.522,prepare drinks,prepare drinks,Barman-000002,
2348,2024-08-15 21:23:04.087,Bring drinks,Bring drinks,Barman-000001,
2348,2024-08-15 21:26:31.545,Review drinks,Review drinks,Waiter-000004,
2348,2024-08-15 21:27:35.552,prepare drinks,prepare drinks,Barman-000003,
2348,2024-08-15 21:33:50.991,Bring drinks,Bring drinks,Barman-000001,
2348,2024-08-15 21:35:51.222,Review drinks,Review drinks,Waiter-000003,
2348,2024-08-21 00:54:01.519,Signal food complete,Signal food complete,Cook-000002,
2348,2024-08-21 00:56:13.204,Bring food,Bring food,Cook helper-000002,
2348,2024-08-21 00:57:28.435,Deliver to customer,Deliver to customer,Waiter-000005,
2348,2024-08-21 00:58:16.220,EVENT 8 END,EVENT 8 END,,
2349,2024-08-15 21:15:00.000,Take order,Take order,Waiter-000001,
2349,2024-08-15 21:15:00.000,start,start,,
2349,2024-08-15 21:17:01.216,Review order,Review order,Waiter-000002,
2349,2024-08-15 21:18:52.454,prepare drinks,prepare drinks,Barman-000003,
2349,2024-08-15 21:24:46.036,Bring drinks,Bring drinks,Barman-000002,
2349,2024-08-15 21:25:12.129,Review drinks,Review drinks,Waiter-000003,
2349,2024-08-21 00:56:13.204,Prepare main course,Prepare main course,Cook-000002,
2349,2024-08-27 00:19:27.367,Signal food complete,Signal food complete,Cook-000002,
2349,2024-08-27 00:28:21.611,Bring food,Bring food,Cook helper-000003,
2349,2024-08-27 00:50:18.730,Deliver to customer,Deliver to customer,Waiter-000002,
2349,2024-08-27 00:51:33.678,EVENT 8 END,EVENT 8 END,,
2350,2024-08-15 21:30:00.000,Take order,Take order,Waiter-000005,
2350,2024-08-15 21:30:00.000,start,start,,
2350,2024-08-15 21:30:13.378,Review order,Review order,Waiter-000001,
2350,2024-08-15 21:32:36.222,prepare drinks,prepare drinks,Barman-000002,
2350,2024-08-15 21:35:39.792,Bring drinks,Bring drinks,Barman-000003,
2350,2024-08-15 21:46:23.620,Review drinks,Review drinks,Waiter-000001,
2350,2024-08-21 01:01:46.583,Prepare main course,Prepare main course,Cook-000003,
2350,2024-08-27 00:11:37.184,Signal food complete,Signal food complete,Cook-000001,
2350,2024-08-27 00:43:54.283,Bring food,Bring food,Cook helper-000001,
2350,2024-08-27 00:48:47.109,Deliver to customer,Deliver to customer,Waiter-000004,
2350,2024-08-27 00:50:39.387,EVENT 8 END,EVENT 8 END,,
2351,2024-08-15 21:45:00.000,Take order,Take order,Waiter-000005,
2351,2024-08-15 21:45:00.000,start,start,,
2351,2024-08-15 21:46:29.587,Review order,Review order,Waiter-000002,
2351,2024-08-15 21:46:58.748,prepare drinks,prepare drinks,Barman-000002,
2351,2024-08-15 21:55:20.083,Bring drinks,Bring drinks,Barman-000001,
2351,2024-08-15 22:09:17.836,Review drinks,Review drinks,Waiter-000002,
2351,2024-08-15 22:09:29.430,prepare drinks,prepare drinks,Barman-000003,
2351,2024-08-15 22:15:13.990,Bring drinks,Bring drinks,Barman-000002,
2351,2024-08-15 22:15:43.000,Review drinks,Review drinks,Waiter-000004,
2351,2024-08-15 22:16:26.586,prepare drinks,prepare drinks,Barman-000001,
2351,2024-08-15 22:20:59.968,Bring drinks,Bring drinks,Barman-000003,
2351,2024-08-15 22:22:57.739,Review drinks,Review drinks,Waiter-000005,
2351,2024-08-21 01:27:25.920,Prepare main course,Prepare main course,Cook-000003,
2351,2024-08-27 00:28:21.611,Signal food complete,Signal food complete,Cook-000002,
2351,2024-08-27 01:37:56.082,Bring food,Bring food,Cook helper-000002,
2351,2024-08-27 01:40:45.365,Deliver to customer,Deliver to customer,Waiter-000001,
2351,2024-08-27 01:43:41.869,EVENT 8 END,EVENT 8 END,,
2353,2024-08-15 22:15:00.000,Take order,Take order,Waiter-000003,
2353,2024-08-15 22:15:00.000,start,start,,
2353,2024-08-15 22:17:21.808,Review order,Review order,Waiter-000002,
2353,2024-08-15 22:22:04.709,Prepare starter,Prepare starter,Cook helper-000002,
2353,2024-08-15 22:22:04.709,prepare drinks,prepare drinks,Barman-000002,
2353,2024-08-15 22:26:52.497,Bring drinks,Bring drinks,Barman-000001,
2353,2024-08-15 22:37:10.009,Review drinks,Review drinks,Waiter-000002,
2353,2024-08-21 01:35:41.513,Prepare main course,Prepare main course,Cook-000003,
2353,2024-08-27 00:46:24.677,Signal food complete,Signal food complete,Cook-000003,
2353,2024-08-27 00:50:34.707,Bring food,Bring food,Cook helper-000002,
2353,2024-08-27 00:52:20.744,Deliver to customer,Deliver to customer,Waiter-000001,
2353,2024-08-27 00:52:23.539,EVENT 8 END,EVENT 8 END,,
2354,2024-08-15 22:30:00.000,Take order,Take order,Waiter-000003,
2354,2024-08-15 22:30:00.000,start,start,,
2354,2024-08-15 22:32:36.366,Review order,Review order,Waiter-000001,
2354,2024-08-15 22:34:39.687,Prepare starter,Prepare starter,Cook helper-000001,
2354,2024-08-15 22:34:39.687,prepare drinks,prepare drinks,Barman-000003,
2354,2024-08-15 22:39:04.270,Bring drinks,Bring drinks,Barman-000002,
2354,2024-08-15 22:41:04.245,Review drinks,Review drinks,Waiter-000004,
2354,2024-08-21 01:46:08.137,Prepare main course,Prepare main course,Cook-000001,
2354,2024-08-27 01:04:53.066,Signal food complete,Signal food complete,Cook-000001,
2354,2024-08-27 01:16:10.367,Bring food,Bring food,Cook helper-000003,
2354,2024-08-27 01:24:38.828,Deliver to customer,Deliver to customer,Waiter-000003,
2354,2024-08-27 01:24:39.850,EVENT 8 END,EVENT 8 END,,
2355,2024-08-15 22:45:00.000,Take order,Take order,Waiter-000003,
2355,2024-08-15 22:45:00.000,start,start,,
2355,2024-08-15 22:45:21.904,Review order,Review order,Waiter-000002,
2355,2024-08-15 22:45:24.718,prepare drinks,prepare drinks,Barman-000001,
2355,2024-08-15 22:53:08.886,Bring drinks,Bring drinks,Barman-000003,
2355,2024-08-15 22:54:56.606,Review drinks,Review drinks,Waiter-000004,
2355,2024-08-15 22:54:58.402,prepare drinks,prepare drinks,Barman-000002,
2355,2024-08-15 23:18:31.322,Bring drinks,Bring drinks,Barman-000002,
2355,2024-08-15 23:19:03.091,Review drinks,Review drinks,Waiter-000005,
2355,2024-08-15 23:20:54.814,prepare drinks,prepare drinks,Barman-000002,
2355,2024-08-15 23:24:08.790,Bring drinks,Bring drinks,Barman-000001,
2355,2024-08-15 23:26:15.346,Review drinks,Review drinks,Waiter-000001,
2355,2024-08-15 23:27:54.017,prepare drinks,prepare drinks,Barman-000003,
2355,2024-08-15 23:29:00.092,Bring drinks,Bring drinks,Barman-000002,
2355,2024-08-15 23:32:47.251,Review drinks,Review drinks,Waiter-000002,
2355,2024-08-21 18:05:38.289,Prepare main course,Prepare main course,Cook-000001,
2355,2024-08-27 01:09:51.901,Signal food complete,Signal food complete,Cook-000003,
2355,2024-08-27 01:16:46.906,Bring food,Bring food,Cook helper-000002,
2355,2024-08-27 01:20:55.546,Deliver to customer,Deliver to customer,Waiter-000004,
2355,2024-08-27 01:23:58.260,EVENT 8 END,EVENT 8 END,,
2359,2024-08-15 23:45:00.000,Take order,Take order,Waiter-000004,
2359,2024-08-15 23:45:00.000,start,start,,
2359,2024-08-15 23:45:52.471,Review order,Review order,Waiter-000003,
2359,2024-08-15 23:46:30.207,prepare drinks,prepare drinks,Barman-000002,
2359,2024-08-15 23:50:17.991,Bring drinks,Bring drinks,Barman-000001,
2359,2024-08-15 23:55:58.998,Review drinks,Review drinks,Waiter-000005,
2359,2024-08-21 18:42:55.527,Prepare main course,Prepare main course,Cook-000002,
2359,2024-08-27 01:37:56.082,Signal food complete,Signal food complete,Cook-000002,
2359,2024-08-27 01:55:20.045,Bring food,Bring food,Cook helper-000001,
2359,2024-08-27 18:00:28.707,Deliver to customer,Deliver to customer,Waiter-000002,
2359,2024-08-27 18:04:18.941,EVENT 8 END,EVENT 8 END,,
236,2024-05-15 21:00:00.000,Take order,Take order,Waiter-000004,
236,2024-05-15 21:00:00.000,start,start,,
236,2024-05-15 21:00:29.023,Review order,Review order,Waiter-000003,
236,2024-05-15 21:00:45.226,Prepare starter,Prepare starter,Cook helper-000002,
236,2024-05-15 21:00:45.226,prepare drinks,prepare drinks,Barman-000002,
236,2024-05-15 21:02:29.777,Bring drinks,Bring drinks,Barman-000002,
236,2024-05-15 21:04:59.379,Review drinks,Review drinks,Waiter-000004,
236,2024-05-15 21:05:22.032,prepare drinks,prepare drinks,Barman-000002,
236,2024-05-15 21:07:35.515,Bring drinks,Bring drinks,Barman-000001,
236,2024-05-15 21:16:02.090,Review drinks,Review drinks,Waiter-000001,
236,2024-05-15 21:16:43.017,prepare drinks,prepare drinks,Barman-000001,
236,2024-05-15 21:23:27.198,Bring drinks,Bring drinks,Barman-000002,
236,2024-05-15 21:24:07.816,Review drinks,Review drinks,Waiter-000002,
236,2024-05-15 23:42:02.668,Prepare main course,Prepare main course,Cook-000001,
236,2024-05-16 01:31:21.381,Signal food complete,Signal food complete,Cook-000001,
236,2024-05-16 18:14:06.895,Bring food,Bring food,Cook helper-000003,
236,2024-05-16 18:14:35.272,Deliver to customer,Deliver to customer,Waiter-000004,
236,2024-05-16 18:17:45.407,EVENT 8 END,EVENT 8 END,,
2364,2024-08-16 01:00:00.000,Take order,Take order,Waiter-000003,
2364,2024-08-16 01:00:00.000,start,start,,
2364,2024-08-16 01:04:48.588,Review order,Review order,Waiter-000005,
2364,2024-08-16 01:06:08.844,prepare drinks,prepare drinks,Barman-000001,
2364,2024-08-16 01:06:43.452,Bring drinks,Bring drinks,Barman-000001,
2364,2024-08-16 01:07:20.167,Review drinks,Review drinks,Waiter-000004,
2364,2024-08-21 20:16:08.122,Prepare main course,Prepare main course,Cook-000003,
2364,2024-08-27 19:18:41.083,Signal food complete,Signal food complete,Cook-000002,
2364,2024-08-27 19:30:25.556,Bring food,Bring food,Cook helper-000003,
2364,2024-08-27 19:31:15.788,Deliver to customer,Deliver to customer,Waiter-000003,
2364,2024-08-27 19:38:08.393,EVENT 8 END,EVENT 8 END,,
2365,2024-08-16 01:15:00.000,Take order,Take order,Waiter-000005,
2365,2024-08-16 01:15:00.000,start,start,,
2365,2024-08-16 01:16:35.009,Review order,Review order,Waiter-000004,
2365,2024-08-16 01:16:43.093,Prepare starter,Prepare starter,Cook helper-000003,
2365,2024-08-16 01:16:43.093,prepare drinks,prepare drinks,Barman-000001,
2365,2024-08-16 01:28:02.209,Bring drinks,Bring drinks,Barman-000002,
2365,2024-08-16 01:33:15.172,Review drinks,Review drinks,Waiter-000004,
2365,2024-08-21 20:20:20.597,Prepare main course,Prepare main course,Cook-000001,
2365,2024-08-27 18:59:31.630,Signal food complete,Signal food complete,Cook-000001,
2365,2024-08-27 19:05:04.999,Bring food,Bring food,Cook helper-000002,
2365,2024-08-27 19:18:19.654,Deliver to customer,Deliver to customer,Waiter-000003,
2365,2024-08-27 19:19:56.766,EVENT 8 END,EVENT 8 END,,
2366,2024-08-16 01:30:00.000,Take order,Take order,Waiter-000002,
2366,2024-08-16 01:30:00.000,start,start,,
2366,2024-08-16 01:30:37.880,Review order,Review order,Waiter-000005,
2366,2024-08-16 01:32:22.121,prepare drinks,prepare drinks,Barman-000003,
2366,2024-08-16 01:36:11.628,Bring drinks,Bring drinks,Barman-000001,
2366,2024-08-16 01:41:05.076,Review drinks,Review drinks,Waiter-000001,
2366,2024-08-21 21:10:08.667,Prepare main course,Prepare main course,Cook-000002,
2366,2024-08-27 19:16:51.265,Signal food complete,Signal food complete,Cook-000003,
2366,2024-08-27 19:18:32.916,Bring food,Bring food,Cook helper-000003,
2366,2024-08-27 19:20:37.918,Deliver to customer,Deliver to customer,Waiter-000002,
2366,2024-08-27 19:21:30.503,EVENT 8 END,EVENT 8 END,,
2367,2024-08-16 01:45:00.000,Take order,Take order,Waiter-000002,
2367,2024-08-16 01:45:00.000,start,start,,
2367,2024-08-16 01:46:16.800,Review order,Review order,Waiter-000005,
2367,2024-08-16 01:48:17.889,Prepare starter,Prepare starter,Cook helper-000003,
2367,2024-08-16 01:48:17.889,prepare drinks,prepare drinks,Barman-000002,
2367,2024-08-16 01:52:22.245,Bring drinks,Bring drinks,Barman-000003,
2367,2024-08-16 01:55:51.058,Review drinks,Review drinks,Waiter-000003,
2367,2024-08-16 01:57:28.933,prepare drinks,prepare drinks,Barman-000001,
2367,2024-08-16 18:04:52.179,Bring drinks,Bring drinks,Barman-000003,
2367,2024-08-16 18:12:13.398,Review drinks,Review drinks,Waiter-000005,
2367,2024-08-21 21:14:46.426,Prepare main course,Prepare main course,Cook-000002,
2367,2024-08-27 19:21:12.810,Signal food complete,Signal food complete,Cook-000001,
2367,2024-08-27 19:24:03.058,Bring food,Bring food,Cook helper-000002,
2367,2024-08-27 19:28:56.378,Deliver to customer,Deliver to customer,Waiter-000001,
2367,2024-08-27 19:29:01.938,EVENT 8 END,EVENT 8 END,,
2368,2024-08-16 02:00:00.000,start,start,,
2368,2024-08-16 18:00:00.000,Take order,Take order,Waiter-000001,
2368,2024-08-16 18:03:04.792,Review order,Review order,Waiter-000002,
2368,2024-08-16 18:04:44.501,Prepare starter,Prepare starter,Cook helper-000002,
2368,2024-08-16 18:04:44.501,prepare drinks,prepare drinks,Barman-000002,
2368,2024-08-16 18:08:42.855,Bring drinks,Bring drinks,Barman-000001,
2368,2024-08-16 18:15:01.527,Review drinks,Review drinks,Waiter-000003,
2368,2024-08-21 21:42:09.267,Signal food complete,Signal food complete,Cook-000003,
2368,2024-08-21 21:47:10.000,Bring food,Bring food,Cook helper-000002,
2368,2024-08-21 21:47:58.500,Deliver to customer,Deliver to customer,Waiter-000002,
2368,2024-08-21 21:48:06.426,EVENT 8 END,EVENT 8 END,,
2369,2024-08-16 18:15:00.000,Take order,Take order,Waiter-000004,
2369,2024-08-16 18:15:00.000,start,start,,
2369,2024-08-16 18:17:39.764,Review order,Review order,Waiter-000001,
2369,2024-08-16 18:18:03.495,Prepare starter,Prepare starter,Cook helper-000003,
2369,2024-08-16 18:18:03.495,prepare drinks,prepare drinks,Barman-000002,
2369,2024-08-16 18:19:24.790,Bring drinks,Bring drinks,Barman-000003,
2369,2024-08-16 18:26:21.898,Review drinks,Review drinks,Waiter-000002,
2369,2024-08-21 21:47:10.000,Prepare main course,Prepare main course,Cook-000003,
2369,2024-08-27 19:24:03.058,Signal food complete,Signal food complete,Cook-000001,
2369,2024-08-27 19:37:45.263,Bring food,Bring food,Cook helper-000003,
2369,2024-08-27 19:45:07.225,Deliver to customer,Deliver to customer,Waiter-000005,
2369,2024-08-27 19:48:45.397,EVENT 8 END,EVENT 8 END,,
2370,2024-08-16 18:30:00.000,Take order,Take order,Waiter-000005,
2370,2024-08-16 18:30:00.000,start,start,,
2370,2024-08-16 18:34:22.753,Review order,Review order,Waiter-000004,
2370,2024-08-16 18:34:50.644,prepare drinks,prepare drinks,Barman-000001,
2370,2024-08-16 18:38:50.355,Bring drinks,Bring drinks,Barman-000002,
2370,2024-08-16 18:46:56.128,Review drinks,Review drinks,Waiter-000003,
2370,2024-08-16 18:47:13.212,prepare drinks,prepare drinks,Barman-000003,
2370,2024-08-16 18:51:18.451,Bring drinks,Bring drinks,Barman-000001,
2370,2024-08-16 18:52:37.520,Review drinks,Review drinks,Waiter-000001,
2370,2024-08-21 22:08:46.567,Prepare main course,Prepare main course,Cook-000001,
2370,2024-08-27 19:42:17.236,Signal food complete,Signal food complete,Cook-000001,
2370,2024-08-27 20:04:10.130,Bring food,Bring food,Cook helper-000002,
2370,2024-08-27 20:11:55.036,Deliver to customer,Deliver to customer,Waiter-000005,
2370,2024-08-27 20:18:07.097,EVENT 8 END,EVENT 8 END,,
2371,2024-08-16 18:45:00.000,Take order,Take order,Waiter-000002,
2371,2024-08-16 18:45:00.000,start,start,,
2371,2024-08-16 18:48:20.152,Review order,Review order,Waiter-000005,
2371,2024-08-16 18:49:18.636,prepare drinks,prepare drinks,Barman-000001,
2371,2024-08-16 18:50:14.122,Bring drinks,Bring drinks,Barman-000002,
2371,2024-08-16 18:51:50.239,Review drinks,Review drinks,Waiter-000004,
2371,2024-08-21 22:11:23.981,Prepare main course,Prepare main course,Cook-000003,
2371,2024-08-27 20:40:03.234,Signal food complete,Signal food complete,Cook-000001,
2371,2024-08-27 20:50:24.668,Bring food,Bring food,Cook helper-000002,
2371,2024-08-27 20:52:24.652,Deliver to customer,Deliver to customer,Waiter-000004,
2371,2024-08-27 20:53:41.911,EVENT 8 END,EVENT 8 END,,
2372,2024-08-16 19:00:00.000,Take order,Take order,Waiter-000002,
2372,2024-08-16 19:00:00.000,start,start,,
2372,2024-08-16 19:04:35.353,Review order,Review order,Waiter-000005,
2372,2024-08-16 19:07:42.917,prepare drinks,prepare drinks,Barman-000003,
2372,2024-08-16 19:19:56.656,Bring drinks,Bring drinks,Barman-000001,
2372,2024-08-16 19:21:01.909,Review drinks,Review drinks,Waiter-000003,
2372,2024-08-21 22:11:45.478,Prepare main course,Prepare main course,Cook-000001,
2372,2024-08-27 19:44:21.394,Signal food complete,Signal food complete,Cook-000003,
2372,2024-08-27 21:09:42.334,Bring food,Bring food,Cook helper-000001,
2372,2024-08-27 21:12:23.114,Deliver to customer,Deliver to customer,Waiter-000004,
2372,2024-08-27 21:14:48.879,EVENT 8 END,EVENT 8 END,,
2375,2024-08-16 19:45:00.000,Take order,Take order,Waiter-000001,
2375,2024-08-16 19:45:00.000,start,start,,
2375,2024-08-16 19:45:06.353,Review order,Review order,Waiter-000003,
2375,2024-08-16 19:46:32.062,prepare drinks,prepare drinks,Barman-000003,
2375,2024-08-16 19:46:32.723,Bring drinks,Bring drinks,Barman-000001,
2375,2024-08-16 19:48:26.140,Review drinks,Review drinks,Waiter-000004,
2375,2024-08-16 19:49:44.412,prepare drinks,prepare drinks,Barman-000003,
2375,2024-08-16 19:58:18.986,Bring drinks,Bring drinks,Barman-000002,
2375,2024-08-16 20:00:59.774,Review drinks,Review drinks,Waiter-000005,
2375,2024-08-16 20:01:59.121,prepare drinks,prepare drinks,Barman-000003,
2375,2024-08-16 20:03:02.051,Bring drinks,Bring drinks,Barman-000002,
