Case,Timestamp,Activity,Resource,label
2540,2024-08-23 21:00:00,Take order,Waiter-000002,
2540,2024-08-23 21:00:00,start,,
2540,2024-08-23 21:00:02,Review order,Waiter-000004,
2540,2024-08-23 21:00:38,prepare drinks,Barman-000002,
2540,2024-08-23 21:03:15,Bring drinks,Barman-000001,
2540,2024-08-23 21:07:37,Review drinks,Waiter-000003,
2540,2024-08-29 19:27:24,Prepare main course,Cook-000001,
2540,2024-09-04 21:02:42,Signal food complete,Cook-000001,
2540,2024-09-04 22:18:45,Bring food,Cook helper-000003,
2540,2024-09-04 22:23:06,Deliver to customer,Waiter-000003,
2540,2024-09-04 22:27:36,EVENT 8 END,,
2541,2024-08-23 21:15:00,Take order,Waiter-000002,
2541,2024-08-23 21:15:00,start,,
2541,2024-08-23 21:16:01,Review order,Waiter-000004,
2541,2024-08-23 21:16:52,prepare drinks,Barman-000003,
2541,2024-08-23 21:18:54,Bring drinks,Barman-000002,
2541,2024-08-23 21:19:29,Review drinks,Waiter-000001,
2541,2024-08-23 21:20:25,prepare drinks,Barman-000001,
2541,2024-08-23 21:27:36,Bring drinks,Barman-000003,
2541,2024-08-23 21:29:15,Review drinks,Waiter-000003,
2541,2024-08-29 19:46:30,Prepare main course,Cook-000002,
2541,2024-09-04 23:05:36,Signal food complete,Cook-000001,
2541,2024-09-04 23:13:10,Bring food,Cook helper-000003,
2541,2024-09-04 23:22:47,Deliver to customer,Waiter-000005,
2541,2024-09-04 23:24:54,EVENT 8 END,,
2542,2024-08-23 21:30:00,Take order,Waiter-000002,
2542,2024-08-23 21:30:00,start,,
2542,2024-08-23 21:30:00,Bring drinks_signed1,,collateral events(Bring drinks)
2542,2024-08-23 21:31:20,Review order,Waiter-000004,
2542,2024-08-23 21:31:21,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
2542,2024-08-23 21:31:44,prepare drinks,Barman-000002,
2542,2024-08-23 21:31:44,Bring drinks_signed1,Barman-000002,collateral events(Bring drinks)
2542,2024-08-23 21:34:07,Bring drinks,Barman-000001,
2542,2024-08-23 21:36:00,Review drinks,Waiter-000001,
2542,2024-08-23 21:36:00,Bring drinks_signed1,Waiter-000001,collateral events(Bring drinks)
2542,2024-08-23 21:36:14,prepare drinks,Barman-000003,
2542,2024-08-23 21:36:15,Bring drinks_signed1,Barman-000003,collateral events(Bring drinks)
2542,2024-08-23 21:55:25,Bring drinks,Barman-000002,
2542,2024-08-23 21:57:42,Review drinks,Waiter-000003,
2542,2024-08-23 21:57:42,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
2542,2024-08-29 20:00:15,Prepare main course,Cook-000001,
2542,2024-08-29 20:00:15,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
2542,2024-09-04 22:10:20,Signal food complete,Cook-000003,
2542,2024-09-04 22:10:21,Bring drinks_signed1,Cook-000003,collateral events(Bring drinks)
2542,2024-09-04 22:50:44,Bring food,Cook helper-000001,
2542,2024-09-04 22:50:45,Bring drinks_signed1,Cook helper-000001,collateral events(Bring drinks)
2542,2024-09-04 22:50:56,Deliver to customer,Waiter-000002,
2542,2024-09-04 22:50:56,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
2542,2024-09-04 22:54:31,EVENT 8 END,,
2542,2024-09-04 22:54:32,Bring drinks_signed1,,collateral events(Bring drinks)
2543,2024-08-23 21:45:00,Take order,Waiter-000002,
2543,2024-08-23 21:45:00,start,,
2543,2024-08-23 21:48:08,Review order,Waiter-000004,
2543,2024-08-23 21:48:54,Prepare starter,Cook helper-000001,
2543,2024-08-23 21:48:54,prepare drinks,Barman-000002,
2543,2024-08-23 21:53:39,Bring drinks,Barman-000001,
2543,2024-08-23 21:56:06,Review drinks,Waiter-000005,
2543,2024-08-23 21:57:22,prepare drinks,Barman-000003,
2543,2024-08-23 21:57:50,Bring drinks,Barman-000001,
2543,2024-08-23 22:14:18,Review drinks,Waiter-000001,
2543,2024-08-29 20:29:51,Signal food complete,Cook-000003,
2543,2024-08-29 21:27:08,Bring food,Cook helper-000001,
2543,2024-08-29 21:31:41,Deliver to customer,Waiter-000001,
2543,2024-08-29 21:31:42,EVENT 8 END,,
2544,2024-08-23 22:00:00,Take order,Waiter-000001,
2544,2024-08-23 22:00:00,start,,
2544,2024-08-23 22:00:04,Review order,Waiter-000002,
2544,2024-08-23 22:00:22,prepare drinks,Barman-000002,
2544,2024-08-23 22:03:46,Bring drinks,Barman-000003,
2544,2024-08-23 22:04:32,Review drinks,Waiter-000004,
2544,2024-08-29 20:46:44,Prepare main course,Cook-000002,
2544,2024-09-04 23:08:19,Signal food complete,Cook-000003,
2544,2024-09-04 23:19:19,Bring food,Cook helper-000002,
2544,2024-09-04 23:19:40,Deliver to customer,Waiter-000003,
2544,2024-09-04 23:20:09,EVENT 8 END,,
2545,2024-08-23 22:15:00,Take order,Waiter-000002,
2545,2024-08-23 22:15:00,start,,
2545,2024-08-23 22:16:26,Review order,Waiter-000004,
2545,2024-08-23 22:19:59,prepare drinks,Barman-000002,
2545,2024-08-23 22:46:48,Bring drinks,Barman-000003,
2545,2024-08-23 22:55:00,Review drinks,Waiter-000004,
2545,2024-08-29 21:47:42,Prepare main course,Cook-000002,
2545,2024-09-04 23:47:12,Signal food complete,Cook-000001,
2545,2024-09-04 23:53:38,Bring food,Cook helper-000003,
2545,2024-09-04 23:58:09,Deliver to customer,Waiter-000003,
2545,2024-09-04 23:59:23,EVENT 8 END,,
2546,2024-08-23 22:30:00,Take order,Waiter-000001,
2546,2024-08-23 22:30:00,start,,
2546,2024-08-23 22:33:42,Review order,Waiter-000003,
2546,2024-08-23 22:34:06,Prepare starter,Cook helper-000002,
2546,2024-08-23 22:34:06,prepare drinks,Barman-000003,
2546,2024-08-23 22:34:59,Bring drinks,Barman-000001,
2546,2024-08-23 22:38:48,Review drinks,Waiter-000004,
2546,2024-08-29 21:51:32,Prepare main course,Cook-000001,
2546,2024-09-05 00:19:13,Signal food complete,Cook-000003,
2546,2024-09-05 00:59:48,Bring food,Cook helper-000001,
2546,2024-09-05 01:05:53,Deliver to customer,Waiter-000001,
2546,2024-09-05 01:06:16,EVENT 8 END,,
2547,2024-08-23 22:45:00,Take order,Waiter-000005,
2547,2024-08-23 22:45:00,start,,
2547,2024-08-23 22:45:44,Review order,Waiter-000001,
2547,2024-08-23 22:47:12,prepare drinks,Barman-000001,
2547,2024-08-23 22:53:27,Bring drinks,Barman-000002,
2547,2024-08-23 22:54:08,Review drinks,Waiter-000002,
2547,2024-08-23 22:56:30,prepare drinks,Barman-000001,
2547,2024-08-23 23:00:48,Bring drinks,Barman-000002,
2547,2024-08-23 23:12:21,Review drinks,Waiter-000005,
2547,2024-08-29 22:01:10,Prepare main course,Cook-000003,
2547,2024-09-04 23:28:57,Signal food complete,Cook-000001,
2547,2024-09-04 23:44:34,Bring food,Cook helper-000002,
2547,2024-09-04 23:46:11,Deliver to customer,Waiter-000002,
2547,2024-09-04 23:48:05,EVENT 8 END,,
2548,2024-08-23 23:00:00,Take order,Waiter-000003,
2548,2024-08-23 23:00:00,start,,
2548,2024-08-23 23:00:00,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
2548,2024-08-23 23:04:11,Review order,Waiter-000004,
2548,2024-08-23 23:04:12,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
2548,2024-08-23 23:05:46,Prepare starter,Cook helper-000002,
2548,2024-08-23 23:05:46,prepare drinks,Barman-000003,
2548,2024-08-23 23:05:46,Bring drinks_signed1,Barman-000003,collateral events(Bring drinks)
2548,2024-08-23 23:06:48,Bring drinks,Barman-000001,
2548,2024-08-23 23:08:58,Review drinks,Waiter-000001,
2548,2024-08-23 23:08:58,Bring drinks_signed1,Waiter-000001,collateral events(Bring drinks)
2548,2024-08-23 23:09:20,prepare drinks,Barman-000003,
2548,2024-08-23 23:09:20,Bring drinks_signed1,Barman-000003,collateral events(Bring drinks)
2548,2024-08-23 23:19:05,Bring drinks,Barman-000002,
2548,2024-08-23 23:25:15,Review drinks,Waiter-000001,
2548,2024-08-23 23:25:16,Bring drinks_signed1,Waiter-000001,collateral events(Bring drinks)
2548,2024-08-23 23:26:17,prepare drinks,Barman-000001,
2548,2024-08-23 23:26:17,Bring drinks_signed1,Barman-000001,collateral events(Bring drinks)
2548,2024-08-23 23:27:48,Bring drinks,Barman-000002,
2548,2024-08-23 23:28:58,Review drinks,Waiter-000004,
2548,2024-08-23 23:28:59,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
2548,2024-08-23 23:29:00,prepare drinks,Barman-000001,
2548,2024-08-23 23:29:01,Bring drinks_signed1,Barman-000001,collateral events(Bring drinks)
2548,2024-08-23 23:33:12,Bring drinks,Barman-000001,
2548,2024-08-23 23:33:28,Review drinks,Waiter-000005,
2548,2024-08-23 23:33:28,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
2548,2024-08-29 22:06:43,Prepare main course,Cook-000002,
2548,2024-08-29 22:06:43,Bring drinks_signed1,Cook-000002,collateral events(Bring drinks)
2548,2024-09-05 00:04:55,Signal food complete,Cook-000003,
2548,2024-09-05 00:04:55,Bring drinks_signed1,Cook-000003,collateral events(Bring drinks)
2548,2024-09-05 00:14:05,Bring food,Cook helper-000002,
2548,2024-09-05 00:14:05,Bring drinks_signed1,Cook helper-000002,collateral events(Bring drinks)
2548,2024-09-05 00:21:08,Deliver to customer,Waiter-000003,
2548,2024-09-05 00:21:08,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
2548,2024-09-05 00:27:11,EVENT 8 END,,
2548,2024-09-05 00:27:12,Bring drinks_signed1,,collateral events(Bring drinks)
2549,2024-08-23 23:15:00,Take order,Waiter-000003,
2549,2024-08-23 23:15:00,start,,
2549,2024-08-23 23:15:26,Review order,Waiter-000004,
2549,2024-08-23 23:15:55,prepare drinks,Barman-000001,
2549,2024-08-23 23:20:48,Bring drinks,Barman-000003,
2549,2024-08-23 23:26:05,Review drinks,Waiter-000005,
2549,2024-08-23 23:26:34,prepare drinks,Barman-000002,
2549,2024-08-23 23:27:42,Bring drinks,Barman-000003,
2549,2024-08-23 23:36:14,Review drinks,Waiter-000003,
2549,2024-08-29 22:42:59,Prepare main course,Cook-000003,
2549,2024-09-05 00:07:21,Signal food complete,Cook-000002,
2549,2024-09-05 00:48:00,Bring food,Cook helper-000002,
2549,2024-09-05 00:49:20,Deliver to customer,Waiter-000004,
2549,2024-09-05 00:49:41,EVENT 8 END,,
2550,2024-08-23 23:30:00,Take order,Waiter-000002,
2550,2024-08-23 23:30:00,start,,
2550,2024-08-23 23:30:07,Review order,Waiter-000001,
2550,2024-08-23 23:30:22,Prepare starter,Cook helper-000002,
2550,2024-08-23 23:30:22,prepare drinks,Barman-000002,
2550,2024-08-23 23:37:53,Bring drinks,Barman-000001,
2550,2024-08-23 23:39:45,Review drinks,Waiter-000004,
2550,2024-08-23 23:40:32,prepare drinks,Barman-000003,
2550,2024-08-23 23:40:49,Bring drinks,Barman-000002,
2550,2024-08-23 23:42:12,Review drinks,Waiter-000002,
2550,2024-08-23 23:42:32,prepare drinks,Barman-000001,
2550,2024-08-23 23:50:18,Bring drinks,Barman-000002,
2550,2024-08-23 23:51:18,Review drinks,Waiter-000004,
2550,2024-08-23 23:51:46,prepare drinks,Barman-000001,
2550,2024-08-23 23:59:36,Bring drinks,Barman-000003,
2550,2024-08-24 00:01:10,Review drinks,Waiter-000001,
2550,2024-08-29 23:00:58,Prepare main course,Cook-000003,
2550,2024-09-05 00:28:29,Signal food complete,Cook-000001,
2550,2024-09-05 00:54:49,Bring food,Cook helper-000003,
2550,2024-09-05 00:56:11,Deliver to customer,Waiter-000001,
2550,2024-09-05 00:59:43,EVENT 8 END,,
2551,2024-08-23 23:45:00,Take order,Waiter-000001,
2551,2024-08-23 23:45:00,start,,
2551,2024-08-23 23:46:01,Review order,Waiter-000005,
2551,2024-08-23 23:50:06,prepare drinks,Barman-000003,
2551,2024-08-23 23:57:33,Bring drinks,Barman-000002,
2551,2024-08-24 00:11:43,Review drinks,Waiter-000004,
2551,2024-08-29 23:23:54,Prepare main course,Cook-000002,
2551,2024-09-05 00:59:48,Signal food complete,Cook-000003,
2551,2024-09-05 01:27:21,Bring food,Cook helper-000003,
2551,2024-09-05 01:42:22,Deliver to customer,Waiter-000002,
2551,2024-09-05 01:44:26,EVENT 8 END,,
2552,2024-08-24 00:00:00,Take order,Waiter-000002,
2552,2024-08-24 00:00:00,start,,
2552,2024-08-24 00:01:42,Review order,Waiter-000003,
2552,2024-08-24 00:01:51,prepare drinks,Barman-000001,
2552,2024-08-24 00:11:09,Bring drinks,Barman-000003,
2552,2024-08-24 00:11:27,Review drinks,Waiter-000005,
2552,2024-08-30 00:16:20,Prepare main course,Cook-000002,
2552,2024-09-05 01:02:04,Signal food complete,Cook-000002,
2552,2024-09-05 01:08:29,Bring food,Cook helper-000003,
2552,2024-09-05 01:08:31,Deliver to customer,Waiter-000002,
2552,2024-09-05 01:10:48,EVENT 8 END,,
2553,2024-08-24 00:15:00,Take order,Waiter-000002,
2553,2024-08-24 00:15:00,start,,
2553,2024-08-24 00:18:10,Review order,Waiter-000003,
2553,2024-08-24 00:18:25,Prepare starter,Cook helper-000003,
2553,2024-08-24 00:18:25,prepare drinks,Barman-000001,
2553,2024-08-24 00:25:18,Bring drinks,Barman-000003,
2553,2024-08-24 00:26:00,Review drinks,Waiter-000002,
2553,2024-08-24 00:26:08,prepare drinks,Barman-000002,
2553,2024-08-24 00:29:09,Bring drinks,Barman-000001,
2553,2024-08-24 00:31:56,Review drinks,Waiter-000002,
2553,2024-08-30 00:29:49,Signal food complete,Cook-000002,
2553,2024-08-30 18:42:25,Bring food,Cook helper-000001,
2553,2024-08-30 18:42:35,Deliver to customer,Waiter-000001,
2553,2024-08-30 18:44:36,EVENT 8 END,,
2554,2024-08-24 00:30:00,Take order,Waiter-000003,
2554,2024-08-24 00:30:00,start,,
2554,2024-08-24 00:30:49,Review order,Waiter-000001,
2554,2024-08-24 00:33:05,prepare drinks,Barman-000003,
2554,2024-08-24 00:33:43,Bring drinks,Barman-000002,
2554,2024-08-24 00:38:36,Review drinks,Waiter-000003,
2554,2024-08-30 00:18:17,Prepare main course,Cook-000001,
2554,2024-09-05 01:37:08,Signal food complete,Cook-000001,
2554,2024-09-05 18:03:00,Bring food,Cook helper-000001,
2554,2024-09-05 18:03:06,Deliver to customer,Waiter-000004,
2554,2024-09-05 18:14:20,EVENT 8 END,,
2555,2024-08-24 00:45:00,Take order,Waiter-000004,
2555,2024-08-24 00:45:00,start,,
2555,2024-08-24 00:47:02,Review order,Waiter-000005,
2555,2024-08-24 00:47:58,Prepare starter,Cook helper-000002,
2555,2024-08-24 00:47:58,prepare drinks,Barman-000001,
2555,2024-08-24 00:58:41,Bring drinks,Barman-000003,
2555,2024-08-24 01:06:18,Review drinks,Waiter-000004,
2555,2024-08-30 00:46:27,Prepare main course,Cook-000003,
2555,2024-09-05 01:16:33,Signal food complete,Cook-000001,
2555,2024-09-05 01:25:52,Bring food,Cook helper-000001,
2555,2024-09-05 01:35:49,Deliver to customer,Waiter-000005,
2555,2024-09-05 01:36:21,EVENT 8 END,,
2556,2024-08-24 01:00:00,Take order,Waiter-000001,
2556,2024-08-24 01:00:00,start,,
2556,2024-08-24 01:00:32,Review order,Waiter-000002,
2556,2024-08-24 01:00:39,prepare drinks,Barman-000002,
2556,2024-08-24 01:02:02,Bring drinks,Barman-000001,
2556,2024-08-24 01:06:59,Review drinks,Waiter-000005,
2556,2024-08-24 01:07:36,prepare drinks,Barman-000002,
2556,2024-08-24 01:10:31,Bring drinks,Barman-000003,
2556,2024-08-24 01:16:56,Review drinks,Waiter-000005,
2556,2024-08-24 01:16:59,prepare drinks,Barman-000002,
2556,2024-08-24 01:40:57,Bring drinks,Barman-000001,
2556,2024-08-24 01:47:21,Review drinks,Waiter-000004,
2556,2024-08-24 01:48:17,prepare drinks,Barman-000002,
2556,2024-08-24 01:51:10,Bring drinks,Barman-000001,
2556,2024-08-24 01:54:01,Review drinks,Waiter-000002,
2556,2024-08-30 00:50:26,Prepare main course,Cook-000003,
2556,2024-09-05 01:25:59,Signal food complete,Cook-000001,
2556,2024-09-05 01:37:08,Bring food,Cook helper-000002,
2556,2024-09-05 01:42:13,Deliver to customer,Waiter-000003,
2556,2024-09-05 01:44:47,EVENT 8 END,,
2557,2024-08-24 01:15:00,Take order,Waiter-000001,
2557,2024-08-24 01:15:00,start,,
2557,2024-08-24 01:15:30,Review order,Waiter-000003,
2557,2024-08-24 01:16:24,prepare drinks,Barman-000001,
2557,2024-08-24 01:26:05,Bring drinks,Barman-000003,
2557,2024-08-24 01:29:28,Review drinks,Waiter-000002,
2557,2024-08-30 01:50:02,Prepare main course,Cook-000001,
2557,2024-09-05 01:44:16,Signal food complete,Cook-000003,
2557,2024-09-05 01:55:04,Bring food,Cook helper-000002,
2557,2024-09-05 01:55:43,Deliver to customer,Waiter-000005,
2557,2024-09-05 01:57:02,EVENT 8 END,,
2558,2024-08-24 01:30:00,Take order,Waiter-000003,
2558,2024-08-24 01:30:00,start,,
2558,2024-08-24 01:30:26,Review order,Waiter-000005,
2558,2024-08-24 01:30:39,prepare drinks,Barman-000001,
2558,2024-08-24 01:31:00,Bring drinks,Barman-000003,
2558,2024-08-24 01:42:40,Review drinks,Waiter-000001,
2558,2024-08-30 18:06:01,Prepare main course,Cook-000001,
2558,2024-09-05 01:51:22,Signal food complete,Cook-000002,
2558,2024-09-05 01:59:14,Bring food,Cook helper-000003,
2558,2024-09-05 18:03:57,Deliver to customer,Waiter-000005,
2558,2024-09-05 18:10:09,EVENT 8 END,,
2559,2024-08-24 01:45:00,Take order,Waiter-000002,
2559,2024-08-24 01:45:00,start,,
2559,2024-08-24 01:46:22,Review order,Waiter-000003,
2559,2024-08-24 01:46:39,prepare drinks,Barman-000002,
2559,2024-08-24 01:46:56,Bring drinks,Barman-000003,
2559,2024-08-24 01:50:30,Review drinks,Waiter-000001,
2559,2024-08-30 18:25:49,Prepare main course,Cook-000001,
2559,2024-09-05 01:55:04,Signal food complete,Cook-000003,
2559,2024-09-05 18:10:38,Bring food,Cook helper-000001,
2559,2024-09-05 18:14:12,Deliver to customer,Waiter-000003,
2559,2024-09-05 18:14:53,EVENT 8 END,,
2560,2024-08-24 02:00:00,start,,
2560,2024-08-26 18:00:00,Take order,Waiter-000003,
2560,2024-08-26 18:02:49,Review order,Waiter-000005,
2560,2024-08-26 18:04:24,prepare drinks,Barman-000003,
2560,2024-08-26 18:07:25,Bring drinks,Barman-000002,
2560,2024-08-26 18:16:50,Review drinks,Waiter-000001,
2560,2024-08-30 18:35:01,Prepare main course,Cook-000003,
2560,2024-09-05 18:22:33,Signal food complete,Cook-000002,
2560,2024-09-05 19:24:27,Bring food,Cook helper-000003,
2560,2024-09-05 19:25:25,Deliver to customer,Waiter-000004,
2560,2024-09-05 19:25:30,EVENT 8 END,,
2561,2024-08-26 18:15:00,Take order,Waiter-000004,
2561,2024-08-26 18:15:00,start,,
2561,2024-08-26 18:17:24,Review order,Waiter-000002,
2561,2024-08-26 18:17:45,Prepare starter,Cook helper-000002,
2561,2024-08-26 18:17:45,prepare drinks,Barman-000001,
2561,2024-08-26 18:21:38,Bring drinks,Barman-000003,
2561,2024-08-26 18:26:52,Review drinks,Waiter-000001,
2561,2024-08-30 18:51:33,Signal food complete,Cook-000001,
2561,2024-08-30 19:14:07,Bring food,Cook helper-000002,
2561,2024-08-30 19:17:19,Deliver to customer,Waiter-000001,
2561,2024-08-30 19:17:58,EVENT 8 END,,
2562,2024-08-26 18:30:00,Take order,Waiter-000004,
2562,2024-08-26 18:30:00,start,,
2562,2024-08-26 18:30:00,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
2562,2024-08-26 18:30:04,Review order,Waiter-000002,
2562,2024-08-26 18:30:05,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
2562,2024-08-26 18:31:17,prepare drinks,Barman-000002,
2562,2024-08-26 18:31:17,Bring drinks_signed1,Barman-000002,collateral events(Bring drinks)
2562,2024-08-26 18:39:19,Bring drinks,Barman-000001,
2562,2024-08-26 18:47:06,Review drinks,Waiter-000004,
2562,2024-08-26 18:47:06,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
2562,2024-08-26 18:47:07,prepare drinks,Barman-000003,
2562,2024-08-26 18:52:03,Bring drinks,Barman-000001,
2562,2024-08-26 19:03:41,Review drinks,Waiter-000003,
2562,2024-08-26 19:03:42,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
2562,2024-08-30 19:14:07,Prepare main course,Cook-000001,
2562,2024-08-30 19:14:08,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
2562,2024-09-05 19:24:53,Signal food complete,Cook-000002,
2562,2024-09-05 19:24:53,Bring drinks_signed1,Cook-000002,collateral events(Bring drinks)
2562,2024-09-05 19:41:37,Bring food,Cook helper-000002,
2562,2024-09-05 19:41:38,Bring drinks_signed1,Cook helper-000002,collateral events(Bring drinks)
2562,2024-09-05 19:43:49,Deliver to customer,Waiter-000005,
2562,2024-09-05 19:43:50,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
2562,2024-09-05 19:44:31,EVENT 8 END,,
2562,2024-09-05 19:44:32,Bring drinks_signed1,,collateral events(Bring drinks)
2563,2024-08-26 18:45:00,Take order,Waiter-000005,
2563,2024-08-26 18:45:00,start,,
2563,2024-08-26 18:45:44,Review order,Waiter-000001,
2563,2024-08-26 18:48:52,Prepare starter,Cook helper-000003,
2563,2024-08-26 18:48:52,prepare drinks,Barman-000002,
2563,2024-08-26 18:57:51,Bring drinks,Barman-000003,
2563,2024-08-26 18:59:47,Review drinks,Waiter-000002,
2563,2024-08-26 18:59:50,prepare drinks,Barman-000002,
2563,2024-08-26 19:10:45,Bring drinks,Barman-000003,
2563,2024-08-26 19:17:21,Review drinks,Waiter-000005,
2563,2024-08-30 20:02:14,Signal food complete,Cook-000001,
2563,2024-08-30 20:07:47,Bring food,Cook helper-000003,
2563,2024-08-30 20:10:09,Deliver to customer,Waiter-000005,
2563,2024-08-30 20:11:36,EVENT 8 END,,
2564,2024-08-26 19:00:00,Take order,Waiter-000005,
2564,2024-08-26 19:00:00,start,,
2564,2024-08-26 19:00:00,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
2564,2024-08-26 19:00:43,Review order,Waiter-000004,
2564,2024-08-26 19:00:44,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
2564,2024-08-26 19:01:55,Prepare starter,Cook helper-000002,
2564,2024-08-26 19:01:55,prepare drinks,Barman-000003,
2564,2024-08-26 19:01:55,Bring drinks_signed1,Barman-000003,collateral events(Bring drinks)
2564,2024-08-26 19:07:37,Bring drinks,Barman-000001,
2564,2024-08-26 19:20:25,Review drinks,Waiter-000004,
2564,2024-08-26 19:20:26,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
2564,2024-08-26 19:21:06,prepare drinks,Barman-000003,
2564,2024-08-26 19:21:06,Bring drinks_signed1,Barman-000003,collateral events(Bring drinks)
2564,2024-08-26 19:22:09,Bring drinks,Barman-000001,
2564,2024-08-26 19:22:18,Review drinks,Waiter-000003,
2564,2024-08-26 19:22:19,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
2564,2024-08-30 20:21:37,Signal food complete,Cook-000001,
2564,2024-08-30 20:21:37,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
2564,2024-08-30 20:44:48,Bring food,Cook helper-000003,
2564,2024-08-30 20:44:48,Bring drinks_signed1,Cook helper-000003,collateral events(Bring drinks)
2564,2024-08-30 20:59:03,Deliver to customer,Waiter-000001,
2564,2024-08-30 20:59:03,Bring drinks_signed1,Waiter-000001,collateral events(Bring drinks)
2564,2024-08-30 21:04:14,EVENT 8 END,,
2564,2024-08-30 21:04:15,Bring drinks_signed1,,collateral events(Bring drinks)
2565,2024-08-26 19:15:00,Take order,Waiter-000001,
2565,2024-08-26 19:15:00,start,,
2565,2024-08-26 19:17:05,Review order,Waiter-000002,
2565,2024-08-26 19:17:24,Prepare starter,Cook helper-000001,
2565,2024-08-26 19:17:24,prepare drinks,Barman-000002,
2565,2024-08-26 19:23:39,Bring drinks,Barman-000003,
2565,2024-08-26 19:27:12,Review drinks,Waiter-000001,
2565,2024-08-30 20:27:39,Prepare main course,Cook-000003,
2565,2024-09-05 20:11:55,Signal food complete,Cook-000003,
2565,2024-09-05 20:28:50,Bring food,Cook helper-000001,
2565,2024-09-05 20:32:36,Deliver to customer,Waiter-000002,
2565,2024-09-05 20:33:19,EVENT 8 END,,
2566,2024-08-26 19:30:00,Take order,Waiter-000002,
2566,2024-08-26 19:30:00,start,,
2566,2024-08-26 19:30:00,Bring drinks_signed1,,collateral events(Bring drinks)
2566,2024-08-26 19:33:09,Review order,Waiter-000004,
2566,2024-08-26 19:33:09,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
2566,2024-08-26 19:33:48,Prepare starter,Cook helper-000002,
2566,2024-08-26 19:33:48,prepare drinks,Barman-000001,
2566,2024-08-26 19:33:48,Bring drinks_signed1,Barman-000001,collateral events(Bring drinks)
2566,2024-08-26 19:36:59,Bring drinks,Barman-000002,
2566,2024-08-26 19:43:10,Review drinks,Waiter-000003,
2566,2024-08-26 19:43:11,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
2566,2024-08-30 20:39:41,Prepare main course,Cook-000002,
2566,2024-08-30 20:39:41,Bring drinks_signed1,Cook-000002,collateral events(Bring drinks)
2566,2024-09-05 19:49:07,Signal food complete,Cook-000001,
2566,2024-09-05 19:49:08,Bring drinks_signed1,Cook-000001,collateral events(Bring drinks)
2566,2024-09-05 20:13:19,Bring food,Cook helper-000001,
2566,2024-09-05 20:13:19,Bring drinks_signed1,Cook helper-000001,collateral events(Bring drinks)
2566,2024-09-05 20:22:47,Deliver to customer,Waiter-000004,
2566,2024-09-05 20:22:47,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
2566,2024-09-05 20:23:47,EVENT 8 END,,
2566,2024-09-05 20:23:47,Bring drinks_signed1,,collateral events(Bring drinks)
2567,2024-08-26 19:45:00,Take order,Waiter-000001,
2567,2024-08-26 19:45:00,start,,
2567,2024-08-26 19:46:36,Review order,Waiter-000002,
2567,2024-08-26 19:46:38,Prepare starter,Cook helper-000001,
2567,2024-08-26 19:46:38,prepare drinks,Barman-000003,
2567,2024-08-26 19:55:43,Bring drinks,Barman-000001,
2567,2024-08-26 19:56:34,Review drinks,Waiter-000005,
2567,2024-08-26 19:58:04,prepare drinks,Barman-000002,
2567,2024-08-26 20:00:57,Bring drinks,Barman-000003,
2567,2024-08-26 20:03:47,Review drinks,Waiter-000001,
2567,2024-08-26 20:04:11,prepare drinks,Barman-000001,
2567,2024-08-26 20:13:34,Bring drinks,Barman-000003,
2567,2024-08-26 20:14:32,Review drinks,Waiter-000004,
2567,2024-08-30 20:44:48,Signal food complete,Cook-000001,
2567,2024-08-30 21:46:22,Bring food,Cook helper-000001,
2567,2024-08-30 21:50:21,Deliver to customer,Waiter-000002,
2567,2024-08-30 21:50:25,EVENT 8 END,,
2568,2024-08-26 20:00:00,Take order,Waiter-000004,
2568,2024-08-26 20:00:00,start,,
2568,2024-08-26 20:00:00,Bring drinks_signed1,Waiter-000004,collateral events(Bring drinks)
2568,2024-08-26 20:00:23,Review order,Waiter-000003,
2568,2024-08-26 20:00:24,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
2568,2024-08-26 20:02:12,prepare drinks,Barman-000001,
2568,2024-08-26 20:02:12,Bring drinks_signed1,Barman-000001,collateral events(Bring drinks)
